	Module	Kind	#	Business Term	element	DictionaryEntryName	Description	xsd	object Class Term Qualifier	Object ClassTerm	Property Term Qualifier	Property Term	Datatype Qualifier	Representation Term	Associated Object Class Term Qualifier	Associated Object Class
11	cor	BBIE	6	Creation Date. Date Time	gl-cor:creationDate	xBRL_ Document Information. Creation Date. Date Time	Date/time file was created.	dateTime	xBRL	Document Information		Creation Date		Date Time		
12	bus	BBIE	7	Creator	gl-bus:creator	xBRL_ Document Information. Creator	Identifies the creator of the XBRL instance.	string	xBRL	Document Information		Creator		Text		
13	cor	BBIE	8	Entries Comment	gl-cor:entriesComment	xBRL_ Document Information. Entries Comment	Text for entire document.	string	xBRL	Document Information		Entries Comment		Text		
14	cor	BBIE	9	Period Covered Start. Date Time	gl-cor:periodCoveredStart	xBRL_ Document Information. Period Covered Start. Date Time	"Start of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open."	dateTime	xBRL	Document Information		Period Covered Start		Date Time		
15	cor	BBIE	10	Period Covered End. Date Time	gl-cor:periodCoveredEnd	xBRL_ Document Information. Period Covered End. Date Time	"End of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open."	dateTime	xBRL	Document Information		Period Covered End		Date Time		
16	bus	BBIE	11	Period Count. Numeric	gl-bus:periodCount	xBRL_ Document Information. Period Count. Numeric	"Number of periods or buckets, used by postingCode. Used to interpret posting date. It may be preferable to limit entries by period covered to be by individual reporting period."	decimal	xBRL	Document Information		Period Count		Numeric		
17	bus	BBIE	12	Period Unit. Code	gl-bus:periodUnit	xBRL_ Document Information. Period Unit. Code	"Type of periods covered by periodCount. Enumerated as: daily, weekly, bi-weekly, semi-monthly, monthly, quarterly, thirdly, semiannual, annual, ad-hoc, current-period-only, other."	token	xBRL	Document Information		Period Unit		Code		
18	bus	BBIE	13	Period Unit Description	gl-bus:periodUnitDescription	xBRL_ Document Information. Period Unit Description	Free format description of the period unit	string	xBRL	Document Information		Period Unit Description		Text		
19	bus	BBIE	14	Source Application	gl-bus:sourceApplication	xBRL_ Document Information. Source Application	"Product or service that produced this file. Used by many systems e.g., VAT. Version number can be included or extended."	string	xBRL	Document Information		Source Application		Text		
20	bus	BBIE	15	Target Application	gl-bus:targetApplication	xBRL_ Document Information. Target Application	Particular use for which file was generated.	string	xBRL	Document Information		Target Application		Text		
21	muc	BBIE	16	Default Currency. Code	gl-muc:defaultCurrency	xBRL_ Document Information. Default Currency. Code	"The default currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding"	QName	xBRL	Document Information		Default Currency		Code		
22	cor	ABIE	0	Entity Information	gl-cor:entityInformation	xBRL_ Entity Information. Details	Holder for entity information - information about the reporting organization.		xBRL	Entity Information						
23	bus	BBIE	1	Organization Accounting Method Purpose Default. Code	gl-bus:organizationAccountingMethodPurposeDefault	xBRL_ Entity Information. Organization Accounting Method Purpose Default. Code	"If not stated explicitly at the line level, the default reporting purpose - from book, tax, management, statutory, other"	token	xBRL	Entity Information		Organization Accounting Method Purpose Default		Code		
24	bus	BBIE	2	Organization Accounting Method Purpose Default Description	gl-bus:organizationAccountingMethodPurposeDefaultDescription	xBRL_ Entity Information. Organization Accounting Method Purpose Default Description	Free format description of the default accounting method purpose	string	xBRL	Entity Information		Organization Accounting Method Purpose Default Description		Text		
25	bus	BBIE	3	Business description	gl-bus:businessDescription	xBRL_ Entity Information. Business description	Description of the nature of the business of the entity.	string	xBRL	Entity Information		Business description		Text		
26	bus	BBIE	4	Fiscal Year Start. Date	gl-bus:fiscalYearStart	xBRL_ Entity Information. Fiscal Year Start. Date	"Start of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years more appropriate for internal sharing than data from external sources In Europe, some jurisdictions allow 2 year minus 1 day fiscal years."	date	xBRL	Entity Information		Fiscal Year Start		Date		
27	bus	BBIE	5	Fiscal Yesr End. Date	gl-bus:fiscalYearEnd	xBRL_ Entity Information. Fiscal Yesr End. Date	"End of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years more appropriate for internal sharing than data from external sources In Europe, some jurisdictions allow 2 year minus 1 day fiscal years."	date	xBRL	Entity Information		Fiscal Yesr End		Date		
28	bus	ASBIE	6	Organization Identifier	gl-bus:organizationIdentifiers	xBRL_ Entity Information. Specified. xBRL_ Organization Identifier	Section which contains various identifiers for the company.		xBRL	Entity Information		Specified			xBRL	Organization Identifier
29	bus	ASBIE	7	Web Site	gl-bus:entityWebSite	xBRL_ Entity Information. Specified. xBRL_ Web Site	Primary web site of the entity.		xBRL	Entity Information		Specified			xBRL	Web Site
30	bus	ASBIE	8	Phone	gl-bus:entityPhoneNumber	xBRL_ Entity Information. Specified. xBRL_ Phone	Primary phone number of the entity.		xBRL	Entity Information		Specified			xBRL	Phone
31	bus	ASBIE	9	Fax	gl-bus:entityFaxNumberStructure	xBRL_ Entity Information. Specified. xBRL_ Fax	Tuple for holding company fax information.		xBRL	Entity Information		Specified			xBRL	Fax
32	bus	ASBIE	10	Email	gl-bus:entityEmailAddressStructure	xBRL_ Entity Information. Specified. xBRL_ Email	Tuple for holding company email information.		xBRL	Entity Information		Specified			xBRL	Email
33	bus	ASBIE	11	Address	gl-bus:organizationAddress	xBRL_ Entity Information. Organization. xBRL_ Address	Address structure for the reporting entity		xBRL	Entity Information		Organization			xBRL	Address
34	bus	ASBIE	12	Contact	gl-bus:contactInformation	xBRL_ Entity Information. Specified. xBRL_ Contact	Information about contacts.		xBRL	Entity Information		Specified			xBRL	Contact
35	bus	ASBIE	13	Accountant	gl-bus:accountantInformation	xBRL_ Entity Information. Specified. xBRL_ Accountant	Information about the relevant external accountant		xBRL	Entity Information		Specified			xBRL	Accountant
36	bus	ASBIE	14	Organization Accounting Method	gl-bus:organizationAccountingMethodStructure	xBRL_ Entity Information. Specified. xBRL_ Organization Accounting Method	Section for identifying the methods of accounting used by the entity for different reporting purposes		xBRL	Entity Information		Specified			xBRL	Organization Accounting Method
37	bus	ASBIE	15	Reporting Calendar	gl-bus:reportingCalendar	xBRL_ Entity Information. Specified. xBRL_ Reporting Calendar	A tool to collect the periods used to summarise results from transactions.		xBRL	Entity Information		Specified			xBRL	Reporting Calendar
38	bus	ABIE	0	Organization Identifier	gl-bus:organizationIdentifiers	xBRL_ Organization Identifier. Details	Section which contains various identifiers for the company.		xBRL	Organization Identifier						
39	bus	BBIE	1	Identifier	gl-bus:organizationIdentifier	xBRL_ Organization Identifier. Identifier	"Code representing the company or organization whose data this file represents: used for situations where one user e.g., a CPA needs to keep track of multiple organizations&apos; files e.g., multiple clients. Can be EIN#, client #, internal/external identifier, SIC code. Codes which identifies the entity. Includes the code identifier of the authority issuing the code, a colon, and the code itself. For example, CIK:01234567 for the CIK number issued by SEC EDGAR."	string	xBRL	Organization Identifier		Identifier		Text		
40	bus	BBIE	2	Description	gl-bus:organizationDescription	xBRL_ Organization Identifier. Description	Text for organization identified by organizationIdentifier. Any descriptive information about the code.	string	xBRL	Organization Identifier		Description		Text		
41	bus	ABIE	0	Web Site	gl-bus:entityWebSite	xBRL_ Web Site. Details	Primary web site of the entity.		xBRL	Web Site						
42	bus	BBIE	1	Description	gl-bus:webSiteDescription	xBRL_ Web Site. Description	Description of the web site.	string	xBRL	Web Site		Description		Text		
43	bus	BBIE	2	URL. Code	gl-bus:webSiteURL	xBRL_ Web Site. URL. Code	Valid URL of the web site. Should be full URL.	anyURI	xBRL	Web Site		URL		Code		
44	bus	ABIE	0	Phone	gl-bus:entityPhoneNumber	xBRL_ Phone. Details	Primary phone number of the entity.		xBRL	Phone						
45	bus	BBIE	1	Description	gl-bus:phoneNumberDescription	xBRL_ Phone. Description	Phone number referred to in &apos;phoneNumberDescription&apos;	token	xBRL	Phone		Description		Text		
46	bus	BBIE	2	Number	gl-bus:phoneNumber	xBRL_ Phone. Number	"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other."	string	xBRL	Phone		Number		Text		
47	bus	ABIE	0	Fax	gl-bus:entityFaxNumberStructure	xBRL_ Fax. Details	Tuple for holding company fax information.		xBRL	Fax						
48	bus	BBIE	1	Usage	gl-bus:entityFaxNumberUsage	xBRL_ Fax. Usage	"Company fax number usage e.g. orders, head office, IR"	string	xBRL	Fax		Usage		Text		
49	bus	BBIE	2	Number	gl-bus:entityFaxNumber	xBRL_ Fax. Number	Company Fax Number	string	xBRL	Fax		Number		Text		
50	bus	ABIE	0	Email	gl-bus:entityEmailAddressStructure	xBRL_ Email. Details	Tuple for holding company email information.		xBRL	Email						
51	bus	BBIE	1	Usage	gl-bus:entityEmailAddressUsage	xBRL_ Email. Usage	"Company email address usage e.g. orders, head office, IR"	string	xBRL	Email		Usage		Text		
52	bus	BBIE	2	Address	gl-bus:entityEmailAddress	xBRL_ Email. Address	Company Email Address	string	xBRL	Email		Address		Text		
53	bus	ABIE	0	Address	gl-bus:organizationAddress	xBRL_ Address. Details	Address structure for the reporting entity		xBRL	Address						
54	bus	BBIE	1	Name	gl-bus:organizationAddressName	xBRL_ Address. Name	Name of organization used at this address	string	xBRL	Address		Name		Text		
55	bus	BBIE	2	Description	gl-bus:organizationAddressDescription	xBRL_ Address. Description	"Description of the address, such as Mailing, Physical, Investor Relations, etc."	string	xBRL	Address		Description		Text		
56	bus	BBIE	3	Purpose	gl-bus:organizationAddressPurpose	xBRL_ Address. Purpose	"Freeform for codes like shipping, billing, mailing at address level. Allows identification of multiple purpose addresses for each address of the reporting organization."	string	xBRL	Address		Purpose		Text		
57	bus	BBIE	4	LocationIdentifier	gl-bus:organizationAddressLocationIdentifier	xBRL_ Address. LocationIdentifier	A code used to identify the location and to associate it with contacts and transactions	string	xBRL	Address		LocationIdentifier		Text		
58	bus	BBIE	5	Building Number	gl-bus:organizationBuildingNumber	xBRL_ Address. Building Number	Building Number	string	xBRL	Address		Building Number		Text		
59	bus	BBIE	6	Street	gl-bus:organizationAddressStreet	xBRL_ Address. Street	Street address	string	xBRL	Address		Street		Text		
60	bus	BBIE	7	Street2	gl-bus:organizationAddressStreet2	xBRL_ Address. Street2	Address Detail	string	xBRL	Address		Street2		Text		
61	bus	BBIE	8	City	gl-bus:organizationAddressCity	xBRL_ Address. City	City or town of the address.	string	xBRL	Address		City		Text		
62	bus	BBIE	9	State Or Province	gl-bus:organizationAddressStateOrProvince	xBRL_ Address. State Or Province	"State, province or region of the address."	string	xBRL	Address		State Or Province		Text		
63	bus	BBIE	10	Zip Or PostalCode	gl-bus:organizationAddressZipOrPostalCode	xBRL_ Address. Zip Or PostalCode	Zip or other postal code of the address.	string	xBRL	Address		Zip Or PostalCode		Code		
64	bus	BBIE	11	Country	gl-bus:organizationAddressCountry	xBRL_ Address. Country	Country of the address.	string	xBRL	Address		Country		Text		
65	bus	BBIE	12	Active. Indicator	gl-bus:organizationAddressActive	xBRL_ Address. Active. Indicator	Boolean to indicate whether the address is active='true' or inactive='false'	boolean	xBRL	Address		Active		Indicator		
66	bus	ABIE	0	Contact	gl-bus:contactInformation	xBRL_ Contact. Details	Information about contacts.		xBRL	Contact						
67	bus	BBIE	1	Prefix	gl-bus:contactPrefix	xBRL_ Contact. Prefix	"Prefix e.g. Dr., Mr., Mrs."	string	xBRL	Contact		Prefix		Text		
68	bus	BBIE	2	Last Name	gl-bus:contactLastName	xBRL_ Contact. Last Name	Last or family name	string	xBRL	Contact		Last Name		Text		
69	bus	BBIE	3	First Name	gl-bus:contactFirstName	xBRL_ Contact. First Name	First or given name	string	xBRL	Contact		First Name		Text		
70	bus	BBIE	4	Suffix	gl-bus:contactSuffix	xBRL_ Contact. Suffix	"Suffix e.g. MD, CPA, Jr."	string	xBRL	Contact		Suffix		Text		
71	bus	BBIE	5	Attention Line	gl-bus:contactAttentionLine	xBRL_ Contact. Attention Line	Attention Line	string	xBRL	Contact		Attention Line		Text		
72	bus	BBIE	6	Position Role	gl-bus:contactPositionRole	xBRL_ Contact. Position Role	Position or role	string	xBRL	Contact		Position Role		Text		
73	bus	BBIE	7	Contact Type	gl-bus:contactType	xBRL_ Contact. Contact Type	"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant"	string	xBRL	Contact		Contact Type		Text		
74	bus	BBIE	8	Contact Location Identifier Cross Reference	gl-bus:contactLocationIdentifierCrossReference	xBRL_ Contact. Contact Location Identifier Cross Reference	This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier	string	xBRL	Contact		Contact Location Identifier Cross Reference		Text		
75	bus	BBIE	9	Active. Indicator	gl-bus:contactActive	xBRL_ Contact. Active. Indicator	Boolean to indicate whether the contact is active='true' or inactive='false'	boolean	xBRL	Contact		Active		Indicator		
76	bus	ASBIE	10	Phone	gl-bus:contactPhone	xBRL_ Contact. Specified. xBRL_ Phone	Contact Phone Number		xBRL	Contact		Specified			xBRL	Phone
77	bus	ASBIE	11	Fax	gl-bus:contactFax	xBRL_ Contact. Specified. xBRL_ Fax	Contact Fax Number Structure		xBRL	Contact		Specified			xBRL	Fax
78	bus	ASBIE	12	Email	gl-bus:contactEMail	xBRL_ Contact. Specified. xBRL_ Email	Contact E-mail address structure		xBRL	Contact		Specified			xBRL	Email
79	bus	ABIE	0	Accountant	gl-bus:accountantInformation	xBRL_ Accountant. Details	Information about the relevant external accountant		xBRL	Accountant						
80	bus	BBIE	1	Name	gl-bus:accountantName	xBRL_ Accountant. Name	Name of the accountant	string	xBRL	Accountant		Name		Text		
81	bus	BBIE	2	Engagement Type. Code	gl-bus:accountantEngagementType	xBRL_ Accountant. Engagement Type. Code	"Type of engagement being performed by external accountant. Enumerated as: audit, review, compilation, tax, other."	token	xBRL	Accountant		Engagement Type		Code		
82	bus	BBIE	3	Engagement Type Description	gl-bus:accountantEngagementTypeDescription	xBRL_ Accountant. Engagement Type Description	Free format description of the type of engagement	string	xBRL	Accountant		Engagement Type Description		Text		
83	bus	ASBIE	4	Address	gl-bus:accountantAddress	xBRL_ Accountant. Specified. xBRL_ Address	Section which contains accountant address information.		xBRL	Accountant		Specified			xBRL	Address
84	bus	ASBIE	5	Contact	gl-bus:accountantContactInformation	xBRL_ Accountant. Specified. xBRL_ Contact	Accountant contact information structure		xBRL	Accountant		Specified			xBRL	Contact
85	bus	ABIE	0	Organization Accounting Method	gl-bus:organizationAccountingMethodStructure	xBRL_ Organization Accounting Method. Details	Section for identifying the methods of accounting used by the entity for different reporting purposes		xBRL	Organization Accounting Method						
86	bus	BBIE	1	Method. Code	gl-bus:organizationAccountingMethod	xBRL_ Organization Accounting Method. Method. Code	"For this entity, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other"	token	xBRL	Organization Accounting Method		Method		Code		
87	bus	BBIE	2	Method Description	gl-bus:organizationAccountingMethodDescription	xBRL_ Organization Accounting Method. Method Description	Free format description of the accounting method	string	xBRL	Organization Accounting Method		Method Description		Text		
88	bus	BBIE	3	Purpose. Code	gl-bus:organizationAccountingMethodPurpose	xBRL_ Organization Accounting Method. Purpose. Code	"For this entity, the reporting purpose represented - from book, tax, management, statutory, other"	token	xBRL	Organization Accounting Method		Purpose		Code		
89	bus	BBIE	4	Purpose Description	gl-bus:organizationAccountingMethodPurposeDescription	xBRL_ Organization Accounting Method. Purpose Description	Free format description of the accounting method purpose	string	xBRL	Organization Accounting Method		Purpose Description		Text		
90	bus	BBIE	5	Method Start Date. Date Time	gl-bus:organizationAccountingMethodStartDate	xBRL_ Organization Accounting Method. Method Start Date. Date Time	Accounting Method Start Date	dateTime	xBRL	Organization Accounting Method		Method Start Date		Date Time		
91	bus	BBIE	6	Method End Date. Date Time	gl-bus:organizationAccountingMethodEndDate	xBRL_ Organization Accounting Method. Method End Date. Date Time	Accounting Method End Date	dateTime	xBRL	Organization Accounting Method		Method End Date		Date Time		
92	bus	ABIE	0	Reporting Calendar	gl-bus:reportingCalendar	xBRL_ Reporting Calendar. Details	A tool to collect the periods used to summarise results from transactions.		xBRL	Reporting Calendar						
93	bus	BBIE	1	Code	gl-bus:reportingCalendarCode	xBRL_ Reporting Calendar. Code	"The code used to identify this specific reporting calendar, unique across periods"	string	xBRL	Reporting Calendar		Code		Code		
94	bus	BBIE	2	Description	gl-bus:reportingCalendarDescription	xBRL_ Reporting Calendar. Description	A description of the reporting calendar associated with the reportingCalendarCode given	string	xBRL	Reporting Calendar		Description		Text		
95	bus	BBIE	3	Title	gl-bus:reportingCalendarTitle	xBRL_ Reporting Calendar. Title	A description of the reporting period. The actual beginning and ending dates are found within the &apos;reportingCalendarPeriod&apos; structure	string	xBRL	Reporting Calendar		Title		Text		
96	bus	BBIE	4	Period. Code	gl-bus:reportingCalendarPeriod	xBRL_ Reporting Calendar. Period. Code	A tool to collect a specific set of periods used to summarize results from transactions.	token	xBRL	Reporting Calendar		Period		Code		
97	bus	BBIE	5	Period Type Description	gl-bus:reportingCalendarPeriodTypeDescription	xBRL_ Reporting Calendar. Period Type Description	A description of the type of period involved.	string	xBRL	Reporting Calendar		Period Type Description		Text		
98	bus	BBIE	6	Open Closed Status. Code	gl-bus:reportingCalendarOpenClosedStatus	xBRL_ Reporting Calendar. Open Closed Status. Code	"An identifier on whether the reporting calendar is still open for activity. enumerated, 'open', 'closed', 'pending'"	token	xBRL	Reporting Calendar		Open Closed Status		Code		
99	bus	BBIE	7	Purpose. Code	gl-bus:reportingPurpose	xBRL_ Reporting Calendar. Purpose. Code	A description of the accounting set of books involved. Uses enumeration from accounting method purpose.	token	xBRL	Reporting Calendar		Purpose		Code		
100	bus	BBIE	8	Purpose Description	gl-bus:reportingPurposeDescription	xBRL_ Reporting Calendar. Purpose Description	Free format description of the reporting purpose	string	xBRL	Reporting Calendar		Purpose Description		Text		
101	bus	ASBIE	9	Period Type	gl-bus:reportingCalendarPeriodType	xBRL_ Reporting Calendar. Specified. xBRL_ Period Type	"A code for the type of period involved. Enumerated as: monthly, quarterly, semi-annually, 4-5-4, ad-hoc, other."		xBRL	Reporting Calendar		Specified			xBRL	Period Type
102	bus	ABIE	0	Period Type	gl-bus:reportingCalendarPeriodType	xBRL_ Period Type. Details	"A code for the type of period involved. Enumerated as: monthly, quarterly, semi-annually, 4-5-4, ad-hoc, other."		xBRL	Period Type						
103	bus	BBIE	1	Identifier	gl-bus:periodIdentifier	xBRL_ Period Type. Identifier	An identifier for this period in this calendar	string	xBRL	Period Type		Identifier		Text		
104	bus	BBIE	2	Description	gl-bus:periodDescription	xBRL_ Period Type. Description	A description of this specific reporting period in this calendar.	string	xBRL	Period Type		Description		Text		
105	bus	BBIE	3	Start. Date Time	gl-bus:periodStart	xBRL_ Period Type. Start. Date Time	The beginning date/time of a period	dateTime	xBRL	Period Type		Start		Date Time		
106	bus	BBIE	4	End. Date Time	gl-bus:periodEnd	xBRL_ Period Type. End. Date Time	The ending date/time of a period	dateTime	xBRL	Period Type		End		Date Time		
107	bus	BBIE	5	Closed Date. Date Time	gl-bus:periodClosedDate	xBRL_ Period Type. Closed Date. Date Time	The date/time a period has been closed for activity. If this is present with a nill value xsi:nill='true' then the period is not closed.	dateTime	xBRL	Period Type		Closed Date		Date Time		
108	cor	ABIE	0	Entry Header	gl-cor:entryHeader	xBRL_ Entry Header. Details	Parent for entry headers/journal entry headers.		xBRL	Entry Header						
109	cor	BBIE	1	Posted Date. Date Time	gl-cor:postedDate	xBRL_ Entry Header. Posted Date. Date Time	Date this entry was posted validated to the general ledger. May not represent the date of accounting significance which is represented by &apos;postingDate&apos;.	dateTime	xBRL	Entry Header		Posted Date		Date Time		
110	cor	BBIE	2	Entered By	gl-cor:enteredBy	xBRL_ Entry Header. Entered By	Initials/name of operator originally entering.	string	xBRL	Entry Header		Entered By		Text		
111	bus	BBIE	3	Entered By Modified	gl-bus:enteredByModified	xBRL_ Entry Header. Entered By Modified	Identification for the last person modifying this entry before posting.	string	xBRL	Entry Header		Entered By Modified		Text		
112	cor	BBIE	4	Entered Date. Date Time	gl-cor:enteredDate	xBRL_ Entry Header. Entered Date. Date Time	"Represents the actual date/time of entry into computer automated from system date, often misrepresented by changing system clock. Posting dates are maintained separately. "	dateTime	xBRL	Entry Header		Entered Date		Date Time		
113	bus	BBIE	5	Entry Responsible Person	gl-bus:entryResponsiblePerson	xBRL_ Entry Header. Entry Responsible Person	Identifier of person who created or originated or is otherwise responsible for the entry.	string	xBRL	Entry Header		Entry Responsible Person		Text		
114	cor	BBIE	6	Source Journal ID. Code	gl-cor:sourceJournalID	xBRL_ Entry Header. Source Journal ID. Code	Source journal. The code of the journal in which the entry is processed. The code must be a unique indication for a journal and is selected from the following enumerated list: cd cash disbursements sending cheques to vendors cr cash receipts receiving cheques from others fa fixed assets gi giro/other bank adjustments gj general journal im inventory management jc job cost pj purchase journal liabilities from purchases pl payroll journal sj sales journal se standard entries ud user defined ot other sources of entries	token	xBRL	Entry Header		Source Journal ID		Code		
115	bus	BBIE	7	Source Journal Description	gl-bus:sourceJournalDescription	xBRL_ Entry Header. Source Journal Description	"Source journal full description of general journal, payroll journal, accountant entries. A more easily readable journal indication. The most common journals are: Purchases, Sales, Cash, and General Journal."	string	xBRL	Entry Header		Source Journal Description		Text		
116	cor	BBIE	8	Entry Type. Code	gl-cor:entryType	xBRL_ Entry Header. Entry Type. Code	"One of the following enumerated list: adjusting, budget, comparative, external-accountant, standard, passed-adjusting, eliminating, proposed, recurring, reclassifying, simulated, tax, other"	token	xBRL	Entry Header		Entry Type		Code		
117	bus	BBIE	9	Entry Origin	gl-bus:entryOrigin	xBRL_ Entry Header. Entry Origin	"Origin of entry: accrual, manual entry, imported entry, exchange gain or loss"	string	xBRL	Entry Header		Entry Origin		Text		
118	cor	BBIE	10	Entry Number	gl-cor:entryNumber	xBRL_ Entry Header. Entry Number	Identifier within source journal	string	xBRL	Entry Header		Entry Number		Text		
119	cor	BBIE	11	Entry Comment	gl-cor:entryComment	xBRL_ Entry Header. Entry Comment	Description of entry described by this entry header e.g. Opening Balance	string	xBRL	Entry Header		Entry Comment		Text		
120	cor	BBIE	12	Qualifier Entry. Code	gl-cor:qualifierEntry	xBRL_ Entry Header. Qualifier Entry. Code	"Entry Qualifier - An enumerated field that qualifies the type of entry, specifically useful for general ledger and trial balance environments when it is important to state the values represented are summarized as of the reporting date - opening or closing balances. In accounting systems, this is often known as BBF balance brought forward. Permitted values are: standard, balance-brought-forward and other."	token	xBRL	Entry Header		Qualifier Entry		Code		
121	cor	BBIE	13	Qualifier Entry Description	gl-cor:qualifierEntryDescription	xBRL_ Entry Header. Qualifier Entry Description	Free format description of the entry qualifier	string	xBRL	Entry Header		Qualifier Entry Description		Text		
122	bus	BBIE	14	Posting Code	gl-bus:postingCode	xBRL_ Entry Header. Posting Code	"Code for posting to period, e.g., period 1-13, based on codes in an accounting period file. We do not recommend that software vendors export here, but suggest providing period end numbers for the buckets. Possibilities W1 through W53, M1 through M13, Q1-Q4. Developers and others creating output files are encouraged to supply an actual end date."	string	xBRL	Entry Header		Posting Code		Code		
123	bus	BBIE	15	Batch ID	gl-bus:batchID	xBRL_ Entry Header. Batch ID	ID for a batch for this group of entries	string	xBRL	Entry Header		Batch ID		Text		
124	bus	BBIE	16	Batch Description	gl-bus:batchDescription	xBRL_ Entry Header. Batch Description	Description of this batch	string	xBRL	Entry Header		Batch Description		Text		
125	bus	BBIE	17	Number Of Entries. Numeric	gl-bus:numberOfEntries	xBRL_ Entry Header. Number Of Entries. Numeric	The total number of entries.	integer	xBRL	Entry Header		Number Of Entries		Numeric		
126	bus	BBIE	18	Total Debit Amount	gl-bus:totalDebit	xBRL_ Entry Header. Total Debit Amount	The total of all debit amounts.	monetary	xBRL	Entry Header		Total Debit Amount		Amount		
127	bus	BBIE	19	TotalCredit Amount	gl-bus:totalCredit	xBRL_ Entry Header. TotalCredit Amount	The total of all credit amounts.	monetary	xBRL	Entry Header		TotalCredit Amount		Amount		
128	cor	BBIE	20	Book Tax Difference. Code	gl-cor:bookTaxDifference	xBRL_ Entry Header. Book Tax Difference. Code	"Enumerated field with possible values of permanent, temporary or none indicating the type of difference between book and tax accounting methods. Omission of this field is equivalent to 'none'"	token	xBRL	Entry Header		Book Tax Difference		Code		
