Module	Kind		seq	element	Business Term	DictionaryEntryName	Description	xsd	object Class Term Qualifier	Object ClassTerm	Property Term Qualifier	Property Term	Datatype Qualifier	Representation Term	Associated Object Class Term Qualifier	Associated Object Class
bus	BBIE	28	24	      gl-bus:entityFaxNumberUsage	 Usage	XBRLGL_ Fax. Usage	"Company fax number usage e.g. orders, head office, IR"	string	XBRLGL	Fax		Usage		Text		
bus	BBIE	29	25	      gl-bus:entityFaxNumber	 Number	XBRLGL_ Fax. Number	Company Fax Number	string	XBRLGL	Fax		Number		Text		
bus	ASBIE	30	26	    gl-bus:entityEmailAddressStructure	 Email	XBRLGL_ Entity Information. Specified. XBRLGL_ Email	Tuple for holding company email information.		XBRLGL	Entity Information		Specified			XBRLGL	Email
bus	ABIE	31	26	    gl-bus:entityEmailAddressStructure	 Email	XBRLGL_ Email. Details	Tuple for holding company email information.		XBRLGL	Email						
bus	BBIE	32	27	      gl-bus:entityEmailAddressUsage	 Usage	XBRLGL_ Email. Usage	"Company email address usage e.g. orders, head office, IR"	string	XBRLGL	Email		Usage		Text		
bus	BBIE	33	28	      gl-bus:entityEmailAddress	 Address	XBRLGL_ Email. Address	Company Email Address	string	XBRLGL	Email		Address		Text		
bus	BBIE	34	29	    gl-bus:organizationAccountingMethodPurposeDefault	 Organization Accounting Method Purpose Default. Code	XBRLGL_ Entity Information. Organization Accounting Method Purpose Default. Code	"If not stated explicitly at the line level, the default reporting purpose - from book, tax, management, statutory, other"	token	XBRLGL	Entity Information		Organization Accounting Method Purpose Default		Code		
bus	BBIE	35	30	    gl-bus:organizationAccountingMethodPurposeDefaultDescription	 Organization Accounting Method Purpose Default Description	XBRLGL_ Entity Information. Organization Accounting Method Purpose Default Description	Free format description of the default accounting method purpose	string	XBRLGL	Entity Information		Organization Accounting Method Purpose Default Description		Text		
bus	ASBIE	36	31	    gl-bus:organizationIdentifiers	 Organization Identifier	XBRLGL_ Entity Information. Specified. XBRLGL_ Organization Identifier	Section which contains various identifiers for the company.		XBRLGL	Entity Information		Specified			XBRLGL	Organization Identifier
bus	ABIE	37	31	    gl-bus:organizationIdentifiers	 Organization Identifier	XBRLGL_ Organization Identifier. Details	Section which contains various identifiers for the company.		XBRLGL	Organization Identifier						
bus	BBIE	38	32	      gl-bus:organizationIdentifier	 Identifier	XBRLGL_ Organization Identifier. Identifier	"Code representing the company or organization whose data this file represents: used for situations where one user e.g., a CPA needs to keep track of multiple organizations&apos; files e.g., multiple clients. Can be EIN#, client #, internal/external identifier, SIC code. Codes which identifies the entity. Includes the code identifier of the authority issuing the code, a colon, and the code itself. For example, CIK:01234567 for the CIK number issued by SEC EDGAR."	string	XBRLGL	Organization Identifier		Identifier		Text		
bus	BBIE	39	33	      gl-bus:organizationDescription	 Description	XBRLGL_ Organization Identifier. Description	Text for organization identified by organizationIdentifier. Any descriptive information about the code.	string	XBRLGL	Organization Identifier		Description		Text		
bus	ASBIE	40	34	    gl-bus:organizationAddress	 Address	XBRLGL_ Entity Information. Organization. XBRLGL_ Address	Address structure for the reporting entity		XBRLGL	Entity Information		Organization			XBRLGL	Address
bus	ABIE	41	34	    gl-bus:organizationAddress	 Address	XBRLGL_ Address. Details	Address structure for the reporting entity		XBRLGL	Address						
bus	BBIE	42	35	      gl-bus:organizationAddressName	 Name	XBRLGL_ Address. Name	Name of organization used at this address	string	XBRLGL	Address		Name		Text		
bus	BBIE	43	36	      gl-bus:organizationAddressDescription	 Description	XBRLGL_ Address. Description	"Description of the address, such as Mailing, Physical, Investor Relations, etc."	string	XBRLGL	Address		Description		Text		
bus	BBIE	44	37	      gl-bus:organizationAddressPurpose	 Purpose	XBRLGL_ Address. Purpose	"Freeform for codes like shipping, billing, mailing at address level. Allows identification of multiple purpose addresses for each address of the reporting organization."	string	XBRLGL	Address		Purpose		Text		
bus	BBIE	45	38	      gl-bus:organizationAddressLocationIdentifier	 LocationIdentifier	XBRLGL_ Address. LocationIdentifier	A code used to identify the location and to associate it with contacts and transactions	string	XBRLGL	Address		LocationIdentifier		Text		
bus	BBIE	46	39	      gl-bus:organizationBuildingNumber	 Building Number	XBRLGL_ Address. Building Number	Building Number	string	XBRLGL	Address		Building Number		Text		
bus	BBIE	47	40	      gl-bus:organizationAddressStreet	 Street	XBRLGL_ Address. Street	Street address	string	XBRLGL	Address		Street		Text		
bus	BBIE	48	41	      gl-bus:organizationAddressStreet2	 Street2	XBRLGL_ Address. Street2	Address Detail	string	XBRLGL	Address		Street2		Text		
bus	BBIE	49	42	      gl-bus:organizationAddressCity	 City	XBRLGL_ Address. City	City or town of the address.	string	XBRLGL	Address		City		Text		
bus	BBIE	50	43	      gl-bus:organizationAddressStateOrProvince	 State Or Province	XBRLGL_ Address. State Or Province	"State, province or region of the address."	string	XBRLGL	Address		State Or Province		Text		
bus	BBIE	51	44	      gl-bus:organizationAddressZipOrPostalCode	 Zip Or PostalCode	XBRLGL_ Address. Zip Or PostalCode	Zip or other postal code of the address.	string	XBRLGL	Address		Zip Or PostalCode		Code		
bus	BBIE	52	45	      gl-bus:organizationAddressCountry	 Country	XBRLGL_ Address. Country	Country of the address.	string	XBRLGL	Address		Country		Text		
bus	BBIE	53	46	      gl-bus:organizationAddressActive	 Active. Indicator	XBRLGL_ Address. Active. Indicator	Boolean to indicate whether the address is active='true' or inactive='false'	boolean	XBRLGL	Address		Active		Indicator		
bus	ASBIE	54	47	    gl-bus:entityWebSite	 Web Site	XBRLGL_ Entity Information. Specified. XBRLGL_ Web Site	Primary web site of the entity.		XBRLGL	Entity Information		Specified			XBRLGL	Web Site
bus	ABIE	55	47	    gl-bus:entityWebSite	 Web Site	XBRLGL_ Web Site. Details	Primary web site of the entity.		XBRLGL	Web Site						
bus	BBIE	56	48	      gl-bus:webSiteDescription	 Description	XBRLGL_ Web Site. Description	Description of the web site.	string	XBRLGL	Web Site		Description		Text		
bus	BBIE	57	49	      gl-bus:webSiteURL	 URL. Code	XBRLGL_ Web Site. URL. Code	Valid URL of the web site. Should be full URL.	anyURI	XBRLGL	Web Site		URL		Code		
bus	ASBIE	58	50	    gl-bus:contactInformation	 Contact	XBRLGL_ Entity Information. Specified. XBRLGL_ Contact	Information about contacts.		XBRLGL	Entity Information		Specified			XBRLGL	Contact
bus	ABIE	59	50	    gl-bus:contactInformation	 Contact	XBRLGL_ Contact. Details	Information about contacts.		XBRLGL	Contact						
bus	BBIE	60	51	      gl-bus:contactPrefix	 Prefix	XBRLGL_ Contact. Prefix	"Prefix e.g. Dr., Mr., Mrs."	string	XBRLGL	Contact		Prefix		Text		
bus	BBIE	61	52	      gl-bus:contactLastName	 Last Name	XBRLGL_ Contact. Last Name	Last or family name	string	XBRLGL	Contact		Last Name		Text		
bus	BBIE	62	53	      gl-bus:contactFirstName	 First Name	XBRLGL_ Contact. First Name	First or given name	string	XBRLGL	Contact		First Name		Text		
bus	BBIE	63	54	      gl-bus:contactSuffix	 Suffix	XBRLGL_ Contact. Suffix	"Suffix e.g. MD, CPA, Jr."	string	XBRLGL	Contact		Suffix		Text		
bus	BBIE	64	55	      gl-bus:contactAttentionLine	 Attention Line	XBRLGL_ Contact. Attention Line	Attention Line	string	XBRLGL	Contact		Attention Line		Text		
bus	BBIE	65	56	      gl-bus:contactPositionRole	 Position Role	XBRLGL_ Contact. Position Role	Position or role	string	XBRLGL	Contact		Position Role		Text		
bus	ASBIE	66	57	      gl-bus:contactPhone	 Phone	XBRLGL_ Contact. Specified. XBRLGL_ Phone	Contact Phone Number		XBRLGL	Contact		Specified			XBRLGL	Phone
bus	ASBIE	67	60	      gl-bus:contactFax	 Fax	XBRLGL_ Contact. Specified. XBRLGL_ Fax	Contact Fax Number Structure		XBRLGL	Contact		Specified			XBRLGL	Fax
bus	ASBIE	68	63	      gl-bus:contactEMail	 Email	XBRLGL_ Contact. Specified. XBRLGL_ Email	Contact E-mail address structure		XBRLGL	Contact		Specified			XBRLGL	Email
bus	BBIE	69	66	      gl-bus:contactType	 Contact Type	XBRLGL_ Contact. Contact Type	"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant"	string	XBRLGL	Contact		Contact Type		Text		
bus	BBIE	70	67	      gl-bus:contactLocationIdentifierCrossReference	 Contact Location Identifier Cross Reference	XBRLGL_ Contact. Contact Location Identifier Cross Reference	This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier	string	XBRLGL	Contact		Contact Location Identifier Cross Reference		Text		
bus	BBIE	71	68	      gl-bus:contactActive	 Active. Indicator	XBRLGL_ Contact. Active. Indicator	Boolean to indicate whether the contact is active='true' or inactive='false'	boolean	XBRLGL	Contact		Active		Indicator		
bus	BBIE	71.2	69	    gl-bus:businessDescription	 Business description	XBRLGL_ Entity Information. Business description	Description of the nature of the business of the entity.	string	XBRLGL	Entity Information		Business description		Text		
bus	BBIE	71.4	70	    gl-bus:fiscalYearStart	 Fiscal Year Start. Date	XBRLGL_ Entity Information. Fiscal Year Start. Date	"Start of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years more appropriate for internal sharing than data from external sources In Europe, some jurisdictions allow 2 year minus 1 day fiscal years."	date	XBRLGL	Entity Information		Fiscal Year Start		Date		
bus	BBIE	71.6	71	    gl-bus:fiscalYearEnd	 Fiscal Yesr End. Date	XBRLGL_ Entity Information. Fiscal Yesr End. Date	"End of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years more appropriate for internal sharing than data from external sources In Europe, some jurisdictions allow 2 year minus 1 day fiscal years."	date	XBRLGL	Entity Information		Fiscal Yesr End		Date		
bus	ASBIE	72	72	    gl-bus:organizationAccountingMethodStructure	 Organization Accounting Method	XBRLGL_ Entity Information. Specified. XBRLGL_ Organization Accounting Method	Section for identifying the methods of accounting used by the entity for different reporting purposes		XBRLGL	Entity Information		Specified			XBRLGL	Organization Accounting Method
bus	ABIE	73	72	    gl-bus:organizationAccountingMethodStructure	 Organization Accounting Method	XBRLGL_ Organization Accounting Method. Details	Section for identifying the methods of accounting used by the entity for different reporting purposes		XBRLGL	Organization Accounting Method						
bus	BBIE	74	73	      gl-bus:organizationAccountingMethod	 Method. Code	XBRLGL_ Organization Accounting Method. Method. Code	"For this entity, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other"	token	XBRLGL	Organization Accounting Method		Method		Code		
bus	BBIE	75	74	      gl-bus:organizationAccountingMethodDescription	 Method Description	XBRLGL_ Organization Accounting Method. Method Description	Free format description of the accounting method	string	XBRLGL	Organization Accounting Method		Method Description		Text		
bus	BBIE	76	75	      gl-bus:organizationAccountingMethodPurpose	 Purpose. Code	XBRLGL_ Organization Accounting Method. Purpose. Code	"For this entity, the reporting purpose represented - from book, tax, management, statutory, other"	token	XBRLGL	Organization Accounting Method		Purpose		Code		
bus	BBIE	77	76	      gl-bus:organizationAccountingMethodPurposeDescription	 Purpose Description	XBRLGL_ Organization Accounting Method. Purpose Description	Free format description of the accounting method purpose	string	XBRLGL	Organization Accounting Method		Purpose Description		Text		
bus	BBIE	78	77	      gl-bus:organizationAccountingMethodStartDate	 Method Start Date. Date Time	XBRLGL_ Organization Accounting Method. Method Start Date. Date Time	Accounting Method Start Date	dateTime	XBRLGL	Organization Accounting Method		Method Start Date		Date Time		
bus	BBIE	79	78	      gl-bus:organizationAccountingMethodEndDate	 Method End Date. Date Time	XBRLGL_ Organization Accounting Method. Method End Date. Date Time	Accounting Method End Date	dateTime	XBRLGL	Organization Accounting Method		Method End Date		Date Time		
bus	ASBIE	80	79	    gl-bus:accountantInformation	 Accountant	XBRLGL_ Entity Information. Specified. XBRLGL_ Accountant	Information about the relevant external accountant		XBRLGL	Entity Information		Specified			XBRLGL	Accountant
bus	ABIE	81	79	    gl-bus:accountantInformation	 Accountant	XBRLGL_ Accountant. Details	Information about the relevant external accountant		XBRLGL	Accountant						
bus	BBIE	82	80	      gl-bus:accountantName	 Name	XBRLGL_ Accountant. Name	Name of the accountant	string	XBRLGL	Accountant		Name		Text		
bus	ASBIE	83	81	      gl-bus:accountantAddress	 Address	XBRLGL_ Accountant. Specified. XBRLGL_ Address	Section which contains accountant address information.		XBRLGL	Accountant		Specified			XBRLGL	Address
bus	BBIE	84	94	      gl-bus:accountantEngagementType	 Engagement Type. Code	XBRLGL_ Accountant. Engagement Type. Code	"Type of engagement being performed by external accountant. Enumerated as: audit, review, compilation, tax, other."	token	XBRLGL	Accountant		Engagement Type		Code		
bus	BBIE	85	95	      gl-bus:accountantEngagementTypeDescription	 Engagement Type Description	XBRLGL_ Accountant. Engagement Type Description	Free format description of the type of engagement	string	XBRLGL	Accountant		Engagement Type Description		Text		
bus	ASBIE	86	96	      gl-bus:accountantContactInformation	 Contact	XBRLGL_ Accountant. Specified. XBRLGL_ Contact	Accountant contact information structure		XBRLGL	Accountant		Specified			XBRLGL	Contact
bus	ASBIE	87	115	    gl-bus:reportingCalendar	 Reporting Calendar	XBRLGL_ Entity Information. Specified. XBRLGL_ Reporting Calendar	A tool to collect the periods used to summarise results from transactions.		XBRLGL	Entity Information		Specified			XBRLGL	Reporting Calendar
bus	ABIE	88	115	    gl-bus:reportingCalendar	 Reporting Calendar	XBRLGL_ Reporting Calendar. Details	A tool to collect the periods used to summarise results from transactions.		XBRLGL	Reporting Calendar						
bus	BBIE	89	116	      gl-bus:reportingCalendarCode	 Code	XBRLGL_ Reporting Calendar. Code	"The code used to identify this specific reporting calendar, unique across periods"	string	XBRLGL	Reporting Calendar		Code		Code		
bus	BBIE	90	117	      gl-bus:reportingCalendarDescription	 Description	XBRLGL_ Reporting Calendar. Description	A description of the reporting calendar associated with the reportingCalendarCode given	string	XBRLGL	Reporting Calendar		Description		Text		
bus	BBIE	91	118	      gl-bus:reportingCalendarTitle	 Title	XBRLGL_ Reporting Calendar. Title	A description of the reporting period. The actual beginning and ending dates are found within the &apos;reportingCalendarPeriod&apos; structure	string	XBRLGL	Reporting Calendar		Title		Text		
bus	BBIE	92	119	      gl-bus:reportingCalendarPeriod	 Period. Code	XBRLGL_ Reporting Calendar. Period. Code	A tool to collect a specific set of periods used to summarize results from transactions.	token	XBRLGL	Reporting Calendar		Period		Code		
bus	BBIE	93	120	      gl-bus:reportingCalendarPeriodTypeDescription	 Period Type Description	XBRLGL_ Reporting Calendar. Period Type Description	A description of the type of period involved.	string	XBRLGL	Reporting Calendar		Period Type Description		Text		
bus	BBIE	94	121	      gl-bus:reportingCalendarOpenClosedStatus	 Open Closed Status. Code	XBRLGL_ Reporting Calendar. Open Closed Status. Code	"An identifier on whether the reporting calendar is still open for activity. enumerated, 'open', 'closed', 'pending'"	token	XBRLGL	Reporting Calendar		Open Closed Status		Code		
bus	BBIE	95	122	      gl-bus:reportingPurpose	 Purpose. Code	XBRLGL_ Reporting Calendar. Purpose. Code	A description of the accounting set of books involved. Uses enumeration from accounting method purpose.	token	XBRLGL	Reporting Calendar		Purpose		Code		
bus	BBIE	96	123	      gl-bus:reportingPurposeDescription	 Purpose Description	XBRLGL_ Reporting Calendar. Purpose Description	Free format description of the reporting purpose	string	XBRLGL	Reporting Calendar		Purpose Description		Text		
bus	ASBIE	97	124	      gl-bus:reportingCalendarPeriodType	 Period Type	XBRLGL_ Reporting Calendar. Specified. XBRLGL_ Period Type	"A code for the type of period involved. Enumerated as: monthly, quarterly, semi-annually, 4-5-4, ad-hoc, other."		XBRLGL	Reporting Calendar		Specified			XBRLGL	Period Type
bus	ABIE	98	124	      gl-bus:reportingCalendarPeriodType	 Period Type	XBRLGL_ Period Type. Details	"A code for the type of period involved. Enumerated as: monthly, quarterly, semi-annually, 4-5-4, ad-hoc, other."		XBRLGL	Period Type						
bus	BBIE	99	125	        gl-bus:periodIdentifier	 Identifier	XBRLGL_ Period Type. Identifier	An identifier for this period in this calendar	string	XBRLGL	Period Type		Identifier		Text		
bus	BBIE	100	126	        gl-bus:periodDescription	 Description	XBRLGL_ Period Type. Description	A description of this specific reporting period in this calendar.	string	XBRLGL	Period Type		Description		Text		
bus	BBIE	101	127	        gl-bus:periodStart	 Start. Date Time	XBRLGL_ Period Type. Start. Date Time	The beginning date/time of a period	dateTime	XBRLGL	Period Type		Start		Date Time		
bus	BBIE	102	128	        gl-bus:periodEnd	 End. Date Time	XBRLGL_ Period Type. End. Date Time	The ending date/time of a period	dateTime	XBRLGL	Period Type		End		Date Time		
bus	BBIE	103	129	        gl-bus:periodClosedDate	 Closed Date. Date Time	XBRLGL_ Period Type. Closed Date. Date Time	The date/time a period has been closed for activity. If this is present with a nill value xsi:nill='true' then the period is not closed.	dateTime	XBRLGL	Period Type		Closed Date		Date Time		
cor	ASBIE	104	130	  gl-cor:entryHeader	 Entry Header	XBRLGL_ Accounting Entries. Specified. XBRLGL_ Entry Header	Parent for entry headers/journal entry headers.		XBRLGL	Accounting Entries		Specified			XBRLGL	Entry Header
cor	ABIE	105	130	  gl-cor:entryHeader	 Entry Header	XBRLGL_ Entry Header. Details	Parent for entry headers/journal entry headers.		XBRLGL	Entry Header						
cor	BBIE	106	131	    gl-cor:postedDate	 Posted Date. Date Time	XBRLGL_ Entry Header. Posted Date. Date Time	Date this entry was posted validated to the general ledger. May not represent the date of accounting significance which is represented by &apos;postingDate&apos;.	dateTime	XBRLGL	Entry Header		Posted Date		Date Time		
cor	BBIE	107	132	    gl-cor:enteredBy	 Entered By	XBRLGL_ Entry Header. Entered By	Initials/name of operator originally entering.	string	XBRLGL	Entry Header		Entered By		Text		
bus	BBIE	108	133	    gl-bus:enteredByModified	 Entered By Modified	XBRLGL_ Entry Header. Entered By Modified	Identification for the last person modifying this entry before posting.	string	XBRLGL	Entry Header		Entered By Modified		Text		
cor	BBIE	109	134	    gl-cor:enteredDate	 Entered Date. Date Time	XBRLGL_ Entry Header. Entered Date. Date Time	"Represents the actual date/time of entry into computer automated from system date, often misrepresented by changing system clock. Posting dates are maintained separately. "	dateTime	XBRLGL	Entry Header		Entered Date		Date Time		
bus	BBIE	110	135	    gl-bus:entryResponsiblePerson	 Entry Responsible Person	XBRLGL_ Entry Header. Entry Responsible Person	Identifier of person who created or originated or is otherwise responsible for the entry.	string	XBRLGL	Entry Header		Entry Responsible Person		Text		
cor	BBIE	111	136	    gl-cor:sourceJournalID	 Source Journal ID. Code	XBRLGL_ Entry Header. Source Journal ID. Code	Source journal. The code of the journal in which the entry is processed. The code must be a unique indication for a journal and is selected from the following enumerated list: cd cash disbursements sending cheques to vendors cr cash receipts receiving cheques from others fa fixed assets gi giro/other bank adjustments gj general journal im inventory management jc job cost pj purchase journal liabilities from purchases pl payroll journal sj sales journal se standard entries ud user defined ot other sources of entries	token	XBRLGL	Entry Header		Source Journal ID		Code		
bus	BBIE	112	137	    gl-bus:sourceJournalDescription	 Source Journal Description	XBRLGL_ Entry Header. Source Journal Description	"Source journal full description of general journal, payroll journal, accountant entries. A more easily readable journal indication. The most common journals are: Purchases, Sales, Cash, and General Journal."	string	XBRLGL	Entry Header		Source Journal Description		Text		
cor	BBIE	113	138	    gl-cor:entryType	 Entry Type. Code	XBRLGL_ Entry Header. Entry Type. Code	"One of the following enumerated list: adjusting, budget, comparative, external-accountant, standard, passed-adjusting, eliminating, proposed, recurring, reclassifying, simulated, tax, other"	token	XBRLGL	Entry Header		Entry Type		Code		
bus	BBIE	114	139	    gl-bus:entryOrigin	 Entry Origin	XBRLGL_ Entry Header. Entry Origin	"Origin of entry: accrual, manual entry, imported entry, exchange gain or loss"	string	XBRLGL	Entry Header		Entry Origin		Text		
cor	BBIE	115	140	    gl-cor:entryNumber	 Entry Number	XBRLGL_ Entry Header. Entry Number	Identifier within source journal	string	XBRLGL	Entry Header		Entry Number		Text		
cor	BBIE	116	141	    gl-cor:entryComment	 Entry Comment	XBRLGL_ Entry Header. Entry Comment	Description of entry described by this entry header e.g. Opening Balance	string	XBRLGL	Entry Header		Entry Comment		Text		
cor	BBIE	117	142	    gl-cor:qualifierEntry	 Qualifier Entry. Code	XBRLGL_ Entry Header. Qualifier Entry. Code	"Entry Qualifier - An enumerated field that qualifies the type of entry, specifically useful for general ledger and trial balance environments when it is important to state the values represented are summarized as of the reporting date - opening or closing balances. In accounting systems, this is often known as BBF balance brought forward. Permitted values are: standard, balance-brought-forward and other."	token	XBRLGL	Entry Header		Qualifier Entry		Code		
cor	BBIE	118	143	    gl-cor:qualifierEntryDescription	 Qualifier Entry Description	XBRLGL_ Entry Header. Qualifier Entry Description	Free format description of the entry qualifier	string	XBRLGL	Entry Header		Qualifier Entry Description		Text		
