num,module,kind,table,no,name,level,DT,length,DEN,Desc,OclassQ,Oclass,P,R,AQ,A
13,Public Archives,BBIE,Accounting Period,2,Number of Accounting Period,1,C..15,15,GB_ Accounting Period. Number of Accounting Period,"The number of accounting period according to accounting standard Note:Which support adjustment, such as the first adjustment of the 12th month, expressed as '1201'",GB,Accounting Period,Number of Accounting Period,Identifier,,
14,Public Archives,BBIE,Accounting Period,3,Opening Date of Accounting Period,1,C8,8,GB_ Accounting Period. Opening Date of Accounting Period,The calendar opening date of the current accounting period Note:'YYYYMMDD' according to the ISO 8601:2000,GB,Accounting Period,Opening Date of Accounting Period,Date,,
15,Public Archives,BBIE,Accounting Period,4,Closing Date of Accounting Period,1,C8,8,GB_ Accounting Period. Closing Date of Accounting Period, Note:'YYYYMMDD' according to the ISO 8601:2000,GB,Accounting Period,Closing Date of Accounting Period,Date,,
16,Public Archives,IDBIE,Type of Voucher,1,Number of Journal Entry Type,1,C..60,60,GB_ Type of Voucher. ID,The number of journal entry type,GB,Type of Voucher,Identification,Identifier,,
17,Public Archives,BBIE,Type of Voucher,2,Name of Journal Entry Type,1,C..60,60,GB_ Type of Voucher. Name of Journal Entry Type,The name of journal entry type Note:e.g. 'journal entry type',GB,Type of Voucher,Name of Journal Entry Type,Identifier,,
18,Public Archives,BBIE,Type of Voucher,3,Abbreviation of Journal Entry Type,1,C..20,20,GB_ Type of Voucher. Abbreviation of Journal Entry Type,"The abbreviation of journal entry type Note:e.g., 'ji' or 'zi' in some units of china",GB,Type of Voucher,Abbreviation of Journal Entry Type,Identifier,,
19,Public Archives,IDBIE,Type of Exchange Rate,1,Code of Exchange Rate Type,1,C..60,60,GB_ Type of Exchange Rate. ID,The type code of exchange rate of the base currency to a target currency,GB,Type of Exchange Rate,Identification,Identifier,,
20,Public Archives,BBIE,Type of Exchange Rate,2,Name of Exchange Rate Type,1,C..60,60,GB_ Type of Exchange Rate. Name of Exchange Rate Type,"The type name of exchange rate of the base currency to a target currency Note:e.g., 'buying rate', 'selling rate' etc.",GB,Type of Exchange Rate,Name of Exchange Rate Type,Identifier,,
21,Public Archives,IDBIE,Currency,1,Currency Code,1,C..10,10,GB_ Currency. ID,The currency code Note:According to the ISO 4217:2001,GB,Currency,Identification,Identifier,,
22,Public Archives,BBIE,Currency,2,Name of Currency,1,C..30,30,GB_ Currency. Name of Currency,The type name of currency concerned in accounting Note:According to the GB/T 12406-2008,GB,Currency,Name of Currency,Identifier,,
23,Public Archives,IDBIE,Settlement Way,1,Code of Settlement Method,1,C..60,60,GB_ Settlement Way. ID,The code of the form of funds settlement,GB,Settlement Way,Identification,Identifier,,
24,Public Archives,BBIE,Settlement Way,2,Name of Settlement Method,1,C..60,60,GB_ Settlement Way. Name of Settlement Method,The name of the form of funds settlement,GB,Settlement Way,Name of Settlement Method,Identifier,,
25,Public Archives,IDBIE,Department File,1,Department Code,1,C..60,60,GB_ Department File. ID,The code of internal department,GB,Department File,Identification,Identifier,,
26,Public Archives,BBIE,Department File,2,Department Name,1,C..200,200,GB_ Department File. Department Name,The name of internal department,GB,Department File,Department Name,Text,,
27,Public Archives,BBIE,Department File,3,Code of Superior Department,1,C..60,60,GB_ Department File. Code of Superior Department,The code of superior department of the corresponding department,GB,Department File,Code of Superior Department,Identifier,,
28,Public Archives,IDBIE,Employee File,1,Employee Code,1,C..60,60,GB_ Employee File. ID,The code of employee,GB,Employee File,Identification,Identifier,,
29,Public Archives,BBIE,Employee File,2,Employee Name,1,C..30,30,GB_ Employee File. Employee Name,The name of employee,GB,Employee File,Employee Name,Identifier,,
30,Public Archives,BBIE,Employee File,3,ID Name,1,C..30,30,GB_ Employee File. ID Name,"The name of valid certificate as a proof of the identity of the employee Note:e.g., 'ID', 'certificate of officers' and 'passport', etc.. One can choose any one if he has more valid certificates at the same time",GB,Employee File,ID Name,Identifier,,
31,Public Archives,BBIE,Employee File,4,ID Number,1,C..30,30,GB_ Employee File. ID Number,The number of employee's valid certificate,GB,Employee File,ID Number,Identifier,,
32,Public Archives,BBIE,Employee File,5,Gender,1,C..20,20,GB_ Employee File. Gender,The employee's gender,GB,Employee File,Gender,Identifier,,
33,Public Archives,BBIE,Employee File,6,D.O.B,1,C8,8,GB_ Employee File. D.O.B,The date of employee's birth Note:'YYYYMMDD' according to the ISO 8601:2000,GB,Employee File,D.O.B,Date,,
34,Public Archives,BBIE,Employee File,7,Department Code,1,C..60,60,GB_ Employee File. Department Code,The code of internal department,GB,Employee File,Department Code,Identifier,,
35,Public Archives,BBIE,Employee File,8,Date of Employment,1,C8,8,GB_ Employee File. Date of Employment,The employment date of employee Note:'YYYYMMDD' according to the ISO 8601:2000,GB,Employee File,Date of Employment,Date,,
36,Public Archives,BBIE,Employee File,9,Resignation Date,1,C8,8,GB_ Employee File. Resignation Date,The resignation date of employee Note:'YYYYMMDD' according to the ISO 8601:2000,GB,Employee File,Resignation Date,Date,,
37,Public Archives,IDBIE,Supplier File,1,Supplier Code,1,C..60,60,GB_ Supplier File. ID,Explanation: The code of supplier,GB,Supplier File,Identification,Identifier,,
38,Public Archives,BBIE,Supplier File,2,Supplier Name,1,C..200,200,GB_ Supplier File. Supplier Name,The supplier's full name,GB,Supplier File,Supplier Name,Text,,
39,Public Archives,BBIE,Supplier File,3,Supplier Abbreviation,1,C..60,60,GB_ Supplier File. Supplier Abbreviation,The abbreviated form of supplier's name,GB,Supplier File,Supplier Abbreviation,Identifier,,
40,Public Archives,IDBIE,Client File,1,Customer Number,1,C..60,60,GB_ Client File. ID,The number of customer,GB,Client File,Identification,Identifier,,
41,Public Archives,BBIE,Client File,2,Customer Name,1,C..200,200,GB_ Client File. Customer Name,The full name of customer,GB,Client File,Customer Name,Text,,
42,Public Archives,BBIE,Client File,3,Customer Abbreviation,1,C..60,60,GB_ Client File. Customer Abbreviation,The abbreviation of customer's name,GB,Client File,Customer Abbreviation,Identifier,,
43,Public Archives,IDBIE,Custom File Entries,1,Segment Code,1,C..60,60,GB_ Custom File Entries. ID,"The code of other segment which electronic booking needs to use Note:This does not include the fixed files having been identified, such as 'department' and 'customer'",GB,Custom File Entries,Identification,Identifier,,
44,Public Archives,BBIE,Custom File Entries,2,Segment Name,1,C..200,200,GB_ Custom File Entries. Segment Name,The segment name which electronic booking need to use,GB,Custom File Entries,Segment Name,Text,,
45,Public Archives,BBIE,Custom File Entries,3,Segment Description,1,C..1000,1000,GB_ Custom File Entries. Segment Description,The segment description which electronic booking needs to use,GB,Custom File Entries,Segment Description,Text,,
46,Public Archives,BBIE,Custom File Entries,4,Hierarchy Feature,1,C1,1,GB_ Custom File Entries. Hierarchy Feature,"Whether the file value having a hierarchy feature or not Note:'1' means 'yes', '0' means 'no'",GB,Custom File Entries,Hierarchy Feature,Indicator,,
47,Public Archives,BBIE,Custom File Entries,5,Rule of File Encoding,1,C..200,200,GB_ Custom File Entries. Rule of File Encoding,"The encoding rules of customer defined file Note:If the encoding rules have hierarchy feature , the number of each level is separated by '-', such as'1-2-2-2'",GB,Custom File Entries,Rule of File Encoding,Text,,
48,Public Archives,IDBIE,Custom File Value,1,Segment Code,1,C..60,60,GB_ Custom File Value. ID,"The code of other segment which electronic booking needs to use Note:This does not include the fixed files having been identified, such as 'department' and 'customer'",GB,Custom File Value,Identification,Identifier,,
49,Public Archives,BBIE,Custom File Value,2,Code of File Content,1,C..60,60,GB_ Custom File Value. Code of File Content,The code of content value of each file,GB,Custom File Value,Code of File Content,Identifier,,
50,Public Archives,BBIE,Custom File Value,3,Name of File Content,1,C..200,200,GB_ Custom File Value. Name of File Content,The name of content value of each file,GB,Custom File Value,Name of File Content,Text,,
51,Public Archives,BBIE,Custom File Value,4,Description of File Content,1,C..1000,1000,GB_ Custom File Value. Description of File Content,The detailed description of the file content,GB,Custom File Value,Description of File Content,Text,,
52,Public Archives,BBIE,Custom File Value,5,Parent Code of File Content,1,C..60,60,GB_ Custom File Value. Parent Code of File Content,"the parent code of file content Note:Referred to [Code of File Content], if there are encoding rules, parent code is automatically brought out, otherwise the hierarchical relationship is exported",GB,Custom File Value,Parent Code of File Content,Identifier,,
53,Public Archives,BBIE,Custom File Value,6,Hierarchy of File Content,1,C..2,2,GB_ Custom File Value. Hierarchy of File Content,The level of the current value in the file structure Note:'1' means 'no hierarchy feature',GB,Custom File Value,Hierarchy of File Content,Identifier,,
54,General Ledger,IDBIE,Basic Information of General Ledger,1,Structure Separator,1,C1,1,GB_ Basic Information of General Ledger. ID,The structure separator of subsidiary account and extended field Note:e.g. '-',GB,Basic Information of General Ledger,Identification,Identifier,,
55,General Ledger,BBIE,Basic Information of General Ledger,2,Rules of Accounts Encoding,1,C..200,200,GB_ Basic Information of General Ledger. Rules of Accounts Encoding,"The code of account corresponding to each level is separated by '-' Note:e.g., '4-2-2' or '4-3-4'",GB,Basic Information of General Ledger,Rules of Accounts Encoding,Text,,
56,General Ledger,BBIE,Basic Information of General Ledger,3,Rules of Cash-flow-item Encoding,1,C..200,200,GB_ Basic Information of General Ledger. Rules of Cash-flow-item Encoding,"The code of item corresponding to each level is separated by '-' Note:e.g., '4-2-2' or '4-3-4'",GB,Basic Information of General Ledger,Rules of Cash-flow-item Encoding,Text,,
57,General Ledger,BBIE,Basic Information of General Ledger,4,Extensible Field Structure of Document,1,C..2000,2000,GB_ Basic Information of General Ledger. Extensible Field Structure of Document,"The users can customize the additional field of the important information for the document if needed. It can be the combination of multiple extended field, or it can be null Note:e.g., 'the date of transaction', up to 30 fields",GB,Basic Information of General Ledger,Extensible Field Structure of Document,Text,,
58,General Ledger,BBIE,Basic Information of General Ledger,5,Corresponding Segment of Extensible Structure of Document,1,C..2000,2000,GB_ Basic Information of General Ledger. Corresponding Segment of Extensible Structure of Document,"The corresponding file for each extended field of document. It can be multiple extended fields corresponding to the same record, or it can be no file (null)",GB,Basic Information of General Ledger,Corresponding Segment of Extensible Structure of Document,Text,,
59,General Ledger,BBIE,Basic Information of General Ledger,6,Extensible Field Structure of Entry,1,C..2000,2000,GB_ Basic Information of General Ledger. Extensible Field Structure of Entry,"The users can customize the additional field of the important information for the entry if needed. It can be the combination of multiple extended field, or it can be null Note:e.g., 'settlement method - notes type - the serials number of notes - the date of notes', up to 30 fields",GB,Basic Information of General Ledger,Extensible Field Structure of Entry,Text,,
60,General Ledger,BBIE,Basic Information of General Ledger,7,Corresponding Segment of Extensible Structure of Entry,1,C..2000,2000,GB_ Basic Information of General Ledger. Corresponding Segment of Extensible Structure of Entry,"The corresponding file for each extended field of entry. It can be multiple extended fields corresponding to the same record, or it can be no file (null) Note:e.g., 'record of settlement method - record of notes type - null - null'",GB,Basic Information of General Ledger,Corresponding Segment of Extensible Structure of Entry,Text,,
61,General Ledger,IDBIE,Accounting Course,1,Account Number,1,C..60,60,GB_ Accounting Course. ID," Note:The categorized code of each account, according to the accounting rules and business properties",GB,Accounting Course,Identification,Identifier,,
62,General Ledger,BBIE,Accounting Course,2,Account Name,1,C..60,60,GB_ Accounting Course. Account Name,The corresponding account name of the account code at the bottom level Note:e.g. 'personal income tax payable',GB,Accounting Course,Account Name,Identifier,,
63,General Ledger,BBIE,Accounting Course,3,Hierarchy of Account,1,I..2,2,GB_ Accounting Course. Hierarchy of Account,,GB,Accounting Course,Hierarchy of Account,Identifier,,
64,General Ledger,BBIE,Accounting Course,4,Account Type,1,C..20,20,GB_ Accounting Course. Account Type,"The type of account Note:e.g., 'assets', 'liabilities', 'the shareholder and owner's equity', 'cost' and 'profit and loss', etc.",GB,Accounting Course,Account Type,Identifier,,
65,General Ledger,BBIE,Accounting Course,5,Debit or Credit Balance,1,C..4,4,GB_ Accounting Course. Debit or Credit Balance,"Debit or credit balance Note:e.g., 'credit' or 'debit'",GB,Accounting Course,Debit or Credit Balance,Identifier,,
66,General Ledger,IDBIE,Subject Assistant Accounting,1,Account Number,1,C..60,60,GB_ Subject Assistant Accounting. ID," Note:The categorized code of each account, according to the accounting rules and business properties",GB,Subject Assistant Accounting,Identification,Identifier,,
67,General Ledger,BBIE,Subject Assistant Accounting,2,Number of Subsidiary Item,1,C..60,60,GB_ Subject Assistant Accounting. Number of Subsidiary Item,Explanation: The number of subsidiary item,GB,Subject Assistant Accounting,Number of Subsidiary Item,Identifier,,
68,General Ledger,BBIE,Subject Assistant Accounting,3,Name of Subsidiary Item,1,C..200,200,GB_ Subject Assistant Accounting. Name of Subsidiary Item,Explanation: The name of subsidiary item,GB,Subject Assistant Accounting,Name of Subsidiary Item,Text,,
69,General Ledger,BBIE,Subject Assistant Accounting,4,Corresponding File,1,C..200,200,GB_ Subject Assistant Accounting. Corresponding File,"The file corresponding to subsidiary item Note:e.g., 'department file', 'employee file', 'supplier file', 'customer file', 'name of customer defined file'",GB,Subject Assistant Accounting,Corresponding File,Text,,
70,General Ledger,BBIE,Subject Assistant Accounting,5,Description of Subsidiary Item,1,C..2000,2000,GB_ Subject Assistant Accounting. Description of Subsidiary Item,The detailed description of subsidiary item,GB,Subject Assistant Accounting,Description of Subsidiary Item,Text,,
71,General Ledger,IDBIE,Cash Flow Project,1,Code of Cash Flow Item,1,C..60,60,GB_ Cash Flow Project. ID,The code of cash flow item,GB,Cash Flow Project,Identification,Identifier,,
72,General Ledger,BBIE,Cash Flow Project,2,Name of Cash Flow Item,1,C..200,200,GB_ Cash Flow Project. Name of Cash Flow Item,The name of cash flow item,GB,Cash Flow Project,Name of Cash Flow Item,Text,,
73,General Ledger,BBIE,Cash Flow Project,3,Description of Cash Flow Item,1,C..2000,2000,GB_ Cash Flow Project. Description of Cash Flow Item,The detailed description of cash flow item,GB,Cash Flow Project,Description of Cash Flow Item,Text,,
74,General Ledger,BBIE,Cash Flow Project,4,Bottom of Hierarchy,1,C1,1,GB_ Cash Flow Project. Bottom of Hierarchy,"Whether at the bottom of hierarchy Note:1' means 'yes', '0' means 'no'",GB,Cash Flow Project,Bottom of Hierarchy,Indicator,,
75,General Ledger,BBIE,Cash Flow Project,5,Hierarchy of Cash Flow Item,1,C..2,2,GB_ Cash Flow Project. Hierarchy of Cash Flow Item,The level of current cash flow item,GB,Cash Flow Project,Hierarchy of Cash Flow Item,Identifier,,
76,General Ledger,BBIE,Cash Flow Project,6,Parent of Cash Flow Item,1,C..60,60,GB_ Cash Flow Project. Parent of Cash Flow Item,The parent code of cash flow item,GB,Cash Flow Project,Parent of Cash Flow Item,Identifier,,
77,General Ledger,BBIE,Cash Flow Project,7,Data Source of Cash Flow,1,C1,1,GB_ Cash Flow Project. Data Source of Cash Flow," Note:The data source of the cash flow item, e.g., the main statement or subsidiary statement. '1' means 'the main statement', '0' means 'the subsidiary statement'",GB,Cash Flow Project,Data Source of Cash Flow,Indicator,,
78,General Ledger,BBIE,Cash Flow Project,8,Property of Cash Flow Item,1,C1,1,GB_ Cash Flow Project. Property of Cash Flow Item,"The property of the cash flow item Note:'1' means 'inflow', '0' means 'outflow', '2' means 'unable to confirm'",GB,Cash Flow Project,Property of Cash Flow Item,Indicator,,
79,General Ledger,IDBIE,Account Balance and Occurrence,1,Account Number,1,C..60,60,GB_ Account Balance and Occurrence. ID," Note:The categorized code of each account, according to the accounting rules and business properties",GB,Account Balance and Occurrence,Identification,Identifier,,
80,General Ledger,BBIE,Account Balance and Occurrence,2,Number of Subsidiary Item,1,C..60,60,GB_ Account Balance and Occurrence. Number of Subsidiary Item,Explanation: The number of subsidiary item,GB,Account Balance and Occurrence,Number of Subsidiary Item,Identifier,,
81,General Ledger,BBIE,Account Balance and Occurrence,3,Opening Balance Debit or Credit,1,C..4,4,GB_ Account Balance and Occurrence. Opening Balance Debit or Credit,"The opening balance of debit or credit direction for the account Note:e.g., 'debit', 'credit'",GB,Account Balance and Occurrence,Opening Balance Debit or Credit,Identifier,,
82,General Ledger,BBIE,Account Balance and Occurrence,4,Closing Balance Debit or Credit,1,C..4,4,GB_ Account Balance and Occurrence. Closing Balance Debit or Credit,"The ending balance of debit or credit direction for the account Note:e.g., 'debit', 'credit'",GB,Account Balance and Occurrence,Closing Balance Debit or Credit,Identifier,,
83,General Ledger,BBIE,Account Balance and Occurrence,5,Currency Code,1,C..10,10,GB_ Account Balance and Occurrence. Currency Code,The currency code Note:According to the ISO 4217:2001,GB,Account Balance and Occurrence,Currency Code,Identifier,,
84,General Ledger,BBIE,Account Balance and Occurrence,6,Measurement Unit,1,C..10,10,GB_ Account Balance and Occurrence. Measurement Unit,The physical measurement scale,GB,Account Balance and Occurrence,Measurement Unit,Identifier,,
85,General Ledger,BBIE,Account Balance and Occurrence,7,Fiscal Year,1,C4,4,GB_ Account Balance and Occurrence. Fiscal Year,The year of the current financial statement Note:e.g. '2010',GB,Account Balance and Occurrence,Fiscal Year,Code,,
86,General Ledger,BBIE,Account Balance and Occurrence,8,Number of Accounting Period,1,C..15,15,GB_ Account Balance and Occurrence. Number of Accounting Period,"The number of accounting period according to accounting standard Note:Which support adjustment, such as the first adjustment of the 12th month, expressed as '1201'",GB,Account Balance and Occurrence,Number of Accounting Period,Identifier,,
87,General Ledger,BBIE,Account Balance and Occurrence,9,Amount of Beginning Balance,1,D20.6,20,GB_ Account Balance and Occurrence. Amount of Beginning Balance, Note:The beginning balance amount of the account,GB,Account Balance and Occurrence,Amount of Beginning Balance,Amount,,
88,General Ledger,BBIE,Account Balance and Occurrence,10,Beginning Balance of Local Currency,1,D20.2,20,GB_ Account Balance and Occurrence. Beginning Balance of Local Currency,The beginning local currency balance of the account,GB,Account Balance and Occurrence,Beginning Balance of Local Currency,Amount,,
89,General Ledger,BBIE,Account Balance and Occurrence,11,Beginning Balance of Functional Currency,1,D20.2,20,GB_ Account Balance and Occurrence. Beginning Balance of Functional Currency,,GB,Account Balance and Occurrence,Beginning Balance of Functional Currency,Amount,,
90,General Ledger,BBIE,Account Balance and Occurrence,12,Debit Amount,1,D20.6,20,GB_ Account Balance and Occurrence. Debit Amount, Note:The debit amount,GB,Account Balance and Occurrence,Debit Amount,Amount,,
91,General Ledger,BBIE,Account Balance and Occurrence,13,Debit Amount of Local Currency,1,D20.2,20,GB_ Account Balance and Occurrence. Debit Amount of Local Currency, Note:The debit amount of local currency,GB,Account Balance and Occurrence,Debit Amount of Local Currency,Amount,,
92,General Ledger,BBIE,Account Balance and Occurrence,14,Debit Amount of Functional Currency,1,D20.2,20,GB_ Account Balance and Occurrence. Debit Amount of Functional Currency, Note:The debit amount of functional currency,GB,Account Balance and Occurrence,Debit Amount of Functional Currency,Amount,,
93,General Ledger,BBIE,Account Balance and Occurrence,15,Credit Amount,1,D20.6,20,GB_ Account Balance and Occurrence. Credit Amount, Note:The credit amount,GB,Account Balance and Occurrence,Credit Amount,Amount,,
94,General Ledger,BBIE,Account Balance and Occurrence,16,Credit Amount of Local Currency,1,D20.2,20,GB_ Account Balance and Occurrence. Credit Amount of Local Currency, Note:The credit amount of local currency,GB,Account Balance and Occurrence,Credit Amount of Local Currency,Amount,,
95,General Ledger,BBIE,Account Balance and Occurrence,17,Credit Amount of Functional Currency,1,D20.2,20,GB_ Account Balance and Occurrence. Credit Amount of Functional Currency, Note:The credit amount of functional currency,GB,Account Balance and Occurrence,Credit Amount of Functional Currency,Amount,,
96,General Ledger,BBIE,Account Balance and Occurrence,18,Amount of Ending Balance,1,D20.6,20,GB_ Account Balance and Occurrence. Amount of Ending Balance,The amount of ending balance,GB,Account Balance and Occurrence,Amount of Ending Balance,Amount,,
97,General Ledger,BBIE,Account Balance and Occurrence,19,Ending Balance of Local Currency,1,D20.2,20,GB_ Account Balance and Occurrence. Ending Balance of Local Currency,The ending balance of local currency,GB,Account Balance and Occurrence,Ending Balance of Local Currency,Amount,,
98,General Ledger,BBIE,Account Balance and Occurrence,20,Ending Balance of Functional Currency,1,D20.2,20,GB_ Account Balance and Occurrence. Ending Balance of Functional Currency,The ending balance of functional currency,GB,Account Balance and Occurrence,Ending Balance of Functional Currency,Amount,,
99,General Ledger,IDBIE,Account Voucher,1,Date of Journal Entry,1,C8,8,GB_ Account Voucher. ID,The date of making of journal entry Note:'YYYYMMDD' according to the ISO 8601:2000,GB,Account Voucher,Identification,Identifier,,
100,General Ledger,BBIE,Account Voucher,2,Fiscal Year,1,C4,4,GB_ Account Voucher. Fiscal Year,The year of the current financial statement Note:e.g. '2010',GB,Account Voucher,Fiscal Year,Code,,
101,General Ledger,BBIE,Account Voucher,3,Number of Accounting Period,1,C..15,15,GB_ Account Voucher. Number of Accounting Period,"The number of accounting period according to accounting standard Note:Which support adjustment, such as the first adjustment of the 12th month, expressed as '1201'",GB,Account Voucher,Number of Accounting Period,Identifier,,
102,General Ledger,BBIE,Account Voucher,4,Number of Journal Entry Type,1,C..60,60,GB_ Account Voucher. Number of Journal Entry Type,The number of journal entry type,GB,Account Voucher,Number of Journal Entry Type,Identifier,,
103,General Ledger,BBIE,Account Voucher,5,Number of Journal Entry,1,C..60,60,GB_ Account Voucher. Number of Journal Entry,,GB,Account Voucher,Number of Journal Entry,Identifier,,
104,General Ledger,BBIE,Account Voucher,6,Line Number of Journal Entry,1,C..5,5,GB_ Account Voucher. Line Number of Journal Entry,,GB,Account Voucher,Line Number of Journal Entry,Identifier,,
105,General Ledger,BBIE,Account Voucher,7,Summary of Journal Entry,1,C..300,300,GB_ Account Voucher. Summary of Journal Entry,A brief description of the business journal entry,GB,Account Voucher,Summary of Journal Entry,Text,,
106,General Ledger,BBIE,Account Voucher,8,Account Number,1,C..60,60,GB_ Account Voucher. Account Number," Note:The categorized code of each account, according to the accounting rules and business properties",GB,Account Voucher,Account Number,Identifier,,
107,General Ledger,BBIE,Account Voucher,9,Number of Subsidiary Item,1,C..60,60,GB_ Account Voucher. Number of Subsidiary Item,Explanation: The number of subsidiary item,GB,Account Voucher,Number of Subsidiary Item,Identifier,,
108,General Ledger,BBIE,Account Voucher,10,Currency Code,1,C..10,10,GB_ Account Voucher. Currency Code,The currency code Note:According to the ISO 4217:2001,GB,Account Voucher,Currency Code,Identifier,,
109,General Ledger,BBIE,Account Voucher,11,Measurement Unit,1,C..10,10,GB_ Account Voucher. Measurement Unit,The physical measurement scale,GB,Account Voucher,Measurement Unit,Identifier,,
110,General Ledger,BBIE,Account Voucher,12,Debit Amount,1,D20.6,20,GB_ Account Voucher. Debit Amount, Note:The debit amount,GB,Account Voucher,Debit Amount,Amount,,
111,General Ledger,BBIE,Account Voucher,13,Debit Amount of Local Currency,1,D20.2,20,GB_ Account Voucher. Debit Amount of Local Currency, Note:The debit amount of local currency,GB,Account Voucher,Debit Amount of Local Currency,Amount,,
112,General Ledger,BBIE,Account Voucher,14,Debit Amount of Functional Currency,1,D20.2,20,GB_ Account Voucher. Debit Amount of Functional Currency, Note:The debit amount of functional currency,GB,Account Voucher,Debit Amount of Functional Currency,Amount,,
113,General Ledger,BBIE,Account Voucher,15,Credit Amount,1,D20.6,20,GB_ Account Voucher. Credit Amount, Note:The credit amount,GB,Account Voucher,Credit Amount,Amount,,
114,General Ledger,BBIE,Account Voucher,16,Credit Amount of Local Currency,1,D20.2,20,GB_ Account Voucher. Credit Amount of Local Currency, Note:The credit amount of local currency,GB,Account Voucher,Credit Amount of Local Currency,Amount,,
115,General Ledger,BBIE,Account Voucher,17,Credit Amount of Functional Currency,1,D20.2,20,GB_ Account Voucher. Credit Amount of Functional Currency, Note:The credit amount of functional currency,GB,Account Voucher,Credit Amount of Functional Currency,Amount,,
116,General Ledger,BBIE,Account Voucher,18,Code of Exchange Rate Type,1,C..60,60,GB_ Account Voucher. Code of Exchange Rate Type,The type code of exchange rate of the base currency to a target currency,GB,Account Voucher,Code of Exchange Rate Type,Identifier,,
117,General Ledger,BBIE,Account Voucher,19,Exchange Rate,1,D13.4,13,GB_ Account Voucher. Exchange Rate,The exchange rate,GB,Account Voucher,Exchange Rate,Rate,,
118,General Ledger,BBIE,Account Voucher,20,Unit Price,1,D20.4,20,GB_ Account Voucher. Unit Price,The price per unit,GB,Account Voucher,Unit Price,Amount,,
119,General Ledger,BBIE,Account Voucher,21,Value of Extensible Field Structure of Document,1,C..300,300,GB_ Account Voucher. Value of Extensible Field Structure of Document,The value defined by user in current document header; user-defined fields value of present voucher head,GB,Account Voucher,Value of Extensible Field Structure of Document,Text,,
120,General Ledger,BBIE,Account Voucher,22,Value of Extensible Field Structure of Entry,1,C..300,300,GB_ Account Voucher. Value of Extensible Field Structure of Entry,,GB,Account Voucher,Value of Extensible Field Structure of Entry,Text,,
121,General Ledger,BBIE,Account Voucher,23,Code of Settlement Method,1,C..60,60,GB_ Account Voucher. Code of Settlement Method,The code of the form of funds settlement,GB,Account Voucher,Code of Settlement Method,Identifier,,
122,General Ledger,BBIE,Account Voucher,24,Document Type,1,C..60,60,GB_ Account Voucher. Document Type,"The document type Note:e.g., 'bill', 'receipts'",GB,Account Voucher,Document Type,Identifier,,
123,General Ledger,BBIE,Account Voucher,25,Document Number,1,C..60,60,GB_ Account Voucher. Document Number,The serial number of document,GB,Account Voucher,Document Number,Identifier,,
124,General Ledger,BBIE,Account Voucher,26,Document Date,1,C8,8,GB_ Account Voucher. Document Date,The document date Note:'YYYYMMDD' according to the ISO 8601:2000,GB,Account Voucher,Document Date,Date,,
125,General Ledger,BBIE,Account Voucher,27,Number of Attachments,1,I..4,4,GB_ Account Voucher. Number of Attachments,The number of attachments,GB,Account Voucher,Number of Attachments,Identifier,,
