ENTITY_NAME	TAG	CODE	DESCRIPTION	COMMENTS	XMLTAG
PPE DEPRECIATION	PDP		Contains the information correlating with PPE summarized depreciation in the period.	150	PpeDepreciation
PPE DEPRECIATION METHOD	PDM		Contains the information of depreciation methods used for PPE depreciation.	148	PpeDepreciationMethod
PPE MASTER	PPE		"Contains the details of each PPE item, for example, its code, specification, location, acquiring date, original cost, and quantity."	138	PpeMaster
PPE REMOVAL	PPR		Contains the details related to PPE removal transactions.	142	PpeRemoval
PPE TYPE	PTP		"Contains the details of each PPE type. (Property, Plant and Equipment)"	136	PpeType
PRIMARY CONTACT	PCT		Primary contact information.		PrimaryContact
PUR CONTRACT	PCN		"Contains summary information of purchase contracts placed during the period under review. In situations where companies only require purchase orders, the purchase contract(s) may not always be available."	104	PurContract
PUR CONTRACT DETAILS	PCD		"Contains line item details for the purchase contracts. Each line includes material, quantity, supplier, price per unit and trading amount."	106	PurContractDetails
PUR INVOICE RECEIVED	PIR		"Contains summary information for the invoices received during the period under review. Invoices are included in the three-way match procedures, which control the decision process for AP entries. Each line includes invoice ID, invoice number, invoice date, supplier, invoice amount, currency type, tax type, tax amount, settle method and payment terms."	112	PurInvoiceReceived
PUR INVOICE RECEIVED DETAILS	PID		"Contains line item details for invoices. Each line includes invoice line information on specific materials, measurement unit, price per unit, invoice amount, currency type, tax type code, and tax amount. The file will record for each invoice line item."	114	PurInvoiceReceivedDetails
PUR MATERIALS RECEIVED	PMR		"Contains summary information for shipments and shipment adjustments received against purchase orders during the period under review. Materials received are included in the three-way match procedures, which control the decision process for AP entries.  Each line includes receipt ID and Number, receipt date, receipt amount, supplier information and currency type."	116	PurMaterialsReceived
PUR MATERIALS RECEIVED DETAILS	PGD		"Contains line item details for shipments and shipment adjustment. Each line includes materials received, measurement unit, price per unit, order amount and currency type."	118	PurMaterialsReceivedDetails
PUR ORDER	POR		"Contains summary information of purchase orders placed during the period under review. Purchase orders are included in the three-way match procedures, which control the decision process for AP entries."	108	PurOrder
PUR ORDER DETAILS	POD		"Contains line item details for purchase orders. Each line includes material, quantity, due date, price per unit, trading amount, recipient and settlement organization. The file will have one record for each purchase order line item. Multiple types of materials may be presented in one purchase order."	110	PurOrderDetails
PUR REQUISITION	PRR		Contains summary information for purchase requisitions placed during the period under review.  The file will have one record for each requisition.	100	PurRequisition
PUR REQUISITION DETAILS	PRD		"Contains line item details for the purchase requisitions. The table contains material, quantity, due date, requisition organization and the purchase organization."	102	PurRequisitionDetails
SAL CONTRACT	SAC		"Contains summary information of sales contracts placed during the period under review. In situations where companies only require sales orders, the sales contract(s) may not always be available."	072	SalContract
SAL CONTRACT DETAILS	SCD		"Contains line item details for the sales contracts. Each line includes product, quantity, customer, price per unit and trading amount."	074	SalContractDetails
SAL INVOICE GENERATED	SAG		"Contains summary information for the invoices generated during the period under review. Invoices are included in the three-way match procedures, which control the decision process for AR entries.  Each line includes invoice ID, invoice number, invoice date, customer, invoice amount, currency type, tax type, tax amount, settlement method and payment terms."	080	SalInvoiceGenerated
SAL INVOICE GENERATED DETAILS	IGL		"Contains line item details for invoices. Each line includes invoice line information on specific products, measurement unit, price per unit, invoice amount, currency type, tax type code and tax amount."	082	SalInvoiceGeneratedDetails
SAL ORDER	SOR		"Contains summary information of sales orders pertinent to orders placed during the period under review Sales orders are included in the three-way match procedures, which control the decision process for AR entries."	076	SalOrder
SAL ORDER DETAILS	SAL		"Contains line item details for sales orders. Each line includes product, quantity, due date, price per unit, trading amount and settlement organization. The file will have one record for each sales order line item. Multiple types of products may be presented in one sales order. Additionally, different shippers and settlement organization may be assigned by each order line."	078	SalOrderDetails
SAL SHIPMENT MADE	SHM		"Contains summary information for shipments and shipment adjustments made against sales orders during the period under review. Shipments made are included in the three-way match procedures, which control the decision process for AR entries.  Each line includes shipment ID and Number, shipment date, shipping amount, customer information and currency type."	084	SalShipmentMade
SAL SHIPMENT MADE DETAILS	SMD		"Contains line item details for shipments and shipment adjustments. Each line includes shipments made, measurement unit, price per unit, order amount and currency type."	086	SalShipmentMadeDetails
TAX	TAX		Tax information.		Tax
TRANSACTION AMOUNT	TRA		Transaction amount.		TransactionAmount
