ENTITY_NAME	ATTRIBUTE_NAME	DOMAIN_NAME	#	Module	A/B/ID/RL/AS	CC/BIE	Business Term	Dictionary Entry Name	Object Class Term Qualifier	Object Class Term	Property Term Qualifier	Property Term	Datatype Qualifiry	Representation Term	Associate Object Class Term Qualifier	Associate Object Class Term	Relation Object Class Term Qualifier	Relation Object Class Term	DESCRIPTION	Card.
			124	1.Core	B	CC	Code	Person. Assigned Identification. Identifier		Person		Assigned Identification		Identifier					A code for the employee.	0..1
			125	1.Core	B	CC	Type Code	Person. Type. Identifier		Person		Type		Identifier					A code specifying a type for this employee.	0..1
			126	1.Core	B	CC	Type Text	Person. Type. Text		Person		Type		Text					"A type, expressed as text, for this employee."	0..1
			127	1.Core	B	CC	Academic Degree	Person. Academic degree. Text		Person		Academic degree		Text					The highest academic degree acquired.	0..1
			128	1.Core	B	CC	Employment Date	Person. Employment. Date		Person		Employment		Date					A date the employee was hired by their current employer.	0..1
			129	1.Core	B	CC	Termination Date	Person. Termination. Date		Person		Termination		Date					The termination date the employee was dismissed by their current employer.	0..1
			130	1.Core	B	CC	Job Title	Person. Job Title. Text		Person		Job Title		Text					A code that describes user's job or position.	0..1
			131	1.Core	B	CC	Role Responsibility	Person. Role Responsibility. Text		Person		Role Responsibility		Text					Free form description of the individual's functional role or primary responsibility.	0..1
			132	1.Core	B	CC	Status Modified Date	Person. Status Modified. Date		Person		Status Modified		Date					A modified date of the user's activation or termination status.	0..1
			133	1.Core	B	CC	Active Status	Person. Active Flag. Indicator		Person		Active Flag		Indicator					"This indicates whether the status of the user is active or inactive. A user may become inactive due to retirement, dismissal or termination etc."	0..1
HANDLING			134	1.Core	A	CC	Handling	Handling. Detail. 		Handling 		Detail							Handling information.	
HANDLING		IDENTIFIER 25	135	1.Core	RL	CC	By	Handling. By. System User_ Person		Handling 		By					System User	Person	The reference identifier for the person who did the handling.Typically auto-generated by the system. 	0..1
HANDLING		DATE	136	1.Core	B	CC	Date	Handling. Occurred. Date		Handling 		Occurred		Date					"The date of handling.This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date."	0..1
HANDLING		TIME	137	1.Core	B	CC	Time	Handling. Occurred. Time		Handling 		Occurred		Time					The time of handling.	0..1
			138	1.Core	A	CC	Party	Party. Details. 		Party		Details							"An individual, a group, or a body having a role in a business function. Party has a legal connotation in a business transaction."	
			139	1.Core	ID	CC	Party ID	Party. ID		Party		Identification		Identifier					A unique identifier of the party.	1..1
			140	1.Core	B	CC	Identification	Party. Identification. Code		Party		Identification		Code					"An identification, expressed as code, for this party."	0..1
			141	1.Core	B	CC	Type Code	Party. Type. Code		Party		Type		Code					A code specifying the type of party that is independent of its role.	0..1
			142	1.Core	B	CC	Name	Party. Name. Text		Party		Name		Text					"A name, expressed as text, for this party."	0..1
			143	1.Core	B	CC	Description	Party. Description. Text		Party		Description		Text					A textual description of this party.	0..1
			144	1.Core	B	CC	Assigned to Role Date	Party. Assigned To Role Date Time. Date Time		Party		Assigned To Role Date Time		Date Time					"The date, time, date time or other date time value when this role was assigned to the party."	0..1
			145	1.Core	B	CC	Role	Party. Role. Text		Party		Role		Text					"A role, expressed as text, for this party."	0..1
			146	1.Core	B	CC	Group	Party. Group. Text		Party		Group		Text					"A group, expressed as text, for this party."	0..1
			147	1.Core	RL	CC	Parent Party ID	Party. Parent Party. Party		Party		Parent Party						Party	A party that is a parent of this party.	0..1
			148	1.Core	B	CC	Active Fllag	Party. Active Flag. Indicator		Party		Active Flag		Indicator					This indicates whether the Regulator is active or inactive.	0..1
			149	1.Core	AS	CC	Primary Contact	Party. Primary. Contact		Party		Primary				Contact			A contact information for this party.	0..1
			150	1.Core	AS	CC	Address	Party. Specified. Address		Party		Specified				Address			An address specified for this party.	0..1
			151	1.Core	AS	CC	Physical Address	Party. Physical. Address		Party		Physical				Address			A physical address for this party.	0..1
			152	1.Core	AS	CC	Billing Address	Party. Billing. Address		Party		Billing				Address			A billing address for this party.	0..1
			153	1.Core	AS	CC	Associated Party	Party. Associated. Party		Party		Associated				Party			"A party associated with this party, such as a local agent of a shipping line."	0..1
BAS ACCOUNTING PERIOD	ACCOUNTING PERIOD INFORMATION		154	1.Core	A	CC	Fiscal Period	Fiscal Period. Detail. 		Fiscal Period		Detail							"Contains information related to accounting period including the corresponding fiscal year, the beginning and ending date. The table captures the time range within a specific reporting period and year, in which business transactions and entries are accumulated into financial statements and other reports."	
			155	1.Core	ID	CC	Fiscal Period ID	Fiscal Period. ID		Fiscal Period		Identification		Identifier					The unique identifier for this object class	1..1
BAS ACCOUNTING PERIOD	FISCAL YEAR	YEAR IDENTIFIER	156	1.Core	B	CC	Fiscal Year	Fiscal Period. Fiscal Year. Identifier		Fiscal Period		Fiscal Year		Identifier					"The fiscal year in which the calendar date occurs. The year shall be shown in four digits as YYYY, which is part of the extended format and the YYYY-MM-DD in ISO 8601-1."	0..1
BAS ACCOUNTING PERIOD	ACCOUNTING PERIOD	PERIOD IDENTIFIER	157	1.Core	B	CC	Accounting Period	Fiscal Period. Accounting Period. Identifier		Fiscal Period		Accounting Period		Identifier					"The accounting period in which the calendar date occurs. Examples include W1-W53 for weekly periods, M1-M12 for monthly periods, Q1-Q4 for quarterly periods, and from any beginning date to any ending date."	0..1
BAS ACCOUNTING PERIOD	ACCOUNTING PERIOD BEGINNING DATE	DATE	158	1.Core	B	CC	Accounting Period Beginning Date	Fiscal Period. Beginning. Date		Fiscal Period		Beginning		Date					The calendar beginning date of the current accounting period.	0..1
BAS ACCOUNTING PERIOD	ACCOUNTING PERIOD ENDING DATE	DATE	159	1.Core	B	CC	Accounting Period Ending Date	Fiscal Period. Ending. Date		Fiscal Period		Ending		Date					The calendar ending date of the current accounting period.	0..1
AMOUNT CURRENCY	AMOUNT AND CURRENCY		160	1.Core	A	CC	Multi Currency Amount	Multi Currency Amount. Detail. 		Multi Currency Amount		Detail							Amount in different currencies.	
			161	1.Core	B	CC	Functional Amount	Multi Currency Amount. Functional Amount. Functional Amount		Multi Currency Amount		Functional Amount		Functional Amount					Amount in functional or group currency.	0..1
			162	1.Core	B	CC	Transaction Amount	Multi Currency Amount. Transaction Amount. Transaction Amount		Multi Currency Amount		Transaction Amount		Transaction Amount					Amount in transaction currency.	0..1
			163	1.Core	B	CC	Reporting Amount	Multi Currency Amount. Reporting Amount. Reporting Amount		Multi Currency Amount		Reporting Amount		Reporting Amount					Amount in reporting currency.	0..1
			164	1.Core	B	CC	Local Amount	Multi Currency Amount. Local Amount. Local Amount		Multi Currency Amount		Local Amount		Local Amount					Amount in local currency.	0..1
TAX	TAX		165	1.Core	A	CC	Tax	Tax_ List. Detail. 	Tax 	List		Detail							Tax information.	
TAX	TAX TYPE CODE	TAX TYPE CODE	166	1.Core	B	CC	Tax Type Code	Tax_ List. Tax Type Code. Identifier	Tax 	List		Tax Type Code		Identifier					The code of Tax type. 	0..1
TAX	TAX TRANSACTION AMOUNT	AMOUNT	167	1.Core	B	CC	Tax Transaction Amount	Tax_ List. Transaction Amount. Transaction Amount	Tax 	List		Transaction Amount		Transaction Amount					The amount of Tax included in the transaction. Recorded in transaction currency.	0..1
TAX	TAX		168	1.Core	A	CC	Local Currency Tax	Local Currency Tax_ List. Detail. 	Local Currency Tax	List		Detail							Tax information.	
TAX	TAX TYPE CODE	TAX TYPE CODE	169	1.Core	B	CC	Tax Type Code	Local Currency Tax_ List. Tax Type Code. Identifier	Local Currency Tax	List		Tax Type Code		Identifier					The code of Tax type. 	0..1
TAX	TAX LOCAL AMOUNT	AMOUNT	170	1.Core	B	CC	Tax Local Amount	Local Currency Tax_ List. Local Amount. Local Amount	Local Currency Tax	List		Local Amount		Local Amount					The amount of Tax included in the transaction. Recorded in local currency.	0..1
TAX	GL TAX DEBIT ACCOUNT NUMBER	GL ACCOUNT NUMBER 100	171	1.Core	RL	CC	GL Tax Debit Account Number	Local Currency Tax_ List. Debit. Chart Of Accounts_ Accounting Account	Local Currency Tax	List		Debit					Chart Of Accounts	Accounting Account	The GL account number on which the debit side of the Tax transaction has been posted. 	0..1
TAX	GL TAX CREDIT ACCOUNT NUMBER	GL ACCOUNT NUMBER 100	172	1.Core	RL	CC	GL Tax Credit Account Number	Local Currency Tax_ List. Credit. Chart Of Accounts_ Accounting Account	Local Currency Tax	List		Credit					Chart Of Accounts	Accounting Account	The GL account number on which the credit side of the Tax transaction has been posted. 	0..1
TAX	TAX		173	1.Core	A	CC	Transaction Currency Tax	Transaction Currency Tax_ List. Detail. 	Transaction Currency Tax	List		Detail							Tax information.	
TAX	TAX TYPE CODE	TAX TYPE CODE	174	1.Core	B	CC	Tax Type Code	Transaction Currency Tax_ List. Tax Type Code. Identifier	Transaction Currency Tax	List		Tax Type Code		Identifier					The code of Tax type. 	0..1
TAX	TAX TRANSACTION AMOUNT	AMOUNT	175	1.Core	B	CC	Tax Transaction Amount	Transaction Currency Tax_ List. Transaction Amount. Transaction Amount	Transaction Currency Tax	List		Transaction Amount		Transaction Amount					The amount of Tax included in the transaction. Recorded in transaction currency.	0..1
TAX	GL TAX DEBIT ACCOUNT NUMBER	GL ACCOUNT NUMBER 100	176	1.Core	RL	CC	GL Tax Debit Account Number	Transaction Currency Tax_ List. Debit. Chart Of Accounts_ Accounting Account	Transaction Currency Tax	List		Debit					Chart Of Accounts	Accounting Account	The GL account number on which the debit side of the Tax transaction has been posted. 	0..1
TAX	GL TAX CREDIT ACCOUNT NUMBER	GL ACCOUNT NUMBER 100	177	1.Core	RL	CC	GL Tax Credit Account Number	Transaction Currency Tax_ List. Credit. Chart Of Accounts_ Accounting Account	Transaction Currency Tax	List		Credit					Chart Of Accounts	Accounting Account	The GL account number on which the credit side of the Tax transaction has been posted. 	0..1
			178	1.Core	A	CC	Accounting Account	Accounting Account. Details. 		Accounting Account		Details							"A specific account for recording debits and credits to general accounting, cost accounting or budget accounting."	
			179	1.Core	ID	CC	Accounting Account Number	Accounting Account. ID		Accounting Account		Identification		Identifier					UN00001268 The unique identifier for this accounting account.	1..1
			180	1.Core	B	CC	Name	Accounting Account. Name. Name		Accounting Account		Name		Name					"UN00002146 The name, expressed as text, of this accounting account."	0..1
			181	1.Core	B	CC	Description	Accounting Account. Description. Text		Accounting Account		Description		Text					A label or description associated with this accounting account	0..1
			182	1.Core	B	CC	Caption	Accounting Account. Caption. Text		Accounting Account		Caption		Text					A code associated with this accounting account	0..1
			183	1.Core	B	CC	Type Code	Accounting Account. Type. Code		Accounting Account		Type		Code					"UN00001270 The code specifying the type of accounting account such as general(main), secondary, cost accounting, budget account."	0..1
			184	1.Core	B	CC	Sub Type	Accounting Account. Sub Type. Code		Accounting Account		Sub Type		Code					A code of subtype for this accounting account.	0..1
			185	1.Core	B	CC	Hierarcy	Accounting Account. Hierarcy. Code		Accounting Account		Hierarcy		Code					A hierarchy for this accounting account.	0..1
			186	1.Core	B	CC	Financial Statement Caption	Accounting Account. Financial Statement Caption. Text		Accounting Account		Financial Statement Caption		Text					A financial statement caption represents a related group of accounts.	0..1
			187	1.Core	B	CC	Hierarchy Code	Accounting Account. Hierarchy. Code		Accounting Account		Hierarchy		Code					A corresponding level for account number in the account hierarchy.	0..1
			188	1.Core	B	CC	Active Flag	Accounting Account. Active Flag. Indicator		Accounting Account		Active Flag		Indicator					This indicates whether this accounting account is active or inactive.	0..1
			189	1.Core	B	CC	Balance Normal Sign Code	Accounting Account. Balance Normal Sign. Code		Accounting Account		Balance Normal Sign		Code					"UN00004792 The code specifying the balance normal sign of this accounting account, such as debit or credit (reference UNCL 4405)."	0..1
			190	1.Core	RL	CC	Sub Account ID	Accounting Account. Sub. Chart Of Accounts_ Accounting Account		Accounting Account		Sub					Chart Of Accounts	Accounting Account	A sub account ID for this accounting sub account.	0..1
			191	1.Core	RL	CC	Parent Account Number	Accounting Account. Parent. Chart Of Accounts_ Accounting Account		Accounting Account		Parent					Chart Of Accounts	Accounting Account	A parent account ID for this accounting sub account.	0..1
			192	1.Core	RL	CC	[Related] [Object Class]	Accounting Account. [Recorded]. [Object Class]		Accounting Account		[Recorded]						[Object Class]	A [Related] [Object Class] for this accounting sub account.	0..1
