DOMAIN_NAME	FORMAT	DATATYPE	COMPOUND	MIN_LENGTH	MAX_LENGTH	VAR_FIXED	TOTAL_DIGITS	DECIMALS	SIGNED_UNSIGNED	MIN_VALUE	MIN_EXCLUSIVE	MAX_VALUE	MAX_EXCLUSIVE	PATTERN	CODELISTS	DESCRIPTION	XMLTAG	ISO21378DataType	ISO21378_Representation
TEXT 20	an..20	Alpha Numeric	No		20	Variable											TypeText20	String	%20s
PERIOD IDENTIFIER	an..15	Alpha Numeric	No		15	Variable											TypePeriodIdentifier	String	%15s
TEXT 12	an..12	Alpha Numeric	No		12	Variable											TypeText12	String	%12s
IDENTIFIER 10	an..10	Alpha Numeric	No		10	Variable											TypeIdentifier10	String	%10s
TEXT 10	an..10	Alpha Numeric	No		10	Variable											TypeText10	String	%10s
TIME	an..8	Alpha Numeric	No		8	Variable											TypeTime	String	%8s
STATE PROVINCE CODE	an..6	Alpha Numeric	No		6	Variable									1		TypeStateProvinceCode	String	%6s
TIME ZONE	an..6	Alpha Numeric	No		6	Variable											TypeTimeZone	String	%6s
IDENTIFIER 5	an..5	Alpha Numeric	No		5	Variable											TypeIdentifier5	String	%5s
COUNTRY CODE	an..3	Alpha Numeric	No	2	3	Variable									1		TypeCountryCode	String	%3s
CURRENCY CODE	an3	Alpha Numeric	No	3	3	Fixed									1	"ISO 4217, codes for representation of currencies."	TypeCurrencyCode	String	%3s
BUSINESS SEGMENT REFERENCE LEVEL	an..2	Alpha Numeric	No		2	Variable											TypeBusinessSegmentReferenceLevel	String	%2s
ADJUSTMENT INDICATOR	an..1	Alpha Numeric	No		1	Variable									1		TypeAdjustmentIndicator	String	%1s
CREDIT DEBIT CODE	an..1	Alpha Numeric	No		1	Variable									1		TypeCreditDebitCode	String	%1s
INVENTORY RECEIVED DISPATCHED CODE	n1	Alpha Numeric	No	1	1	Fixed									1		TypeInventoryReceivedDispatchedCode	String	%1s
REVERSAL INDICATOR CODE	an..1	Alpha Numeric	No		1	Variable											TypeReversalIndicatorCode	String	%1s
SOURCE CODE	an..1	Alpha Numeric	No		1	Variable									1		TypeSourceCode	String	%1s
SYSTEM MANUAL IDENTIFIER	an..1	Alpha Numeric	No		1	Variable									1		TypeSystemManualIdentifier	String	%1s
BOOLEAN	n1	Boolean	No		1	Fixed											TypeBoolean	Boolean	%1c
CANCELLATION SIGN	n1	Boolean	No		1	Fixed											TypeCancellationSign	Boolean	%1c
TIME	an8	Date/time	No		8													Time	%8c
DATE.TIME	an19	Date/time	No		19	Fixed											TypeDateTime	DateTime	%19c
DATE	an10	Date/time	No		10	Fixed											TypeDate	Date	%10c
ACCOUNT HIERARCHY	n..2	Integer	No			Variable	2		Signed								TypeAccountHierarchy	Integer	%2d
HIERARCHY LEVEL	n..2	Integer	No			Variable	2		Signed								TypeHierarchyLevel	Integer	%2d
NUMBER 4	n..4	Integer	No			Variable	4		Signed								TypeNumber4	Integer	%4d
NUMBER 6	n..6	Integer	No			Variable	6		Signed								TypeNumber6	Integer	%6d
NUMBER9	n..9	Integer	No			Variable	9		Signed								TypeNumber9	Integer	%9d
UNIT	n1	Integer	No			Variable	1		Unsigned								TypeUnit	Integer	%1d
YEAR IDENTIFIER	n..4	Integer	No			Variable	4		Unsigned								TypeYearIdentifier	Integer	%4d
AMOUNT	"n..22,4"	Monetary Amount	No			Variable	22	4	Signed								TypeAmount	Decimal	%22.4f
AMOUNT8	"n..22,8"	Monetary Amount	No			Variable	22	8	Signed								TypeAmount8	Decimal	%22.8f
PERCENTAGE	"n..5,4"	Monetary Amount	No			Variable	5	4	Signed								TypePercentage	Decimal	%5.4f
PERCENTAGE11	"n..11,6"	Monetary Amount	No			Variable	11	6	Signed								TypePercentage11	Decimal	%11.6f
PRICE	"n..22,8"	Monetary Amount	No			Variable	22	8	Signed								TypePrice	Decimal	%22.8f
QUANTITY	"n..22,4"	Monetary Amount	No			Variable	22	4	Signed								TypeQuantity	Decimal	%22.4f
Undefined	?	Undefined	No		0	Fixed											TypeUndefined		
																			
																			
																			
																			
