Module,num,Kind,Table,No,BusinessTerm,DictionaryEntryName,Description,ObjectClassTermQualifier,ObjectClassTerm,PropertyTerm,RepresentationTerm,Datatype,Representation,RelationObjectClassTermQualifier,RelationObjectClassTerm,Level,PK_REF,ATTRIBUTE,DOMAIN
1.Common,19,RLBIE,,445,Last Modified By,Last Modified_ Handling. By. System User_ Person,A time value when this activity occurs or has occurred.,Last Modified,Handling,By,Code,,,System User,Person,,REF,,
1.Common,20,BBIE,,446,Last Modified Date,Last Modified_ Handling. Occurred. Code,A reference identifier for the user who last modified this activity.,Last Modified,Handling,Occurred,Code,,,,,,,,
1.Common,21,BBIE,,447,Last Modified Time,Last Modified_ Handling. Occurred. Code,A date value when this activity occurs or has occurred.,Last Modified,Handling,Occurred,Code,,,,,,,,
1.Common,22,RLBIE,,449,Parent Code,Code. Parent. Code,,,Code,Parent,Code,,,,Code,,REF,,
1.Common,23,IDBIE,,450,Code,Code. ID,,,Code,Identification,Code,,,,,,PK,,
1.Common,24,BBIE,,451,[Specified] Code,Code. [Specified]. Code,,,Code,[Specified],Code,,,,,,,,
1.Common,25,BBIE,,452,[Specified] Name,Code. [Specified]. Code,,,Code,[Specified],Code,,,,,,,,
1.Common,26,BBIE,,453,[Specified] Flag,Code. [Specified]. Code,,,Code,[Specified],Code,,,,,,,,
1.Common,27,RLBIE,,454,[Specified] [Object Class],Code. [Specified]. [Object Class],,,Code,[Specified],Code,,,,[Object Class],,REF,,
1.Common,28,BBIE,ADDRESS,456,Street Address1,Address. Street Address1. Code,Line 1 of the street address.,,Address,Street Address1,Code,,,,,,,,TEXT 100
1.Common,29,BBIE,ADDRESS,457,Street Address2,Address. Street Address2. Code,Line 2 of the street address.,,Address,Street Address2,Code,,,,,,,,TEXT 100
1.Common,30,BBIE,ADDRESS,458,City Name,Address. City Name. Code,City name of this address.,,Address,City Name,Code,,,,,,,,CITY NAME
1.Common,31,BBIE,ADDRESS,459,State Province Code,Address. State Province. Code,The state or province of this address (ISO 3166-2).,,Address,State Province,Code,,,,,,,,STATE PROVINCE CODE
1.Common,32,BBIE,ADDRESS,460,Postal Code,Address. Postal. Code,The postal code of the city of this address.,,Address,Postal,Code,,,,,,,,POSTAL CODE
1.Common,33,BBIE,ADDRESS,461,Country Code,Address. Country. Code,The country code of this address (ISO 3166-1).,,Address,Country,Code,,,,,,,,COUNTRY CODE
1.Common,34,ASBIE,,463,Billing Address,Billing_ Address. Defined. Address,,Billing,Address,Defined,Code,,,,,,,,
1.Common,35,ASBIE,,465,Physical Address,Physical_ Address. Defined. Address,,Physical,Address,Defined,Code,,,,,,,,
1.Common,36,BBIE,MESSAGE,467,Table Code,Message_ List. Code. Code,Coded identification of the table.,Message,List,Code,Code,,,,,,,TABLE CODE,TEXT 40
1.Common,37,BBIE,MESSAGE,468,Table Name,Message_ List. Name. Code,The name of the table.,Message,List,Name,Code,,,,,,,TABLE NAME,NAME 100
1.Common,38,BBIE,MESSAGE,469,Table Creation Date Time,Message_ List. Table Creation Date Time. Code,The date and time the table was created.,Message,List,Table Creation Date Time,Code,,,,,,,TABLE CREATION DATE TIME,DATE.TIME
1.Common,39,BBIE,MESSAGE,470,Number of Records in Table,Message_ List. Number of Records in Table. Code,Number of records in this table. When a table is split over more then one file this is the total of records within the several table files.,Message,List,Number of Records in Table,Code,,,,,,,NUMBER OF RECORDS IN TABLE,NUMBER9
1.Common,40,BBIE,MESSAGE,471,XML Attributes,Message_ List. XML Attributes. Code,,Message,List,XML Attributes,Code,,,,,,,XML ATTRIBUTES,
1.Common,41,BBIE,MESSAGE,472,Creation Date Time,Message_ List. Creation Date Time. Code,Date and time the file was created.,Message,List,Creation Date Time,Code,,,,,,,CREATION DATE TIME,DATE.TIME
1.Common,42,ASBIE,,474,Primary Contact,Primary_ Contact. . Contact,,Primary,Contact,,Code,,,,,,,,
1.Common,43,BBIE,TAX,476,Tax Type Code,Tax_ List. Tax Type Code. Code,The code of Tax type. Shall match the Tax_Type_Code in the BAS_Tax_Type table.,Tax,List,Tax Type Code,Code,,,,,,,TAX TYPE CODE,TAX TYPE CODE
1.Common,44,BBIE,TAX,477,Tax Local Amount,Tax_ List. Local Amount. Code,The amount of Tax included in the transaction. Recorded in local currency.,Tax,List,Local Amount,Code,,,,,,,TAX LOCAL AMOUNT,AMOUNT
1.Common,45,BBIE,TAX,478,Tax Transaction Amount,Tax_ List. Transaction Amount. Code,The amount of Tax included in the transaction. Recorded in transaction currency.,Tax,List,Transaction Amount,Code,,,,,,,TAX TRANSACTION AMOUNT,AMOUNT
1.Common,46,RLBIE,TAX,479,GL Tax Debit Account Number,Tax_ List. Defined. Debit_ Chart Of Accounts,The GL account number on which the debit side of the Tax transaction has been posted. Shall match the GL_Account_Number in the BAS_Chart_Of_Accounts table.,Tax,List,Defined,Code,,,Debit,Chart Of Accounts,,REF,GL TAX DEBIT ACCOUNT NUMBER,GL ACCOUNT NUMBER 100
1.Common,47,RLBIE,TAX,480,GL Tax Credit Account Number,Tax_ List. Defined. Credit_ Chart Of Accounts,The GL account number on which the credit side of the Tax transaction has been posted. Shall match the GL_Account_Number in the BAS_Chart_Of_Accounts table.,Tax,List,Defined,Code,,,Credit,Chart Of Accounts,,REF,GL TAX CREDIT ACCOUNT NUMBER,GL ACCOUNT NUMBER 100
2.Base,48,RLBIE,ACCOUNT SEGMENT,482,Employee,Account Segment_ Code. Spefified. Employee,"This field is a fixed account segment, recording information related to an employee (e.g. loan to corporate officers). The value stored in this field stored is Employee_ID. Shall match the Employee_ID in the BAS_Employee table.",Account Segment,Code,Spefified,Code,,,,Employee,,REF,EMPLOYEE,IDENTIFIER 60
2.Base,49,RLBIE,ACCOUNT SEGMENT,483,Project,Account Segment_ Code. Spefified. Project,"This field is a fixed account segement, recording information related to a project; for example, construction projects which require a separate accounting. The value of this field stored is Project_ID. Shall match the Project_ID in the BAS_Project table through GL_Account_Segment.",Account Segment,Code,Spefified,Code,,,,Project,,REF,PROJECT,IDENTIFIER 60
2.Base,50,RLBIE,ACCOUNT SEGMENT,484,Bank Account,Account Segment_ Code. Spefified. Bank Account,"This field is a fixed account segment, recording information related to bank accounts. The value of this field stored is Bank_Account_Number, and we can get more information of a certain bank account in the BAS_Bank_Account table. Shall match the Bank_Account_Number in the BAS_Bank_Account table through GL_Account_Segment.",Account Segment,Code,Spefified,Code,,,,Bank Account,,REF,BANK ACCOUNT,IDENTIFIER 60
2.Base,51,RLBIE,ACCOUNT SEGMENT,485,Account Segment X,Account Segment_ Code. Spefified. X_ Account Segment,Reserved field that shall be used for supplementary information associated with particular account. The 'X' signifies that each unique account segment will be captured in a separate field.,Account Segment,Code,Spefified,Code,,,X,Account Segment,,REF,ACCOUNT SEGMENT X,TEXT 60
2.Base,52,IDBIE,,487,Accounting Period ID,Accounting Period_ List. ID,,Accounting Period,List,Identification,Code,,,,,,PK,,
2.Base,53,BBIE,BAS ACCOUNTING PERIOD,488,Fiscal Year,Accounting Period_ List. Fiscal Year. Code,"The fiscal year in which the calendar date occurs. The year shall be shown in four digits as YYYY, which is part of the extended format and the YYYY-MM-DD in ISO 8601-1.",Accounting Period,List,Fiscal Year,Code,,,,,,,FISCAL YEAR,YEAR IDENTIFIER
2.Base,54,BBIE,BAS ACCOUNTING PERIOD,489,Accounting Period,Accounting Period_ List. Accounting Period. Code,"The accounting period in which the calendar date occurs. Examples include W1-W53 for weekly periods, M1-M12 for monthly periods, Q1-Q4 for quarterly periods, and from any beginning date to any ending date.",Accounting Period,List,Accounting Period,Code,,,,,,,ACCOUNTING PERIOD,PERIOD IDENTIFIER
2.Base,55,BBIE,BAS ACCOUNTING PERIOD,490,Accounting Period BEG Date,Accounting Period_ List. Beginning. Code,The calendar beginning date of the current accounting period.,Accounting Period,List,Beginning,Code,,,,,,,ACCOUNTING PERIOD BEG DATE,DATE
2.Base,56,BBIE,BAS ACCOUNTING PERIOD,491,Accounting Period Ending Date,Accounting Period_ List. Ending. Code,The calendar ending date of the current accounting period.,Accounting Period,List,Ending,Code,,,,,,,ACCOUNTING PERIOD ENDING DATE,DATE
2.Base,57,IDBIE,BAS BANK ACCOUNT,493,Account Number,Bank Account_ List. ID,"The number of the account opened in institutions, for example, bank, financial institution and settlement center. ISO 13616 is recommended if applicable.",Bank Account,List,Identification,Code,,,,,,PK,BANK ACCOUNT NUMBER,IDENTIFIER 60
2.Base,58,BBIE,BAS BANK ACCOUNT,494,Bank Account Name,Bank Account_ List. Account Name. Code,"The name of the account opened in institutions, for example, bank, financial institution and settlement center.",Bank Account,List,Account Name,Code,,,,,,,BANK ACCOUNT NAME,TEXT 128
2.Base,59,BBIE,BAS BANK ACCOUNT,495,Bank Code,Bank Account_ List. Code. Code,The code of the financial institution ((ISO 9362 or ISO 17442). ISO 17442 is preferred. One reason is that bank branch identifier will not change due to location movement.,Bank Account,List,Code,Code,,,,,,,BANK CODE,BANK CODE
2.Base,60,BBIE,BAS BANK ACCOUNT,496,Bank Name,Bank Account_ List. Name. Code,"The full name of the institution for example, bank, financial institution and settlement center.",Bank Account,List,Name,Code,,,,,,,BANK NAME,TEXT 200
2.Base,61,BBIE,BAS BANK ACCOUNT,497,Branch Code,Bank Account_ List. Branch Code. Code,The code of the institution�es branch.,Bank Account,List,Branch Code,Code,,,,,,,BRANCH CODE,BRANCH CODE
2.Base,62,BBIE,BAS BANK ACCOUNT,498,Branch Name,Bank Account_ List. Branch Name. Code,The full name of the institution's branch.,Bank Account,List,Branch Name,Code,,,,,,,BRANCH NAME,TEXT 200
2.Base,63,BBIE,BAS BANK ACCOUNT,499,Branch Country Code,Bank Account_ List. Branch Country. Code,The country code where the bank is physically located (ISO 3166-1).,Bank Account,List,Branch Country,Code,,,,,,,BRANCH COUNTRY CODE,COUNTRY CODE
2.Base,64,BBIE,BAS BANK ACCOUNT,500,Branch Region,Bank Account_ List. Branch Region. Code,"Sub-region within country; in the U.S., this would be a state; in Canada it would be a province.",Bank Account,List,Branch Region,Code,,,,,,,BRANCH REGION,TEXT 25
2.Base,65,BBIE,BAS BANK ACCOUNT,501,Active Flag,Bank Account_ List. Active Flag. Code,"This indicates whether the bank account is active or inactive; for example, 1 is active and 0 is inactive.",Bank Account,List,Active Flag,Code,,,,,,,ACTIVE FLAG,BOOLEAN
2.Base,66,RLBIE,BAS BANK ACCOUNT,502,Business Segment X,Bank Account_ List. Defned. X_ Business Segment,"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each unique reference level. For example, division, department, business unit, purchasing organization, project or legal entity.",Bank Account,List,Defned,Code,,,X,Business Segment,,REF,BUSINESS SEGMENT X,TEXT 25
2.Base,67,IDBIE,BAS BILL TYPE,504,Bill Type Code,Bill Type_ List. ID,"The code of the bill type; for example, using 004 to represent bank draft, 005 to represent promissory note, 006 to represent check.",Bill Type,List,Identification,Code,,,,,,PK,BILL TYPE CODE,IDENTIFIER 60
2.Base,68,BBIE,BAS BILL TYPE,505,Bill Type Name,Bill Type_ List. Bill Type Name. Code,"The name of the bill type; for example, bank draft, commercial draft, promissory note and check.",Bill Type,List,Bill Type Name,Code,,,,,,,BILL TYPE NAME,TEXT 60
2.Base,69,BBIE,BAS BILL TYPE,506,Active Flag,Bill Type_ List. Active Flag. Code,"This indicates whether the bill type is active or inactive; for example, 1 is active and 0 is inactive.",Bill Type,List,Active Flag,Code,,,,,,,ACTIVE FLAG,BOOLEAN
2.Base,70,IDBIE,BAS BUSINESS SEGMENT,508,Business Segment Code,Business Segment_ List. ID,The code of each business segment.,Business Segment,List,Identification,Code,,,,,,PK,BUSINESS SEGMENT CODE,IDENTIFIER 25
2.Base,71,BBIE,BAS BUSINESS SEGMENT,509,Business Segment Name,Business Segment_ List. Business Segment Name. Code,The name of the business segment.,Business Segment,List,Business Segment Name,Code,,,,,,,BUSINESS SEGMENT NAME,NAME 25
2.Base,72,BBIE,BAS BUSINESS SEGMENT,510,Segment Reference Level,Business Segment_ List. Segment Reference Level. Code,The relative level of the segment with 1 being the consolidated level and numbers increasing through lower levels of the organizational chart.,Business Segment,List,Segment Reference Level,Code,,,,,,,SEGMENT REFERENCE LEVEL,BUSINESS SEGMENT REFERENCE LEVEL
2.Base,73,BBIE,BAS BUSINESS SEGMENT,511,Organization Type Name,Business Segment_ List. Organization Type Name. Code,"Indicate the name of the organization type, for example 'Department' and 'Cost Center'.",Business Segment,List,Organization Type Name,Code,,,,,,,ORGANIZATION TYPE NAME,NAME 60
2.Base,74,RLBIE,BAS BUSINESS SEGMENT HIERARCHY,513,Parent Code,Business Segment Hierarchy_ List. Parent. Business Segment,The code of the parent business segment. Shall match the Business_Segment _Code in the BAS_Business_Segment table.,Business Segment Hierarchy,List,Parent,Code,,,,Business Segment,,REF,PARENT CODE,IDENTIFIER 25
2.Base,75,RLBIE,BAS BUSINESS SEGMENT HIERARCHY,514,Child Code,Business Segment Hierarchy_ List. Child. Business Segment,The code of the child business segment. Shall match the Business_Segment_Code in the BAS_Business_Segment table.,Business Segment Hierarchy,List,Child,Code,,,,Business Segment,,REF,CHILD CODE,IDENTIFIER 25
2.Base,76,IDBIE,BAS CHART OF ACCOUNTS,516,GL Account Number,Chart Of Accounts_ Accounting Account. ID,The GL account number.,Chart Of Accounts,Accounting Account,Identification,Code,,,,,,PK,GL_ACCOUNT_NUMBER,GL ACCOUNT NUMBER 100
2.Base,77,BBIE,BAS CHART OF ACCOUNTS,517,GL Account Name,Chart Of Accounts_ Accounting Account. GL Account Name. Code,The name for the GL account.,Chart Of Accounts,Accounting Account,GL Account Name,Code,,,,,,,GL ACCOUNT NAME,TEXT 100
2.Base,78,BBIE,BAS CHART OF ACCOUNTS,518,GL Account Description,Chart Of Accounts_ Accounting Account. GL Account Description. Code,The label or description associated with the GL_Account_Number.,Chart Of Accounts,Accounting Account,GL Account Description,Code,,,,,,,GL ACCOUNT DESCRIPTION,TEXT 1000
2.Base,79,BBIE,BAS CHART OF ACCOUNTS,519,FS Caption,Chart Of Accounts_ Accounting Account. FS Caption. Code,"The financial statement caption represents a related group of accounts; for example, cash and cash equivalents, accounts payable and cost of sales. The caption can be at the trial balance level.",Chart Of Accounts,Accounting Account,FS Caption,Code,,,,,,,FS CAPTION,TEXT 100
2.Base,80,BBIE,BAS CHART OF ACCOUNTS,520,Account Type,Chart Of Accounts_ Accounting Account. Account Type. Code,"The type of account; for example, assets, liabilities, equity, revenues and expenses.",Chart Of Accounts,Accounting Account,Account Type,Code,,,,,,,ACCOUNT TYPE,ACCOUNT TYPE
2.Base,81,BBIE,BAS CHART OF ACCOUNTS,521,Account Subtype,Chart Of Accounts_ Accounting Account. Account Subtype. Code,"The subtype of the account; for example, current assets are the subtype of assets.",Chart Of Accounts,Accounting Account,Account Subtype,Code,,,,,,,ACCOUNT SUBTYPE,ACCOUNT TYPE
2.Base,82,BBIE,BAS CHART OF ACCOUNTS,522,Account Hierarchy,Chart Of Accounts_ Accounting Account. Account Hierarchy. Code,"The corresponding level for account number in the account hierarchy; for example, using 1 to represent assets, and 2 to represent the account subtype current assets.",Chart Of Accounts,Accounting Account,Account Hierarchy,Code,,,,,,,ACCOUNT HIERARCHY,ACCOUNT HIERARCHY
2.Base,83,BBIE,BAS CHART OF ACCOUNTS,523,Balance Debit Or Credit Code,Chart Of Accounts_ Accounting Account. Balance_ Credit Debit Indicator. Code,"This field is used to indicate whether the natural balance of the account is a debit or credit balance by indicating 'D' or 'C', where assets and expenses have a natural balance of debit, and liabilities, equity and revenues have a natural balance of credit.",Chart Of Accounts,Accounting Account,Credit Debit Indicator,Code,,,,,,,BALANCE DEBIT OR CREDIT CODE,CREDIT DEBIT CODE
2.Base,84,BBIE,BAS CHART OF ACCOUNTS,524,Active Flag Code,Chart Of Accounts_ Accounting Account. Active Flag. Code,"This indicates whether the GL account is active or inactive; for example, 1 is active and 0 is inactive.",Chart Of Accounts,Accounting Account,Active Flag,Code,,,,,,,ACTIVE FLAG CODE,BOOLEAN
2.Base,85,RLBIE,BAS CHART OF ACCOUNTS,525,Parent GL Account Number,Chart Of Accounts_ Accounting Account. Parent. Chart Of Accounts,"The number of the parent account in an account hierarchy. This is provided to allow more than the predefined levels of the hierarchy in the chart of accounts table.When Parent_GL_Account_Number is the highest level, its value can be set to the default value, for example set to NULL. Shall match the GL_Account_Number in BAS_Chart_Of_Accounts table.",Chart Of Accounts,Accounting Account,Parent,Code,,,,Chart Of Accounts,,REF,PARENT GL ACCOUNT NUMBER,GL ACCOUNT NUMBER 100
2.Base,86,RLBIE,BAS CHART OF ACCOUNTS,526,Business Segment X,Chart Of Accounts_ Accounting Account. Defned. X_ Business Segment,"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each unique reference level. For example, division, department, business unit, purchasing organization, project or legal entity.",Chart Of Accounts,Accounting Account,Defned,Code,,,X,Business Segment,,REF,BUSINESS SEGMENT X,TEXT 25
2.Base,87,BBIE,BAS CURRENCY,528,Currency Code,Currency_ List. Currency. Code,"The code of the currency type (ISO 4217, Codes for the representation of currencies).",Currency,List,Currency,Code,,,,,,,CURRENCY CODE,CURRENCY CODE
2.Base,88,BBIE,BAS CURRENCY,529,Currency Name,Currency_ List. Name. Code,The name of the currency type in the accounting and/or ERP system.,Currency,List,Name,Code,,,,,,,CURRENCY NAME,TEXT 30
2.Base,89,BBIE,BAS CURRENCY,530,Minor Unit,Currency_ List. Minor Unit. Code,"The unit of recorded value which is a division of the respective unit of currency. Minor unit shows the decimal relationship between such unit and the currency itself (ISO 4217). Number 0 means that there is no minor unit for that currency, whereas number 1, 2, 3, etc. signify a ratio of 10:1, 100:1, 1000:1, etc. respectively.",Currency,List,Minor Unit,Code,,,,,,,MINOR UNIT,UNIT
2.Base,90,BBIE,BAS CURRENCY,531,Flag,Currency_ List. Active Flag. Code,"This indicates whether Currency_Code is active or inactive; for example, 1 is active and 0 is inactive.",Currency,List,Active Flag,Code,,,,,,,ACTIVE FLAG,BOOLEAN
2.Base,91,IDBIE,BAS CUSTOMIZED ACC SEGMENT,533,Customized Account Segment Code,Customized Account Segment_ List. ID,"The code of customized account segment which audit data needs to be used; this does not include the fixed account segment having been identified; for example, unlike customer, budget information is not included in the base module as an individual table, therefore budget can be identified as a customized segment.",Customized Account Segment,List,Identification,Code,,,,,,PK,CUSTOMIZED ACC SEGMENT CODE,IDENTIFIER 60
2.Base,92,BBIE,BAS CUSTOMIZED ACC SEGMENT,534,Customized Account Segment Name,Customized Account Segment_ List. Name. Code,"The customized account segment name which audit data needs to be used; for example, budget records planned revenue and expenditure.",Customized Account Segment,List,Name,Code,,,,,,,CUSTOMIZED ACC SEGMENT NAME,TEXT 200
2.Base,93,BBIE,BAS CUSTOMIZED ACC SEGMENT,535,Customized Account Description,Customized Account Segment_ List. Description. Code,"The customized account segment description which audit data needs to be used; for example, budget can be described as the annual plan of aggregated fiscal revenue and expenditure for a state, which is verified and approved through legal procedures.",Customized Account Segment,List,Description,Code,,,,,,,CUSTOMIZED ACC DESCRIPTION,TEXT 1000
2.Base,94,BBIE,BAS CUSTOMIZED ACC SEGMENT,536,Customized Account Encoding Rule,Customized Account Segment_ List. Encoding Rule. Code,"The encoding rules of the value of a customized account segment. If the encoding rule has a hierarchy feature, each level is separated by '-'; for example, budget (with 1-digit code, like 1) can be subdivided into financial budget (with 2-digit code, like 01) and construction budget (with 2-digit code, like 05), with the financial budget containing budgeted revenue (with 2-digit code, like 03) and budgeted expenditure (with 2-digit code, like 04), which are the third level segments. In this case, Customized_ACC_Encoding_Rule is 1-2-2.",Customized Account Segment,List,Encoding Rule,Code,,,,,,,CUSTOMIZED ACC ENCODING RULE,FILE ENCODING RULE CODE
2.Base,95,BBIE,BAS CUSTOMIZED ACC SEGMENT,537,Hierarchy Flag,Customized Account Segment_ List. Hierarchy Flag. Code,"Whether the table value has a hierarchy feature or not. '1' means 'yes', '0' means 'no'.",Customized Account Segment,List,Hierarchy Flag,Code,,,,,,,HIERARCHY FLAG,BOOLEAN
2.Base,96,BBIE,BAS CUSTOMIZED ACC SEGMENT,538,Active Flag,Customized Account Segment_ List. Active Flag. Code,"This indicates whether the Customized_ACC_Segment_Code is active or inactive; for example, 1 is active and 0 is inactive.",Customized Account Segment,List,Active Flag,Code,,,,,,,ACTIVE FLAG,BOOLEAN
2.Base,97,IDBIE,BAS CUSTOMIZED ACC VALUE,540,Customized Account Value Code,Customized Account Value_ List. ID,"The code of the customized account segment value. If the Customized_ACC_Encoding_Rule is 1-2-2, the corresponding budget-financial budget-budgeted expenditure is 10104.",Customized Account Value,List,Identification,Code,,,,,,PK,CUSTOMIZED ACC VALUE CODE,IDENTIFIER 60
2.Base,98,BBIE,BAS CUSTOMIZED ACC VALUE,541,Customized Account Segment Code,Customized Account Value_ List. Segment Code. Code,This field is associated with the BAS_Customized_ACC_Segment table. Shall match the Customized_ACC_Segment_Code in the AS_Customized_ACC_Segment table.,Customized Account Value,List,Segment Code,Code,,,,,,,CUSTOMIZED ACC SEGMENT CODE,IDENTIFIER 60
2.Base,99,BBIE,BAS CUSTOMIZED ACC VALUE,542,Customized Account Value Name,Customized Account Value_ List. Name. Code,"The name of the account segment value of each file. EXAMPLE budget, financial budget, budgeted expenditure.",Customized Account Value,List,Name,Code,,,,,,,CUSTOMIZED ACC VALUE NAME,TEXT 200
2.Base,100,BBIE,BAS CUSTOMIZED ACC VALUE,543,Account Value Description,Customized Account Value_ List. Description. Code,The detailed description of the account segment value.,Customized Account Value,List,Description,Code,,,,,,,ACC VALUE DESCRIPTION,TEXT 1000
2.Base,101,RLBIE,BAS CUSTOMIZED ACC VALUE,544,Parent Account Value Code,Customized Account Value_ List. Parent. Customized Account Value,The code of the parent customized account segment value. Shall match the Customized_ACC_Value_Code in BAS_Customized_ACC_Value table.,Customized Account Value,List,Parent,Code,,,,Customized Account Value,,REF,PARENT ACC VALUE CODE,IDENTIFIER 60
2.Base,102,BBIE,BAS CUSTOMIZED ACC VALUE,545,Customized Account Value Hierarchy,Customized Account Value_ List. Customized Account Value Hierarchy. Code,"The level of the current value in the file structure. For example, '1' means 'the highest'.",Customized Account Value,List,Customized Account Value Hierarchy,Code,,,,,,,CUSTOMIZED ACC VALUE HIERARCHY,HIERARCHY LEVEL
2.Base,103,IDBIE,BAS EMPLOYEE,547,Employee ID,Employee_ Person. ID,The unique identifier for an employee. Typically auto-generated by the system.,Employee,Person,Employee ID,Code,,,,,,PK,EMPLOYEE ID,IDENTIFIER 60
2.Base,104,BBIE,BAS EMPLOYEE,548,Employee Code,Employee_ Person. Code. Code,"The code of the employee. Each employee has only one code. If someone does part-time jobs in multiple departments, there will be more than one record with different Employee_ID in this table. And the part time status will be reflected in Employee_Type_Code.",Employee,Person,Code,Code,,,,,,,EMPLOYEE CODE,TEXT 60
2.Base,105,BBIE,BAS EMPLOYEE,549,Employee Name,Employee_ Person. Name. Code,The name of the employee.,Employee,Person,Name,Code,,,,,,,EMPLOYEE NAME,NAME 100
2.Base,106,BBIE,BAS EMPLOYEE,550,Inactive Flag,Employee_ Person. Inactive Flag. Code,Indicate whether one employee is active or inactive. One employee may become inactive due to some reasons such as sabbatical.,Employee,Person,Inactive Flag,Code,,,,,,,INACTIVE FLAG,BOOLEAN
2.Base,107,BBIE,BAS EMPLOYEE,551,Employee Type Code,Employee_ Person. Type Code. Code,"The code of the employee types. For example, using 004 to represent an on-the job employee, 005 to represent a retired employee, 006 to represent a deceased employee, 007 to represent a part time employee.",Employee,Person,Type Code,Code,,,,,,,EMPLOYEE TYPE CODE,TEXT 60
2.Base,108,BBIE,BAS EMPLOYEE,552,Employee Type Name,Employee_ Person. Type Name. Code,"The name of the employee type. For example, employed, retired, probation and part-time.",Employee,Person,Type Name,Code,,,,,,,EMPLOYEE TYPE NAME,TEXT 60
2.Base,109,RLBIE,BAS EMPLOYEE,553,Department Code,Employee_ Person. Department Code. Department Code_ Business Segment,"The code of department rosters. For example, the IT department is designated as code 0018. The code shall match the Business_Segment_code in the BAS_Business_Segment table.",Employee,Person,Department Code,Code,,,Department Code,Business Segment,,REF,DEPARTMENT CODE,IDENTIFIER 25
2.Base,110,BBIE,BAS EMPLOYEE,554,Employee Job Title,Employee_ Person. Job Title. Code,"The job title of the person in an accounting unit. For example, accounting manager.",Employee,Person,Job Title,Code,,,,,,,EMPLOYEE JOB TITLE,TEXT 60
