Unique UN Assigned ID	 ABIE/ BBIE/ ASBIE/ACC/BCC/ASCC/DT/CC/SC	"Dictionary Entry Name
(auto generated)"	"Definition
Mandatory"	Object Class Term Qualifier(s)	Object Class Term	Property Term	Datatype Qualifier(s)	Representation Term	Occurrence Min	Occurrence Max		
	SC	Code List. Uniform Resource. Identifier		Accounting Account Nature Type	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000164	DT	Accounting Account Status_ Code. Type	A character string used to represent the type of accounting account status.				Accounting Account Status	Code				
	CC	Code. Content	A character string used to represent the type of accounting account status.	Accounting Account Status	Code				1	1	EDIFICASEU_AccountingAccountStatus_D11A.TXT	
	SC	Code List. Identifier		Accounting Account Status	Code List	Identifier		Identifier	0	1		AccountingE305
	SC	Code List. Agency. Identifier		Accounting Account Status	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Accounting Account Status	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Accounting Account Status	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000101	DT	Accounting Account Type_ Code. Type	A character string used to represent the type of an accounting account.				Accounting Account Type	Code				
	CC	Code. Content	A character string used to represent the type of an accounting account.	Accounting Account Type	Code				1	1	EDIFICASEU_AccountingAccountType_D11A.TXT	
	SC	Code List. Identifier		Accounting Account Type	Code List	Identifier		Identifier	0	1		AccountingE501
	SC	Code List. Agency. Identifier		Accounting Account Type	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Accounting Account Type	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Accounting Account Type	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000173	DT	Accounting Amount Qualifier_ Code. Type	A character string used to qualify an accounting amount.				Accounting Amount Qualifier	Code				
	CC	Code. Content	A character string used to qualify an accounting amount.	Accounting Amount Qualifier	Code				1	1	EDIFICASEU_AccountingAmountQualifierType_D11A.TXT	
	SC	Code List. Identifier		Accounting Amount Qualifier	Code List	Identifier		Identifier	0	1		210
	SC	Code List. Agency. Identifier		Accounting Amount Qualifier	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Accounting Amount Qualifier	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Accounting Amount Qualifier	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000102	DT	Accounting Amount Type_ Code. Type	A character string used to represent the type of accounting amount.				Accounting Amount Type	Code				
	CC	Code. Content	A character string used to represent the type of accounting amount.	Accounting Amount Type	Code				1	1	EDIFICASEU_AccountingAmountType_D11A.TXT	
	SC	Code List. Identifier		Accounting Amount Type	Code List	Identifier		Identifier	0	1		AccountingE601
	SC	Code List. Agency. Identifier		Accounting Amount Type	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Accounting Amount Type	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Accounting Amount Type	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000141	DT	Accounting Contact_ Code. Type	A character string used to represent the type of an accounting contact.				Accounting Contact	Code				
	CC	Code. Content	A character string used to represent the type of an accounting contact.	Accounting Contact	Code				1	1	EDIFICASEU_AccountingContact_D11A.TXT	
	SC	Code List. Identifier		Accounting Contact	Code List	Identifier		Identifier	0	1		AccountingE023
	SC	Code List. Agency. Identifier		Accounting Contact	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Accounting Contact	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Accounting Contact	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000103	DT	Accounting Debit Credit_ Status_ Code. Type	A character string used to represent the accounting debit or credit sign.				Accounting Debit Credit_ Status	Code				
	CC	Code. Content	A character string used to represent the accounting debit or credit sign.	Accounting Debit Credit_ Status	Code				1	1	UNECE_StatusDescriptionCode_Accounting Debit Credit_D19B.TXT	
	SC	Code List. Identifier		Accounting Debit Credit_ Status	Code List	Identifier		Identifier	0	1		4405_Accounting Debit Credit
	SC	Code List. Agency. Identifier		Accounting Debit Credit_ Status	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Accounting Debit Credit_ Status	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Accounting Debit Credit_ Status	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000160	DT	Accounting Document Type_ Code. Type	A character string used to represent the type of accounting document.				Accounting Document Type	Code				
	CC	Code. Content	A character string used to represent the type of accounting document.	Accounting Document Type	Code				1	1	EDIFICASEU_AccountingDocumentType_D11A.TXT	
	SC	Code List. Identifier		Accounting Document Type	Code List	Identifier		Identifier	0	1		AccountingE006
	SC	Code List. Agency. Identifier		Accounting Document Type	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Accounting Document Type	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Accounting Document Type	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000104	DT	Accounting Entry Category_ Code. Type	A character string used to represent the category of an accounting entry.				Accounting Entry Category	Code				
	CC	Code. Content	A character string used to represent the category of an accounting entry.	Accounting Entry Category	Code				1	1	EDIFICASEU_AccountingEntryCategory_D11A.TXT	
	SC	Code List. Identifier		Accounting Entry Category	Code List	Identifier		Identifier	0	1		AccountingE202
	SC	Code List. Agency. Identifier		Accounting Entry Category	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Accounting Entry Category	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Accounting Entry Category	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000105	DT	Accounting Entry Line Category_ Code. Type	A character string used to represent the category of a line of an accounting entry.				Accounting Entry Line Category	Code				
	CC	Code. Content	A character string used to represent the category of a line of an accounting entry.	Accounting Entry Line Category	Code				1	1	EDIFICASEU_AccountingEntryLineCategory_D11A.TXT	
	SC	Code List. Identifier		Accounting Entry Line Category	Code List	Identifier		Identifier	0	1		AccountingE203
	SC	Code List. Agency. Identifier		Accounting Entry Line Category	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Accounting Entry Line Category	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Accounting Entry Line Category	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000106	DT	Accounting Entry Line Source_ Code. Type	A character string used to represent the source of an accounting entry line.				Accounting Entry Line Source	Code				
	CC	Code. Content	A character string used to represent the source of an accounting entry line.	Accounting Entry Line Source	Code				1	1	EDIFICASEU_AccountingEntryLineSource_D11A.TXT	
	SC	Code List. Identifier		Accounting Entry Line Source	Code List	Identifier		Identifier	0	1		AccountingE302
	SC	Code List. Agency. Identifier		Accounting Entry Line Source	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Accounting Entry Line Source	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Accounting Entry Line Source	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000107	DT	Accounting Entry Processing_ Code. Type	A character string used to represent the processing of an accounting entry.				Accounting Entry Processing	Code				
	CC	Code. Content	A character string used to represent the processing of an accounting entry.	Accounting Entry Processing	Code				1	1	EDIFICASEU_AccountingEntryProcessing_D11A.TXT	
	SC	Code List. Identifier		Accounting Entry Processing	Code List	Identifier		Identifier	0	1		AccountingE201
	SC	Code List. Agency. Identifier		Accounting Entry Processing	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Accounting Entry Processing	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Accounting Entry Processing	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000140	DT	Accounting Journal Category_ Code. Type	A character string used to represent the type of an accounting journal category.				Accounting Journal Category	Code				
	CC	Code. Content	A character string used to represent the type of an accounting journal category.	Accounting Journal Category	Code				1	1	EDIFICASEU_AccountingJournalCategory_D11A.TXT	
	SC	Code List. Identifier		Accounting Journal Category	Code List	Identifier		Identifier	0	1		AccountingE013
	SC	Code List. Agency. Identifier		Accounting Journal Category	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Accounting Journal Category	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Accounting Journal Category	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000139	DT	Accounting Journal_ Code. Type	A character string used to represent the type of an accounting journal.				Accounting Journal	Code				
	CC	Code. Content	A character string used to represent the type of an accounting journal.	Accounting Journal	Code				1	1	EDIFICASEU_AccountingJournal_D11A.TXT	
	SC	Code List. Identifier		Accounting Journal	Code List	Identifier		Identifier	0	1		AccountingE012
	SC	Code List. Agency. Identifier		Accounting Journal	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Accounting Journal	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Accounting Journal	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000174	DT	Accounting Period Function_ Code. Type	A character string used to represent the function of an accounting period.				Accounting Period Function	Code				
	CC	Code. Content	A character string used to represent the function of an accounting period.	Accounting Period Function	Code				1	1	EDIFICASEU_AccountingPeriodFunctionType_D11A.TXT	
	SC	Code List. Identifier		Accounting Period Function	Code List	Identifier		Identifier	0	1		AccountingE703
	SC	Code List. Agency. Identifier		Accounting Period Function	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Accounting Period Function	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Accounting Period Function	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000135	DT	Accounting Perquisite_ Code. Type	A character string used to represent the type of an accounting perquisite.				Accounting Perquisite	Code				
	CC	Code. Content	A character string used to represent the type of an accounting perquisite.	Accounting Perquisite	Code				1	1	EDIFICASEU_AccountingPerquisite_D11A.TXT	
	SC	Code List. Identifier		Accounting Perquisite	Code List	Identifier		Identifier	0	1		AccountingE021
	SC	Code List. Agency. Identifier		Accounting Perquisite	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Accounting Perquisite	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Accounting Perquisite	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000109	DT	Accounting Voucher Medium_ Code. Type	A character string used to represent a medium containing an accounting voucher.				Accounting Voucher Medium	Code				
	CC	Code. Content	A character string used to represent a medium containing an accounting voucher.	Accounting Voucher Medium	Code				1	1	EDIFICASEU_AccountingVoucherMedium_D11A.TXT	
	SC	Code List. Identifier		Accounting Voucher Medium	Code List	Identifier		Identifier	0	1		AccountingE101
	SC	Code List. Agency. Identifier		Accounting Voucher Medium	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Accounting Voucher Medium	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Accounting Voucher Medium	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000110	DT	Accounting_ Document_ Code. Type	A character string used to represent the type of an accounting document.				Accounting_ Document	Code				
	CC	Code. Content	A character string used to represent the type of an accounting document.	Accounting_ Document	Code				1	1	EDIFICASEU_Document Name Code_Accounting_D19B.TXT	
	SC	Code List. Identifier		Accounting_ Document	Code List	Identifier		Identifier	0	1		1001_Accounting
	SC	Code List. Agency. Identifier		Accounting_ Document	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Accounting_ Document	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Accounting_ Document	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000020	DT	Acknowledgement_ Code. Type	A character string used to represent a type of acknowledgment.				Acknowledgement	Code				
	CC	Code. Content	A character string used to represent a type of acknowledgment.	Acknowledgement	Code				1	1	UNECE_MessageFunctionCodeAcknowledgement_D19B.TXT	
	SC	Code List. Identifier		Acknowledgement	Code List	Identifier		Identifier	0	1		1225_Acknowledgement
	SC	Code List. Agency. Identifier		Acknowledgement	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Acknowledgement	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Acknowledgement	Code	Name		Text	0	1		
UN02000163	DT	Additional Postponement_ Code. Type	A character string used to represent the type of additional postponement.				Additional Postponement	Code				
	CC	Code. Content	A character string used to represent the type of additional postponement.	Additional Postponement	Code				1	1	EDIFICASEU_AdditionalPostponement_D11A.TXT	
	SC	Code List. Identifier		Additional Postponement	Code List	Identifier		Identifier	0	1		AccountingE904
	SC	Code List. Agency. Identifier		Additional Postponement	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Additional Postponement	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Additional Postponement	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000158	DT	Address Format Type_ Code. Type	A character string used to represent the type of format address.				Address Format Type	Code				
	CC	Code. Content	A character string used to represent the type of format address.	Address Format Type	Code				1	1	EDIFICASEU_AddressFormatType_D11A.TXT	
	SC	Code List. Identifier		Address Format Type	Code List	Identifier		Identifier	0	1		AccountingE011
	SC	Code List. Agency. Identifier		Address Format Type	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Address Format Type	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Address Format Type	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000039	DT	Address Type_ Code. Type	A character string used to represent or replace an address type.				Address Type	Code				
	CC	Code. Content	A character string used to represent or replace an address type.	Address Type	Code				1	1	UNECE_AddressType_D19B.TXT	
	SC	Code List. Identifier		Address Type	Code List	Identifier		Identifier	0	1		3131
	SC	Code List. Agency. Identifier		Address Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Address Type	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Address Type	Code	Name		Text	0	1		
UN02000001	DT	Adjustment Reason_ Code. Type	A character string used to represent an adjustment reason.				Adjustment Reason	Code				
	CC	Code. Content	A character string used to represent an adjustment reason.	Adjustment Reason	Code				1	1	UNECE_AdjustmentReasonDescriptionCode_D19B.TXT	
	SC	Code List. Identifier		Adjustment Reason	Code List	Identifier		Identifier	0	1		4465
	SC	Code List. Agency. Identifier		Adjustment Reason	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Adjustment Reason	Code List	Version		Identifier	0	1		D19B
UN02000142	DT	Air Flow_ Unit_ Measure. Type	The numeric value determined by a measurement of air flow.				Air Flow_ Unit	Measure				
	CC	Measure. Content	The numeric value determined by a measurement of air flow.	Air Flow	Measure				1	1		
	SC	Measure Unit. Code		Air Flow	Measure Unit	Code		Code	0	1	UNECE_MeasurementUnitCommonCodeAirFlow_4.TXT	
	SC	Measure Unit. Code List Version. Identifier		Air Flow	Measure Unit	Code List Version		Identifier	0	1		4
UN02000134	DT	Allowance Charge Identification_ Code. Type	A character string used to identify a type of allowance or charge.				Allowance Charge Identification	Code				
	CC	Code. Content	A character string used to identify a type of allowance or charge.	Allowance Charge Identification	Code				1	1	UNECE_AllowanceChargeID_D19B.TXT	
	SC	Code List. Identifier		Allowance Charge Identification	Code List	Identifier		Identifier	0	1		5189
	SC	Code List. Agency. Identifier		Allowance Charge Identification	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Allowance Charge Identification	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Allowance Charge Identification	Code List	Uniform Resource		Identifier	0	1		
UN02000118	DT	Allowance Charge Reason_ Code. Type	A character string used to represent an allowance charge reason.				Allowance Charge Reason	Code				
	CC	Code. Content	A character string used to represent an allowance charge reason.	Allowance Charge Reason	Code				1	1	UNECE_AllowanceChargeReasonCode_D19B.TXT	
	SC	Code List. Identifier		Allowance Charge Reason	Code List	Identifier		Identifier	0	1		4465
	SC	Code List. Agency. Identifier		Allowance Charge Reason	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Allowance Charge Reason	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Allowance Charge Reason	Code List	Uniform Resource		Identifier	0	1		
UN02000111	DT	Alternate Currency Amount Type_ Code. Type	A character string used to represent the type of an alternate currency amount.				Alternate Currency Amount Type	Code				
	CC	Code. Content	A character string used to represent the type of an alternate currency amount.	Alternate Currency Amount Type	Code				1	1	EDIFICASEU_AlternateCurrencyAmountType_D11A.TXT	
	SC	Code List. Identifier		Alternate Currency Amount Type	Code List	Identifier		Identifier	0	1		AccountingE304
	SC	Code List. Agency. Identifier		Alternate Currency Amount Type	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Alternate Currency Amount Type	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Alternate Currency Amount Type	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000137	DT	Amortization Method_ Code. Type	A character string used to represent the type of an amortization method.				Amortization Method	Code				
	CC	Code. Content	A character string used to represent the type of an amortization method.	Amortization Method	Code				1	1	EDIFICASEU_AmortizationMethod_D11A.TXT	
	SC	Code List. Identifier		Amortization Method	Code List	Identifier		Identifier	0	1		AccountingE204
	SC	Code List. Agency. Identifier		Amortization Method	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Amortization Method	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Amortization Method	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000169	DT	Amount Weight Type_ Code. Type	A character string used to represent the type of amount weight.				Amount Weight Type	Code				
	CC	Code. Content	A character string used to represent the type of amount weight.	Amount Weight Type	Code				1	1	EDIFICASEU_AmountWeightType_D11A.TXT	
	SC	Code List. Identifier		Amount Weight Type	Code List	Identifier		Identifier	0	1		AccountingE702
	SC	Code List. Agency. Identifier		Amount Weight Type	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Amount Weight Type	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Amount Weight Type	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000119	DT	Automatic Data Capture Method_ Code. Type	A character string used to represent an automatic data capturing method.				Automatic Data Capture Method	Code				
	CC	Code. Content	A character string used to represent an automatic data capturing method.	Automatic Data Capture Method	Code				1	1	UNECE_AutomaticDataCaptureMethodCode_D19B.TXT	
	SC	Code List. Identifier		Automatic Data Capture Method	Code List	Identifier		Identifier	0	1		7233_AutomaticDataCaptureMethod
	SC	Code List. Agency. Identifier		Automatic Data Capture Method	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Automatic Data Capture Method	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Automatic Data Capture Method	Code List	Uniform Resource		Identifier	0	1		
UN02000002	DT	Billing_ Document_ Code. Type	A character string used to represent a type of billing document.				Billing_ Document	Code				
	CC	Code. Content	A character string used to represent a type of billing document.	Billing_ Document	Code				1	1	UNECE_DocumentNameCodeBilling_D19B.TXT	
	SC	Code List. Identifier		Billing_ Document	Code List	Identifier		Identifier	0	1		1001_Billing
	SC	Code List. Agency. Identifier		Billing_ Document	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Billing_ Document	Code List	Version		Identifier	0	1		D19B
UN02000179	DT	Binary Object Character Set_ Code. Type	A code specifying the character set of the binary object if the mime type is text.				Binary Object Character Set	Code				
	CC	Code. Content	A code specifying the character set of the binary object if the mime type is text.	MIME	Code				1	1	IANA_CharacterSetCode.TXT	
	SC	Code List. Agency. Identifier		MIME	Code List	Agency		Identifier	0	1		IANA
	SC	Code List. Name. Text		MIME	Code List	Name		Text	0	1		Character Set Code
	SC	Code List. Version. Identifier		MIME	Code List	Version		Identifier	0	1		2013-01-08
UN02000178	DT	Binary Object Encoding_ Code. Type	A code specifying the encoding algorithm of the binary object.				Binary Object Encoding	Code				
	CC	Code. Content	A code specifying the encoding algorithm of the binary object.	MIME	Code				1	1	UNECE_CharacterEncodingCode_D19B.TXT	
	SC	Code List. Identifier		Workflow_ Status	Code List	Identifier		Identifier	0	1		0133
	SC	Code List. Agency. Identifier		MIME	Code List	Agency		Identifier	0	1		6
	SC	Code List. Name. Text		MIME	Code List	Name		Text	0	1		Binary Object Encoding
	SC	Code List. Version. Identifier		MIME	Code List	Version		Identifier	0	1		D19B
UN02000184	DT	Cancellation_ Document Status_ Code. Type	A character string used to represent the cancellation status condition of a document.				Cancellation_ Document Status	Code				
	CC	Code. Content	A character string used to represent the cancellation status condition of a document.	Access Rights Type	Code				1	1	UNECE_CancellationDocumentStatusCode_D19B.TXT	
	SC	Code List. Identifier		Access Rights Type	Code List	Identifier		Identifier	0	1		1373_Cancellation
	SC	Code List. Agency. Identifier		Access Rights Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Access Rights Type	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Access Rights Type	Code List	Uniform Resource		Identifier	0	1		
UN02000096	DT	Cargo Category_ Code. Type	A character string used to represent the cargo category.				Cargo Category	Code				
	CC	Code. Content	A character string used to represent the cargo category.	Cargo Category	Code				1	1	UNECE_CargoTypeCode_1996 Rev2Final.TXT	
	SC	Code List. Identifier		Cargo Category	Code List	Identifier		Identifier	0	1		Recommendation 21-Annex I
	SC	Code List. Agency. Identifier		Cargo Category	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Cargo Category	Code List	Version		Identifier	0	1		1996 Rev 2 Final
	SC	Code. Name. Text		Cargo Category	Code	Name		Text	0	1		
UN02000053	DT	Cargo Commodity Category_ Code. Type	A character string used to represent a cargo commodity category.				Cargo Commodity Category	Code				
	CC	Code. Content	A character string used to represent a cargo commodity category.	Cargo Commodity Category	Code				1	1	UNECE_Commodity Category_ Code_D19B.TXT	
	SC	Code List. Identifier		Cargo Commodity Category	Code List	Identifier		Identifier	0	1		7357
	SC	Code List. Agency. Identifier		Cargo Commodity Category	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Cargo Commodity Category	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Cargo Commodity Category	Code	Name		Text	0	1		
UN02000077	DT	Cargo Operational Category_ Code. Type	A character string used to represent cargo operational categories.				Cargo Operational Category	Code				
	CC	Code. Content	A character string used to represent cargo operational categories.	Cargo Operational Category	Code				1	1	UNECE_Cargo Type Classificationb_D19B.TXT	
	SC	Code List. Identifier		Cargo Operational Category	Code List	Identifier		Identifier	0	1		7085b
	SC	Code List. Agency. Identifier		Cargo Operational Category	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Cargo Operational Category	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Cargo Operational Category	Code	Name		Text	0	1		
UN02000049	DT	Cargo Type Classification_ Code. Type	A character string used to represent a cargo type classification.				Cargo Type Classification	Code				
	CC	Code. Content	A character string used to represent a cargo type classification.	Cargo Type Classification	Code				1	1	UNECE_CargoTypeClassificationCode_D19B.TXT	
	SC	Code List. Identifier		Cargo Type Classification	Code List	Identifier		Identifier	0	1		7085
