Unique UN Assigned ID	 ABIE/ BBIE/ ASBIE/ACC/BCC/ASCC/DT/CC/SC	"Dictionary Entry Name
(auto generated)"	"Definition
Mandatory"	Object Class Term	Property Term	Representation Term	Associated Object Class	Business Term(s)	Usage Rule(s)	Occurrence Min	Occurrence Max	Short Name
UN00004781	BCC	Accounting Account Pattern. Name. Text	"The name, expressed as text, of this accounting account pattern."	Accounting Account Pattern	Name	Text				0	1	Name
UN00004782	BCC	Accounting Account Pattern. Country. Code	The code specifying the country for this accounting account pattern (reference ISO 3166).	Accounting Account Pattern	Country	Code				0	1	Deprecated Country Code
UN00004783	BCC	Accounting Account Pattern. Template. Text	"The template, expressed as text, of this accounting account pattern."	Accounting Account Pattern	Template	Text				0	1	Template Text
UN00004784	BCC	Accounting Account Pattern. Opening. Date Time	"The date, time, date time, or other date time value of the opening of this accounting account pattern."	Accounting Account Pattern	Opening	Date Time				0	1	Opening Date Time
UN00004785	BCC	Accounting Account Pattern. Closing. Date Time	"The date, time, date time, or other date time value of the closing of this accounting account pattern."	Accounting Account Pattern	Closing	Date Time				0	1	Closing Date Time
UN00006544	BCC	Accounting Account Pattern. Country. Identifier	The identifier specifying the country for this accounting account pattern (reference ISO 3166).	Accounting Account Pattern	Country	Identifier				0	1	Country Code
UN00004786	ASCC	Accounting Account Pattern. Specified. Accounting Account Dimension	An accounting account dimension specified for this accounting account pattern.	Accounting Account Pattern	Specified		Accounting Account Dimension			0	unbounded	Specified Accounting Account Dimension
UN00001267	ACC	Accounting Account. Details	"A specific account for recording debits and credits to general accounting, cost accounting or budget accounting."	Accounting Account								Accounting Account
UN00001268	BCC	Accounting Account. Identification. Identifier	The unique identifier for this accounting account.	Accounting Account	Identification	Identifier				0	1	ID
UN00001269	BCC	Accounting Account. Set Trigger. Code	A code specifying a set trigger for the accounting account to be used in response to a specific event or set of events.	Accounting Account	Set Trigger	Code				0	unbounded	Set Trigger Code
UN00001270	BCC	Accounting Account. Type. Code	"The code specifying the type of accounting account such as general(main), secondary, cost accounting, budget account."	Accounting Account	Type	Code				0	1	Type Code
UN00001271	BCC	Accounting Account. Amount Type. Code	The code specifying the amount type for a specific accounting account.	Accounting Account	Amount Type	Code				0	1	Amount Type Code
UN00002145	BCC	Accounting Account. Sub Account. Identifier	A unique identifier for this accounting sub account.	Accounting Account	Sub Account	Identifier				0	unbounded	Sub-Account ID
UN00002146	BCC	Accounting Account. Name. Text	"The name, expressed as text, of this accounting account."	Accounting Account	Name	Text				0	1	Name
UN00002147	BCC	Accounting Account. Abbreviated Name. Text	"The abbreviated name, expressed as text, of this accounting account."	Accounting Account	Abbreviated Name	Text				0	1	Abbreviated Name
UN00002148	BCC	Accounting Account. Main Accounts Chart. Identifier	The unique identifier for the main accounts chart for this accounting account.	Accounting Account	Main Accounts Chart	Identifier				0	1	Main Accounts Chart ID
UN00002149	BCC	Accounting Account. Main Accounts Chart Reference. Identifier	The unique identifier of the main accounts chart reference for this accounting account.	Accounting Account	Main Accounts Chart Reference	Identifier				0	1	Main Accounts Chart Reference ID
UN00003179	BCC	Accounting Account. Cost Assignment Reference. Text	"The cost assignment reference, expressed as text, for this accounting account."	Accounting Account	Cost Assignment Reference	Text				0	1	Deprecated Cost Assignment Reference Text
UN00004511	BCC	Accounting Account. Cost Reference Dimension Pattern. Text	"The cost reference dimension pattern, expressed as text, for this accounting account."	Accounting Account	Cost Reference Dimension Pattern	Text				0	1	Cost Reference Dimension Pattern Text
UN00004787	BCC	Accounting Account. Status. Code	"The code specifying the status of this accounting account, such as open, locked, closed, temporarily unusable, pending."	Accounting Account	Status	Code				0	1	Status Code
UN00004788	BCC	Accounting Account. Group Rank. Code	The code specifying the rank or level for grouping a series of accounting accounts.	Accounting Account	Group Rank	Code				0	1	Group Rank Code
UN00004789	BCC	Accounting Account. Opening. Date Time	"The date, time, date time, or other date time value of the opening of this accounting account."	Accounting Account	Opening	Date Time				0	1	Opening Date Time
UN00004790	BCC	Accounting Account. Opening Responsible Person. Text	"The person, expressed as text, responsible for the opening of this accounting account."	Accounting Account	Opening Responsible Person	Text				0	1	Opening Responsible Person Text
UN00004791	BCC	Accounting Account. Aggregation Nomenclature. Identifier	A unique identifier of an aggregation nomenclature for this accounting account.	Accounting Account	Aggregation Nomenclature	Identifier				0	unbounded	Aggregation Nomenclature ID
UN00004792	BCC	Accounting Account. Balance Normal Sign. Code	"The code specifying the balance normal sign of this accounting account, such as debit or credit (reference UNCL 4405)."	Accounting Account	Balance Normal Sign	Code				0	1	Balance Normal Sign Code
UN00004793	BCC	Accounting Account. Balance Reopening Mode. Code	"The code specifying the mode for reopening the balance of this accounting account, such as balance brought forward, open items, debit-credit totals, not reopened."	Accounting Account	Balance Reopening Mode	Code				0	1	Balance Reopening Mode Code
UN00004794	BCC	Accounting Account. Locking. Date Time	"The date, time, date time, or other date time value of the locking of this accounting account."	Accounting Account	Locking	Date Time				0	1	Locking Date Time
UN00004795	BCC	Accounting Account. Locking Responsible Person. Text	"The person, expressed as text, responsible for locking this accounting account."	Accounting Account	Locking Responsible Person	Text				0	1	Locking Responsible Person Text
UN00004796	BCC	Accounting Account. Closing. Date Time	"The date, time, date time, or other date time value of the closing of this accounting account."	Accounting Account	Closing	Date Time				0	1	Closing Date Time
UN00004797	BCC	Accounting Account. Closing Responsible Person. Text	"The person, expressed as text, responsible for the closing of this accounting account."	Accounting Account	Closing Responsible Person	Text				0	1	Closing Responsible Person Text
UN00004798	BCC	Accounting Account. Nature. Code	"The code specifying the nature of this accounting account, such as assets, inventory, revenues, expenses, receivables, or payables."	Accounting Account	Nature	Code				0	1	Nature Code
UN00004799	BCC	Accounting Account. Mandatory Secondary Accounting. Indicator	The indication of whether or not a secondary accounting account is mandatory for this accounting account.	Accounting Account	Mandatory Secondary Accounting	Indicator				0	1	Mandatory Secondary Accounting Indicator
UN00004800	BCC	Accounting Account. Latest Debit Posting. Date Time	"The date, time, date time, or other date time value of the latest debit posting into this accounting account."	Accounting Account	Latest Debit Posting	Date Time				0	1	Latest Debit Posting Date Time
UN00004801	BCC	Accounting Account. Latest Debit Posting Responsible Person. Text	"The person, expressed as text, responsible for posting the latest debit into this accounting account."	Accounting Account	Latest Debit Posting Responsible Person	Text				0	1	Latest Debit Posting Responsible Person Text
UN00004802	BCC	Accounting Account. Latest Credit Posting. Date Time	"The date, time, date time, or other date time value of the latest credit posting into this accounting account."	Accounting Account	Latest Credit Posting	Date Time				0	1	Latest Credit Posting Date Time
UN00004803	BCC	Accounting Account. Latest Credit Posting Responsible Person. Text	"The person, expressed as text, responsible for posting the latest credit into this accounting account."	Accounting Account	Latest Credit Posting Responsible Person	Text				0	1	Latest Credit Posting Responsible Person Text
UN00004804	BCC	Accounting Account. Matching Mark. Indicator	The indication of whether or not a matching mark is required for this accounting account.	Accounting Account	Matching Mark	Indicator				0	1	Matching Mark Indicator
UN00004805	BCC	Accounting Account. Latest Matching Mark. Text	"The latest matching mark, expressed as text, used for this accounting account."	Accounting Account	Latest Matching Mark	Text				0	1	Latest Matching Mark Text
UN00004806	BCC	Accounting Account. Ticking Mark. Indicator	The indication of whether or not a ticking mark is required for this accounting account specification.	Accounting Account	Ticking Mark	Indicator				0	1	Ticking Mark Indicator
UN00004807	BCC	Accounting Account. Latest Ticking Mark. Text	"The latest ticking mark, expressed as text, used for this accounting account."	Accounting Account	Latest Ticking Mark	Text				0	1	Latest Ticking Mark Text
UN00004808	BCC	Accounting Account. Language. Code	The code specifying the language for this accounting account.	Accounting Account	Language	Code				0	1	Language Code
UN00004809	BCC	Accounting Account. Currency. Code	The code specifying the currency for this accounting account.	Accounting Account	Currency	Code				0	1	Currency Code
UN00004810	BCC	Accounting Account. Electronic Invoice URI. Identifier	"The Uniform Resource Identifier (URI), such as a web or email address, where electronic invoices can be addressed or located for this accounting account."	Accounting Account	Electronic Invoice URI	Identifier		E-Invoice		0	1	Electronic Invoice URI
UN00006501	BCC	Accounting Account. Accounting Year End. Date Time	"The date, time, date time, or other date time value of the end of an accounting year for this accounting account."	Accounting Account	Accounting Year End	Date Time				0	1	Accounting Year End Date Time
UN00002150	ASCC	Accounting Account. Derived. Report	"A report which is derived from values within this accounting account, such as a tax return or financial statement."	Accounting Account	Derived		Report			0	unbounded	Derived Report
UN00004811	ASCC	Accounting Account. Update Authorized. Person	A person who is authorized to update this accounting account.	Accounting Account	Update Authorized		Person			0	unbounded	Update Authorized Person
UN00004812	ASCC	Accounting Account. Related. Accounting Account Classification	The classification related to this accounting account.	Accounting Account	Related		Accounting Account Classification			0	1	Related Accounting Account Classification
UN00004813	ASCC	Accounting Account. Related. Accounting Account Credit Risk	The credit risk related to this accounting account.	Accounting Account	Related		Accounting Account Credit Risk			0	1	Related Accounting Account Credit Risk
UN00004814	ASCC	Accounting Account. Specified. Tax	A tax specified for this accounting account.	Accounting Account	Specified		Tax			0	unbounded	Specified Tax
UN00004815	ASCC	Accounting Account. Specified. Payment Instruction	The payment instruction specified for this accounting account.	Accounting Account	Specified		Payment Instruction			0	1	Specified Payment Instruction
UN00004816	ASCC	Accounting Account. Specified. Financial Account	A financial account specified for this accounting account.	Accounting Account	Specified		Financial Account			0	unbounded	Specified Financial Account
UN00004817	ASCC	Accounting Account. Linked. Accounting Account	An accounting account linked to this accounting account.	Accounting Account	Linked		Accounting Account			0	unbounded	Linked Accounting Account
UN00004818	ASCC	Accounting Account. Related. Organization	The organization related to this accounting account.	Accounting Account	Related		Organization			0	1	Related Organization
UN00004819	ASCC	Accounting Account. Inclusive. Accounting Account Boundary	Inclusive boundaries for this accounting account.	Accounting Account	Inclusive		Accounting Account Boundary			0	unbounded	Inclusive Accounting Account Boundary
UN00004820	ASCC	Accounting Account. Exclusive. Accounting Account Boundary	Exclusive boundaries for this accounting account.	Accounting Account	Exclusive		Accounting Account Boundary			0	unbounded	Exclusive Accounting Account Boundary
UN00004821	ASCC	Accounting Account. Main. Accounting Account Pattern	The main accounting account pattern for this accounting account.	Accounting Account	Main		Accounting Account Pattern			0	1	Main Accounting Account Pattern
UN00004822	ASCC	Accounting Account. Subordinate. Accounting Account Pattern	A subordinate accounting account pattern for this accounting account.	Accounting Account	Subordinate		Accounting Account Pattern			0	unbounded	Subordinate Accounting Account Pattern
UN00005789	ASCC	Accounting Account. Included. Accounting Entry Line	An accounting entry line included in this accounting account.	Accounting Account	Included		Accounting Entry Line			0	unbounded	Included Accounting Entry Line
UN00006502	ASCC	Accounting Account. Fiscal. Capital Asset	The fiscal capital asset for this accounting account.	Accounting Account	Fiscal		Capital Asset			0	1	Fiscal Capital Asset
UN00006503	ASCC	Accounting Account. Economic. Capital Asset	The economic capital asset for this accounting account.	Accounting Account	Economic		Capital Asset			0	1	Economic Capital Asset
UN00006504	ASCC	Accounting Account. IFRS. Capital Asset	The International Financial Reporting Standards (IFRS) capital asset for this accounting account.	Accounting Account	IFRS		Capital Asset			0	1	IFRS Capital Asset
UN00006629	ASCC	Accounting Account. Related. Accounting Line Monetary Value	An accounting line monetary value related to this accounting account.	Accounting Account	Related		Accounting Line Monetary Value			0	unbounded	Related Accounting Line Monetary Value
UN00004873	ACC	Accounting Book. Details	"A collection of accounting related data that pertains to specific documents, such as year end report, tax reports, trial balance, or entries."	Accounting Book								Accounting Book
UN00004874	BCC	Accounting Book. Identification. Identifier	The unique identifier of this accounting book.	Accounting Book	Identification	Identifier				0	1	ID
UN00004875	BCC	Accounting Book. Test Condition. Indicator	An indicator specifying whether or not this accounting book is a test.	Accounting Book	Test Condition	Indicator			Default value = false.	0	unbounded	Test Condition Indicator
UN00004876	ASCC	Accounting Book. Specified. Processed Entity	A processed entity specified for this accounting book.	Accounting Book	Specified		Processed Entity			1	unbounded	Specified Processed Entity
UN00006626	ACC	Accounting Characteristic. Details	Specification of accounting characteristics for a trial balance.	Accounting Characteristic								Accounting Characteristic
UN00006627	BCC	Accounting Characteristic. Description. Code	The code specifying the description of this accounting characteristic.	Accounting Characteristic	Description	Code				0	1	Description Code
UN00006628	BCC	Accounting Characteristic. Description Value. Code	The code specifying the description value of this accounting characteristic.	Accounting Characteristic	Description Value	Code				0	1	Description Value Code
UN00004877	ACC	Accounting Check. Details	A set of values providing a validation check of accounting data.	Accounting Check								Accounting Check
UN00004878	BCC	Accounting Check. Document Type. Code	"The code specifying the type of document for this accounting check such as journal, ledger, reporting."	Accounting Check	Document Type	Code				0	1	Document Type Code
UN00004879	BCC	Accounting Check. Total Element. Quantity	The total number of elements in this accounting check.	Accounting Check	Total Element	Quantity				0	1	Total Element Quantity
UN00004880	BCC	Accounting Check. Total Debit. Amount	The monetary value of the total debit in this accounting check.	Accounting Check	Total Debit	Amount				0	1	Total Debit Amount
UN00004881	BCC	Accounting Check. Total Credit. Amount	The monetary value of the total credit in this accounting check.	Accounting Check	Total Credit	Amount				0	1	Total Credit Amount
UN00004882	ASCC	Accounting Check. Excluded. Accounting Account Boundary	An accounting account boundary excluded for this accounting check.	Accounting Check	Excluded		Accounting Account Boundary			0	unbounded	Excluded Accounting Account Boundary
UN00004883	ASCC	Accounting Check. Included. Accounting Account Boundary	An accounting account boundary included for this accounting check.	Accounting Check	Included		Accounting Account Boundary			0	unbounded	Included Accounting Account Boundary
UN00002165	ACC	Accounting Entry Line. Details	A line included in an accounting entry.	Accounting Entry Line								Accounting Entry Line
UN00002166	BCC	Accounting Entry Line. Comment. Text	"The comment, expressed as text, for this accounting entry line."	Accounting Entry Line	Comment	Text				0	1	Comment
UN00002167	BCC	Accounting Entry Line. Category. Code	"The code specifying the category of this accounting entry line, such as opening balance, normal, simulation, paid commercial paper not yet due from a prior period, not matched line in a prior period, or not reconciled line in a prior period."	Accounting Entry Line	Category	Code				0	1	Category Code
UN00002168	BCC	Accounting Entry Line. Source. Code	"The code specifying the source of this accounting entry line, such as year to date, import, or manual input."	Accounting Entry Line	Source	Code				0	1	Source Code
UN00002169	BCC	Accounting Entry Line. Last Change. Date Time	"The date, time, date time, or other date time value of the last change to this accounting entry line."	Accounting Entry Line	Last Change	Date Time				0	1	Last Change Date Time
UN00002170	BCC	Accounting Entry Line. Last Change Responsible Person Name. Text	"The name or initials of the person, expressed as text, responsible for the last change to this accounting entry line."	Accounting Entry Line	Last Change Responsible Person Name	Text				0	1	Last Change Responsible Person Name
UN00003222	BCC	Accounting Entry Line. Actual. Quantity	The actual quantity for this accounting entry line.	Accounting Entry Line	Actual	Quantity				0	1	Actual Quantity
UN00005778	BCC	Accounting Entry Line. Document Reference. Identifier	A unique document reference identifier for this accounting entry line.	Accounting Entry Line	Document Reference	Identifier				0	unbounded	Document Reference ID
UN00007068	BCC	Accounting Entry Line. Nature. Text	"A nature, expressed as text, of an accounting entry line, such as a product or service description."	Accounting Entry Line	Nature	Text				0	unbounded	Nature Text
UN00002171	ASCC	Accounting Entry Line. Specified. Accounting Line Index	A specified accounting line index for this accounting entry line.	Accounting Entry Line	Specified		Accounting Line Index			0	unbounded	Specified Accounting Line Index
UN00002172	ASCC	Accounting Entry Line. Repeated. Monetary Allocation	A repeated monetary allocation for this accounting entry line.	Accounting Entry Line	Repeated		Monetary Allocation			0	unbounded	Repeated Monetary Allocation
UN00002173	ASCC	Accounting Entry Line. Repeated. Monetary Instalment	A repeated monetary instalment for this accounting entry line.	Accounting Entry Line	Repeated		Monetary Instalment			0	unbounded	Repeated Monetary Instalment
UN00002174	ASCC	Accounting Entry Line. Related. Quantity Analysis	The quantity analysis related to this accounting entry line.	Accounting Entry Line	Related		Quantity Analysis			0	1	Related Quantity Analysis
UN00002175	ASCC	Accounting Entry Line. Related. Accounting Line Monetary Value	An accounting line monetary value related to this accounting entry line.	Accounting Entry Line	Related		Accounting Line Monetary Value			0	unbounded	Related Accounting Line Monetary Value
UN00002176	ASCC	Accounting Entry Line. Related. Tax	A tax related to this accounting entry line.	Accounting Entry Line	Related		Tax			0	unbounded	Related Tax
UN00005779	ASCC	Accounting Entry Line. Connected. Accounting Entry	An accounting entry to which this accounting entry line is connected.	Accounting Entry Line	Connected		Accounting Entry			0	unbounded	Connected Accounting Entry
UN00007072	ASCC	Accounting Entry Line. Repeated. Payment	A payment repeated for this accounting entry line.	Accounting Entry Line	Repeated		Payment			0	unbounded	Repeated Payment
UN00002151	ACC	Accounting Entry. Details	"A posting of monetary values into accounting books that indicates the financial flow for an economic event, the acquisition or consumption of a resource, or the working contribution of an agent."	Accounting Entry								Accounting Entry
UN00002152	BCC	Accounting Entry. Identification. Identifier	The unique identifier for this accounting entry.	Accounting Entry	Identification	Identifier				0	1	ID
UN00002153	BCC	Accounting Entry. Processing Status. Code	"The code specifying the processing status for this accounting entry, such as validated, not validated, proposed, simulated, deferred, or removed."	Accounting Entry	Processing Status	Code				0	1	Processing Status Code
UN00002154	BCC	Accounting Entry. Journal. Identifier	The unique identifier of the journal for this accounting entry.	Accounting Entry	Journal	Identifier				0	1	Journal ID
UN00002155	BCC	Accounting Entry. Value Date. Date Time	"The date, time, date time, or other date time value of the value date of this accounting entry."	Accounting Entry	Value Date	Date Time				0	1	Value Date Time
UN00002156	BCC	Accounting Entry. Removal. Indicator	The indication of whether or not this accounting entry must be removed.	Accounting Entry	Removal	Indicator				0	1	Removal Indicator
UN00002157	BCC	Accounting Entry. Unbalanced. Indicator	The indication of whether or not the debit and credit amounts of this accounting entry are unbalanced.	Accounting Entry	Unbalanced	Indicator				0	1	Unbalanced Indicator
UN00002158	BCC	Accounting Entry. Related Entry. Identifier	The unique identifier of an entry related to this accounting entry.	Accounting Entry	Related Entry	Identifier				0	1	Related Entry ID
UN00002159	BCC	Accounting Entry. Category. Code	"The code specifying the category of this accounting entry, such as financial accounting, budget, comparison, standard, recurring, or reordered."	Accounting Entry	Category	Code				0	1	Category Code
UN00002160	BCC	Accounting Entry. Purpose. Text	"The purpose, expressed as text, for this accounting entry."	Accounting Entry	Purpose	Text				0	1	Purpose Text
UN00002161	BCC	Accounting Entry. Capture. Date Time	"The date, time, date time, or other date time value of the capture of this accounting entry."	Accounting Entry	Capture	Date Time				0	1	Capture Date Time
UN00002162	BCC	Accounting Entry. Reversal. Date Time	"The date, time, date time, or other date time value for the reversal of this accounting entry."	Accounting Entry	Reversal	Date Time				0	1	Reversal Date Time
UN00002163	BCC	Accounting Entry. Validation. Date Time	"The date, time, date time, or other date time value for the validation of this accounting entry."	Accounting Entry	Validation	Date Time				0	1	Validation Date Time
UN00002164	ASCC	Accounting Entry. Detailed. Accounting Entry Line	A detailed accounting line entry for this accounting entry.	Accounting Entry	Detailed		Accounting Entry Line			0	unbounded	Detailed Accounting Entry Line
UN00005780	ASCC	Accounting Entry. Justification. Document	A document that provides the justification for this accounting entry.	Accounting Entry	Justification		Document			0	unbounded	Justification Document
UN00007073	ASCC	Accounting Entry. Specified. Accounting Journal	A journal specified for this accounting entry.	Accounting Entry	Specified		Accounting Journal			0	unbounded	Specified Accounting Journal
UN00006534	ACC	Accounting Journal. Details	A book or file where particularities of transactions of one specific category are recorded.	Accounting Journal								Accounting Journal
UN00006535	BCC	Accounting Journal. Identification. Identifier	The identifier for this accounting journal.	Accounting Journal	Identification	Identifier				0	1	ID
UN00006536	BCC	Accounting Journal. Name. Text	"The name, expressed as text, of this accounting journal."	Accounting Journal	Name	Text				0	1	Name
UN00006537	BCC	Accounting Journal. Type. Code	"The code specifying the type of this accounting journal such as financial, cost, budget."	Accounting Journal	Type	Code				0	1	Type Code
UN00006538	BCC	Accounting Journal. Category. Code	"The code specifying the category of this accounting journal such as purchase, sales, cash, miscellaneous."	Accounting Journal	Category	Code				0	1	Category Code
UN00006539	BCC	Accounting Journal. Opening. Date Time	"The date, time, date time, or other date time value of the opening of this accounting journal."	Accounting Journal	Opening	Date Time				0	1	Opening Date Time
UN00006540	BCC	Accounting Journal. Closing. Date Time	"The date, time, date time, or other date time value of the closing of this accounting journal."	Accounting Journal	Closing	Date Time				0	1	Closing Date Time
UN00006541	ASCC	Accounting Journal. Opening Responsible. Contact	The contact responsible for opening this accounting journal.	Accounting Journal	Opening Responsible		Contact			0	1	Opening Responsible Contact
UN00006542	ASCC	Accounting Journal. Closing Responsible. Contact	The contact responsible for closing this accounting journal.	Accounting Journal	Closing Responsible		Contact			0	1	Closing Responsible Contact
UN00006543	ASCC	Accounting Journal. Offsetting. Accounting Account	An offsetting accounting account for this accounting journal.	Accounting Journal	Offsetting		Accounting Account			0	unbounded	Offsetting Accounting Account
UN00008274	ASCC	Accounting Journal. Included. Accounting Entry	An accounting entry included in this journal.	Accounting Journal	Included		Accounting Entry			0	unbounded	Included Accounting Entry
UN00002187	ACC	Accounting Line Index. Details	The identification of a line in a folio of a book or an automated index.	Accounting Line Index								Accounting Line Index
UN00002188	BCC	Accounting Line Index. Line. Numeric	The number of the line for this accounting line index.	Accounting Line Index	Line	Numeric				0	1	Line Number
UN00002189	BCC	Accounting Line Index. Folio. Numeric	The number of the folio for this accounting line index.	Accounting Line Index	Folio	Numeric				0	1	Folio Number
UN00002190	ACC	Accounting Line Monetary Value. Details	The material or monetary worth of a thing that is associated with a line that is a part of an accounting entry.	Accounting Line Monetary Value								Accounting Line Monetary Value
UN00002191	BCC	Accounting Line Monetary Value. Local Accounting Currency. Amount	The monetary value of the accounting line in the accounting currency local to where the accounting records are required.	Accounting Line Monetary Value	Local Accounting Currency	Amount				0	1	Local Accounting Currency Amount
UN00002192	BCC	Accounting Line Monetary Value. Voucher Currency. Amount	The monetary value of the accounting line in the voucher currency.	Accounting Line Monetary Value	Voucher Currency	Amount				0	1	Voucher Currency Amount
