Unique UN Assigned ID	 ABIE/ BBIE/ ASBIE/ACC/BCC/ASCC/DT/CC/SC	"Dictionary Entry Name
(auto generated)"	Short Name	"Definition
Mandatory"	Publication comments	Object Class Term Qualifier(s)	Object Class Term	Property Term Qualifier(s)	Property Term	Datatype Qualifier(s)	Representation Term	Qualified Data Type UID	Associated Object Class Term Qualifier(s)	Associated Object Class	Business Term(s)	Usage Rule(s)	Sequence Number	Occurrence Min	Occurrence Max	Business Process	Product	Industry	Region (Geopolitical)	Official Constraints	Role	Supporting Role	System Constraints	Example(s)	BIE/CC/DT Version	Ref Library Version	Submitter Name	Ref Component UN ID	Ref CR ID	Unique submitter ID	CR Status Date	CR Status	Library Maintenance Comment	TDED
UN01009181	BBIE	AAA Archive_ Binary File. Version. Identifier	Version ID	The version identifier for this_AAA archive binary file.		AAA Archive	Binary File		Version		Identifier						4	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009182	BBIE	AAA Archive_ Binary File. File Name. Text	File Name	"The file name, expressed as text, of this_AAA archive binary file."		AAA Archive	Binary File		File Name		Text						5	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009183	BBIE	AAA Archive_ Binary File. Included. Binary Object	Included Binary Object	The included binary object for this_AAA archive binary file.		AAA Archive	Binary File		Included		Binary Object						6	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009184	BBIE	AAA Archive_ Binary File. Access. Text	Access Text	"The access information, expressed as text, for this_AAA archive binary file, such as security and download parameters."		AAA Archive	Binary File		Access		Text						7	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009185	BBIE	AAA Archive_ Binary File. Description. Text	Description	The textual description of this_AAA archive binary file.		AAA Archive	Binary File		Description		Text						8	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009186	BBIE	AAA Archive_ Binary File. Size. Measure	Size	The measure of the size of this_AAA archive binary file.		AAA Archive	Binary File		Size		Measure						9	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009187	ASBIE	AAA Archive_ Binary File. Access Availability. AAA_ Period	Access Availability Period	An access availability period to this_AAA archive binary file.		AAA Archive	Binary File		Access Availability				AAA	Period			1	0	unbounded	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009078	ABIE	AAA Archive_ Bundle Collection. Details	AAA Archive Bundle Collection	Combination of documents and books intended to be stored together in a usable form to conform with AAA (Accounting And Audit) archive regulatory requirements.		AAA Archive	Bundle Collection													"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009079	BBIE	AAA Archive_ Bundle Collection. Identification. Identifier	ID	The identifier for this AAA archive bundle collection.		AAA Archive	Bundle Collection		Identification		Identifier						1	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009080	BBIE	AAA Archive_ Bundle Collection. Comment. Text	Comment Text	"The comment, expressed as text, for this AAA archive bundle collection."		AAA Archive	Bundle Collection		Comment		Text						2	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009081	BBIE	AAA Archive_ Bundle Collection. Agent Assigned Archive. Identifier	Agent Assigned Archive ID	The AAA archive identifier assigned by the agent for this bundle collection.		AAA Archive	Bundle Collection		Agent Assigned Archive		Identifier						3	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009082	BBIE	AAA Archive_ Bundle Collection. Agent Archive Delivery. Date Time	Agent Archive Delivery Date Time	"The date, time, date time, or other date time value of the delivery of the AAA archive by the agent for this bundle collection."		AAA Archive	Bundle Collection		Agent Archive Delivery		Date Time						4	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009083	BBIE	AAA Archive_ Bundle Collection. Owner Assigned Archive. Identifier	Owner Assigned Archive ID	The AAA archive identifier assigned by the owner for this bundle collection.		AAA Archive	Bundle Collection		Owner Assigned Archive		Identifier						5	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009084	BBIE	AAA Archive_ Bundle Collection. Owner Archive Delivery. Date Time	Owner Archive Delivery Date Time	"The date, time, date time, or other date time value of the delivery of the AAA archive by the owner for this bundle collection."		AAA Archive	Bundle Collection		Owner Archive Delivery		Date Time						6	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009085	ASBIE	AAA Archive_ Bundle Collection. Life Cycle. AAA Archive_ Archive Parameter	Life Cycle Archive Parameter	The AAA archive parameter for the life cycle of this bundle collection.		AAA Archive	Bundle Collection		Life Cycle				AAA Archive	Archive Parameter			1	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009086	ASBIE	AAA Archive_ Bundle Collection. Included. AAA Archive_ Document	Included Document	A document included in this_AAA archive bundle collection.		AAA Archive	Bundle Collection		Included				AAA Archive	Document			2	0	unbounded	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009218	ABIE	AAA Archive_ Certificate. Details	AAA Archive Certificate	Legal proof of ownership or worthiness of an AAA (Accounting And Audit) archive.		AAA Archive	Certificate													"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009219	BBIE	AAA Archive_ Certificate. Identification. Identifier	ID	The identifier for an_AAA archive certificate.		AAA Archive	Certificate		Identification		Identifier						1	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009220	BBIE	AAA Archive_ Certificate. Type. Code	Type Code	The code specifying the type of AAA archive certificate.		AAA Archive	Certificate		Type	Certificate Type	Code	UN02000155					2	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009221	BBIE	AAA Archive_ Certificate. Software Operating System. Text	Software Operating System Text	"The software operating system, expressed as text, for which this_AAA archive certificate is produced."		AAA Archive	Certificate		Software Operating System		Text						3	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009222	BBIE	AAA Archive_ Certificate. Issue. Date Time	Issue Date Time	"The date, time, date time, or other date time value when this_AAA archive certificate was issued."		AAA Archive	Certificate		Issue		Date Time						4	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009202	ABIE	AAA Archive_ Clause. Details	AAA Archive Clause	"A distinct article or provision in a contract, treaty, will, or other formal or legal written document, which requires compliance, relating to an AAA (Accounting And Audit) archive."		AAA Archive	Clause													"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009203	BBIE	AAA Archive_ Clause. Identification. Identifier	ID	The identifier for this_AAA_archive clause.		AAA Archive	Clause		Identification		Identifier						1	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									(4069)
UN01009204	BBIE	AAA Archive_ Clause. Version. Date Time	Version Date Time	"The date, time, date time, or other date time value of the version of this_AAA archive clause."		AAA Archive	Clause		Version		Date Time						2	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009205	BBIE	AAA Archive_ Clause. Content. Text	Content	"The content, expressed as text, of this_AAA_archive clause."		AAA Archive	Clause		Content		Text						3	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									(4068)
UN01009206	BBIE	AAA Archive_ Clause. Breach Explanation. Text	Breach Explanation	"The explanation, expressed as text, for a breach of this AAA archive clause."		AAA Archive	Clause		Breach Explanation		Text						4	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009207	BBIE	AAA Archive_ Clause. Breach. Indicator	Breach Indicator	The indication of whether or not this_AAA archive clause has been breached.		AAA Archive	Clause		Breach		Indicator						5	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009208	BBIE	AAA Archive_ Clause. Wording Non Standard. Indicator	Wording Non-Standard Indicator	The indication of whether or not the wording of this_AAA archive clause is non-standard.		AAA Archive	Clause		Wording Non Standard		Indicator						6	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009209	BBIE	AAA Archive_ Clause. Parametric Standard Wording. Indicator	Parametric Standard Wording Indicator	The indication of whether or not the standard wording of this_AAA archive clause is parametric.		AAA Archive	Clause		Parametric Standard Wording		Indicator						7	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009210	BBIE	AAA Archive_ Clause. Met. Indicator	Met Indicator	The indication of whether or not this_AAA archive clause has been met.		AAA Archive	Clause		Met		Indicator						8	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009087	ABIE	AAA Archive_ Document. Details	AAA Archive Document	A document or book intended to be stored in a usable form to conform with AAA (Accounting And Audit) archive requirements.		AAA Archive	Document													"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009088	BBIE	AAA Archive_ Document. Multiple Type. Indicator	Multiple Type Indicator	The indication of whether or not this_AAA archive document is an aggregation of different types of business documents.		AAA Archive	Document		Multiple Type		Indicator						1	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009089	BBIE	AAA Archive_ Document. Identification. Identifier	ID	The identifier for this AAA archive document.		AAA Archive	Document		Identification		Identifier						2	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									(1004)
UN01009090	BBIE	AAA Archive_ Document. Type. Code	Type Code	A code specifying a type of AAA archive document.		AAA Archive	Document		Type	Accounting_ Document	Code	UN02000110					3	0	unbounded	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									(1001)
UN01009091	BBIE	AAA Archive_ Document. Name. Text	Name	"The name, expressed as text, for this AAA archive document."		AAA Archive	Document		Name		Text						4	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									(1000)
UN01009092	BBIE	AAA Archive_ Document. Purpose. Text	Purpose Text	"The purpose, expressed as text, of this_AAA archive document."		AAA Archive	Document		Purpose		Text						5	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									(1160)
UN01009093	BBIE	AAA Archive_ Document. Description. Text	Description	A textual description of this_AAA archive document.		AAA Archive	Document		Description		Text						6	0	unbounded	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009094	BBIE	AAA Archive_ Document. Issue. Date Time	Issue Date Time	"The date, time, date time or other date time value for the issuance of this_AAA archive document."		AAA Archive	Document		Issue		Date Time						7	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									(2007)
UN01009095	BBIE	AAA Archive_ Document. Submission. Date Time	Submission Date Time	"The date, time, date time or other date time value for the formal submission of this_AAA archive document to a receiver by a sender."		AAA Archive	Document		Submission		Date Time						8	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009096	BBIE	AAA Archive_ Document. Receipt. Date Time	Receipt Date Time	"The date, time, date time or other date time value for the formal receipt of this_AAA archive document."		AAA Archive	Document		Receipt		Date Time						9	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009097	BBIE	AAA Archive_ Document. Control Requirement. Indicator	Control Requirement Indicator	The indication of whether or not this_AAA archive document has specific control requirements.		AAA Archive	Document		Control Requirement		Indicator						10	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009098	BBIE	AAA Archive_ Document. Creation. Date Time	Creation Date Time	"The date, time, date time or other date time value of the creation of this_AAA archive document."		AAA Archive	Document		Creation		Date Time						11	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009099	BBIE	AAA Archive_ Document. Status. Code	Status Code	A code specifying a status of this_AAA archive document.		AAA Archive	Document		Status	Document Status	Code	UN02000025					12	0	unbounded	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.1									(1373)
UN01009100	BBIE	AAA Archive_ Document. Copy. Indicator	Copy Indicator	The indication of whether or not this_AAA archive document is a copy.		AAA Archive	Document		Copy		Indicator						13	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009101	BBIE	AAA Archive_ Document. Response. Date Time	Response Date Time	"The date, time, date time, or other date time value for a response to this_AAA archive document."		AAA Archive	Document		Response		Date Time						14	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009102	BBIE	AAA Archive_ Document. Item Identification. Identifier	Item ID	The identifier of a specific item in this_AAA archive document.		AAA Archive	Document		Item Identification		Identifier						15	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									(1052)
UN01009103	BBIE	AAA Archive_ Document. Remarks. Text	Remark	"A remark, expressed as text, regarding this_AAA archive document."		AAA Archive	Document		Remarks		Text						16	0	unbounded	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009104	BBIE	AAA Archive_ Document. Language. Identifier	Language Code	An identifier for a language used in this_AAA archive document.		AAA Archive	Document		Language		Identifier						17	0	unbounded	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									[3453]
UN01009105	BBIE	AAA Archive_ Document. Currency. Code	Currency Code	A code specifying a currency in which monetary amounts are expressed in this_AAA archive document.		AAA Archive	Document		Currency	Currency	Code	UN02000004					18	0	unbounded	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									[6345]
UN01009106	BBIE	AAA Archive_ Document. Line Count. Numeric	Line Count	A count of the number of lines in this_AAA archive document.		AAA Archive	Document		Line Count		Numeric						19	0	unbounded	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009107	BBIE	AAA Archive_ Document. Line. Identifier	Line ID	An identifier of a line in this_AAA archive document.		AAA Archive	Document		Line		Identifier						20	0	unbounded	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									(1156)
UN01009108	BBIE	AAA Archive_ Document. Multiple References. Indicator	Multiple References Indicator	The indication of whether or not this_AAA archive document references multiple other documents.		AAA Archive	Document		Multiple References		Indicator						21	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009109	BBIE	AAA Archive_ Document. Revision. Text	Revision Text	"A revision, expressed as text, for this_AAA archive document."		AAA Archive	Document		Revision		Text						22	0	unbounded	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009110	BBIE	AAA Archive_ Document. Authorization. Text	Authorization Text	"The authorization, expressed as text, for this_AAA archive document."		AAA Archive	Document		Authorization		Text						23	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009111	BBIE	AAA Archive_ Document. Checksum. Numeric	Checksum Number	The number of the checksum for this_AAA archive document.		AAA Archive	Document		Checksum		Numeric						24	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009112	BBIE	AAA Archive_ Document. Item. Quantity	Item Quantity	A quantity of items in this_AAA archive document.		AAA Archive	Document		Item		Quantity						25	0	unbounded	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009113	BBIE	AAA Archive_ Document. Acceptance. Date Time	Acceptance Date Time	"The date, time, date time or other date time value of the acceptance of this_AAA archive document."		AAA Archive	Document		Acceptance		Date Time						26	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									(2097)
UN01009114	BBIE	AAA Archive_ Document. Original Required. Quantity	Original Required Quantity	The number of originals required of this_AAA archive document.		AAA Archive	Document		Original Required		Quantity						27	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									(1218)
