Module,num,Kind,Table,No,Name,DictionaryEntryName,Description,XBRLGL,ObjectClassTermQualifier,ObjectClassTerm,PropertyTerm,RepresentationTerm,Datatype,Representation,AssociatedObjectClassTermQualifier,AssociatedObjectClass,Level,PK_REF,RefField,RefTable,Occurrence
Base,13,BBIE,BAS Employee,8,Employee Job Title,ADC_ Employee. Job Title. Name,The title of the person in an accounting unit. EXAMPLE Accounting manager.,,ADC,Employee,Job Title,Name,String,%60s,,,2,,,,0..1
Base,14,BBIE,BAS Employee,9,Employee Academic Degree,ADC_ Employee. Academic Degree,"The highest academic degree acquired. EXAMPLE Doctor, Master.",,ADC,Employee,Academic Degree,Text,String,%60s,,,2,,,,0..1
Base,15,BBIE,BAS Employee,10,Employment Date,ADC_ Employee. Employment Date,The employment date of the employee.,,ADC,Employee,Employment Date,Date,Date,%10c,,,2,,,,0..1
Base,16,BBIE,BAS Employee,11,Termination Date,ADC_ Employee. Termination Date,"The termination date of the employee from which the labor contract was no longer valid, or the employee no longer works in this department.",,ADC,Employee,Termination Date,Date,Date,%10c,,,2,,,,0..1
Base,17,RBIE,BAS Employee,12,User ID,ADC_ Employee. Associated. ADC_ User,The system user ID associated with the employee. hall match the User_ID in the BAS_User table.,,ADC,Employee,Associated,,String,%25s,ADC,User,2,REF,User_ID,BAS_User,0..1
Base,18,IDBIE,BAS User,1,User ID,ADC_ User. ID,"The unique identifier for the individuals entering transactions into the accounting and/or ERP system. Typically auto-generated by the system. This field is used to join information in this table to other tables based on the fields such as Created_User_ID, Last_Modified_User_ID, Approved_User_ID and Posted_User_ID, respectively.",gl-cor:identifierCode with gl-cor:identifierCategory = systemUser,ADC,User,Identification,Identifier,String,%25s,,,1,PK,,,1..1
Base,19,BBIE,BAS User,2,User Active Status,ADC_ User. Active Status. Code,"This indicates whether the status of the user is active or inactive. A user may become inactive due to retirement, dismissal or termination etc. EXAMPLE 1 is active and 0 is inactive.",gl-cor:identifierActive,ADC,User,Active Status,Code,Boolean,%1c,,,2,,,,0..1
Base,20,BBIE,BAS User,3,User Status Modified Date,ADC_ User. Status Modified Date,The modified date of the user's activation or termination status.,gl-cor:dateAcknowledged,ADC,User,Status Modified Date,Date,Date,%10c,,,2,,,,0..1
Base,21,BBIE,BAS User,4,User Name,ADC_ User. User Name,The name of the user.,gl-cor:identifierContactFirstName and gl-cor:identifierContactLastName,ADC,User,User Name,Name,String,%100s,,,1,,,,1..1
Base,22,BBIE,BAS User,5,User Job Title,ADC_ User. User Job Title. Name,The title of the person in the system. EXAMPLE System manager.,gl-cor:identifierContactPrefix,ADC,User,User Job Title,Name,String,%100s,,,2,,,,0..1
Base,23,RBIE,BAS User,6,Department Code,ADC_ User. Department. ADC_ Business Segment,The code of department rosters of the use. EXAMPLE The department name is IT department and the code is 0018. Shall match the Business_Segment_Code in the BAS_Business_Segment table.,gl-bus:organizationIdentifier,ADC,User,Department,,String,%25s,ADC,Business Segment,2,REF,Business_Segment_Code,BAS_Business_Segment,0..n
Base,24,BBIE,BAS User,7,User Role Responsibility,ADC_ User. User Role Responsibility,Free form description of the individual's functional role or primary responsibility. EXAMPLE Responsibility related to managing the information of accounts payable in the system.,gl-cor:identifierContactPositionRole,ADC,User,User Role Responsibility,Text,String,%100s,,,2,,,,0..1
Base,25,IDBIE,BAS Customer Type,1,Customer Type ID,ADC_ Customer Type. ID,The unique identifier for the customer type. Typically auto-generated by the system.,gl-cor:identifierCode for internal # with gl-cor:identifierType = customer,ADC,Customer Type,Identification,Identifier,String,%60s,,,1,PK,,,1..1
Base,26,BBIE,BAS Customer Type,2,Customer Type Code,ADC_ Customer Type. Customer Type. Code,"The code of the customer type. EXAMPLE Using 004 to represent a Platinum customer, 005 to represent a Gold customer and 006 to represent a Silver customer. Customer_Type_Code and Customer_Type_Name are not necessarily related.",,ADC,Customer Type,Customer Type,Code,String,%100s,,,1,,,,1..1
Base,27,BBIE,BAS Customer Type,3,Customer Type Name,ADC_ Customer Type. Customer Type. Name,"The name of the type categorized by the customer attributes. EXAMPLE Platinum customer, Gold customer and Silver customer.",,ADC,Customer Type,Customer Type,Name,String,%80s,,,1,,,,1..1
Base,28,RBIE,BAS Customer Type,4,Parent Customer Type ID,ADC_ Customer Type. Parent. ADC_ Customer Type,The unique identifier for the parent customer type. Typically autogenerated by the system. Shall match the Customer_Type_ID in the BAS_Customer_Type table.,,ADC,Customer Type,Parent,,String,%60s,ADC,Customer Type,2,REF,Customer_Type_ID,BAS_Customer_Type,0..1
Base,29,IDBIE,BAS Customer,1,Customer Account ID,ADC_ Customer. ID,The unique identifier for the customer. Typically auto-generated by the system.,gl-cor:identifierCode for internal # with gl-cor:identifierType = customer,ADC,Customer,Identification,Identifier,String,%100s,,,1,PK,,,1..1
Base,30,BBIE,BAS Customer,2,Customer Account Number,ADC_ Customer. Customer Account Number. Code,The number of the customer. This number is generated either by manual input or by the system.,gl-cor:identifierDescription,ADC,Customer,Customer Account Number,Code,String,%100s,,,1,,,,1..1
Base,31,BBIE,BAS Customer,3,Customer Account Name,ADC_ Customer. Customer Account. Name,The name of the customer.,gl-cor:identifierDescription,ADC,Customer,Customer Account,Name,String,%200s,,,1,,,,1..1
Base,32,BBIE,BAS Customer,4,Customer Abbreviation,ADC_ Customer. Abbreviation,The abbreviation of the customer's name.,,ADC,Customer,Abbreviation,Text,String,%100s,,,2,,,,0..1
Base,33,RBIE,BAS Customer,5,Parent Customer ID,ADC_ Customer. Parent. ADC_ Customer,The unique identifier for the parent customer. Shall match the Customer_Account_ID in the BAS_Customer table.,gl-cor:identifierCode with gl-cor:identifierType = customer,ADC,Customer,Parent,,String,%100s,ADC,Customer,2,REF,Customer_Account_ID,BAS_Customer,0..1
Base,34,RBIE,BAS Customer,6,Corresponding Supplier ID,ADC_ Customer. Corresponding. ADC_ Supplier,The unique identifier for the corresponding supplier in case that the customer is also a supplier. Shall match the Supplier_Account_ID in the BAS_Supplier table. Otherwise set NULL.,gl-cor:identifierCode with gl-cor:identifierType = vendor,ADC,Customer,Corresponding,,String,%100s,ADC,Supplier,2,REF,Supplier_Account_ID,BAS_Supplier,0..1
Base,35,RBIE,BAS Customer,7,Customer Type ID,ADC_ Customer. Classified. ADC_ Customer Type,The unique identifier for the customer type. Typically auto-generated by the system. Shall match the Customer_Type_ID in the BAS_Customer_Type table.,,ADC,Customer,Classified,,String,%60s,ADC,Customer Type,2,REF,Customer_Type_ID,BAS_Customer_Type,0..1
Base,36,BBIE,BAS Customer,8,Customer TIN,ADC_ Customer. Tax Identification Number. Code,The customer's tax identification number. This number is usually generated by tax regulator.,gl-cor:identifierAuthorityCode for tax #,ADC,Customer,Tax Identification Number,Code,String,%100s,,,1,,,,1..1
Base,37,ASBIE,BAS Customer,9,Customer Physical Address,ADC_ Customer. Address. Physical_ Address,The customer's physical address.,Use corresponding element of XBRL GL taxonomy.,ADC,Customer,Address,,,,Physical,Address,1,,,,1..1
Base,38,ASBIE,BAS Customer,10,Customer Billing Address,ADC_ Customer. Address. Billing_ Address,The customer's billing address.,Use corresponding element of XBRL GL taxonomy.,ADC,Customer,Address,,,,Billing,Address,1,,,,1..1
Base,39,ASBIE,BAS Customer,11,Primary Contact Name,ADC_ Customer. Crresponding. ADC_ Primary Contact,The name of the primary contact for the customer.,Use corresponding element of XBRL GL taxonomy.,ADC,Customer,Crresponding,,,,ADC,Primary Contact,2,,,,0..1
Base,40,BBIE,BAS Customer,12,Inactive Date,ADC_ Customer. Inactive. Date,"The date that the customer was declared inactive. For example a customer may become inactive due to exceeding credit limit, legal restrictions, contract termination or bankruptcy etc.",gl-cor:confirmedDate,ADC,Customer,Inactive,Date,Date,%10c,,,2,,,,0..1
Base,41,BBIE,BAS Customer,13,Transaction Credit Limit,ADC_ Customer. Transaction Credit Limit. Amount,The per invoice credit limit established for the customer.,gl-muc:amountRestatedAmount,ADC,Customer,Transaction Credit Limit,Amount,Decimal,%22.4f,,,2,,,,0..1
Base,42,BBIE,BAS Customer,14,Total Credit Limit,ADC_ Customer. Total Credit Limit. Amount,The credit limit for the customer's total outstanding balance.,gl-cor:amount,ADC,Customer,Total Credit Limit,Amount,Decimal,%22.4f,,,2,,,,0..1
Base,43,BBIE,BAS Customer,15,Terms Discount Percentage,ADC_ Customer. Terms Discount. Percentage,"The discount percentage the customer can take if an invoice is paid before a certain number of days. In the flat file, terms are represented as integers to decimal place. EXAMPLE 10% would be represented as 0.10.",gl-cor:terms,ADC,Customer,Terms Discount,Percentage,Decimal,%5.4f,,,2,,,,0..1
Base,44,BBIE,BAS Customer,16,Terms Discount Days,ADC_ Customer. Terms Discount Days. Numeric,The number of days from the invoice date the customer has to take advantage of discounted terms. Terms are represented as integers with no decimal places. EXAMPLE 10 days would be represented as 10.,See description for field,ADC,Customer,Terms Discount Days,Numeric,Integer,%6d,,,2,,,,0..1
Base,45,BBIE,BAS Customer,17,Terms Due Days,ADC_ Customer. Terms Due Days. Numeric,The default number of days allowed to meet the obligation before an invoice becomes overdue.,See description for field; explicit in gl-cor:maturityDate,ADC,Customer,Terms Due Days,Numeric,Integer,%6d,,,2,,,,0..1
Base,46,ASBIE,BAS Customer,18,Activity Records,ADC_ Customer. Recorded. ADC_ Activity Records,The activity records on this data entry.,Use corresponding element of XBRL GL taxonomy.,ADC,Customer,Recorded,,,,ADC,Activity Records,2,,,,0..1
Base,47,IDBIE,BAS Supplier Type,1,Supplier Type ID,ADC_ Supplier Type. ID,The unique identifier for the supplier type. Typically auto-generated by the system.,"gl-cor:documentReference / Rather than using a data field, use XML's ID at the top level of the structure. You can use both XML IDs and IDREFs to create physical links between related documents.",ADC,Supplier Type,Identification,Identifier,String,%60s,,,1,PK,,,1..1
Base,48,BBIE,BAS Supplier Type,2,Supplier Type Code,ADC_ Supplier Type. Code,"The code of the supplier type. EXAMPLE Using 004 to represent preferred suppliers, 005 to represent key suppliers, and 006 to represent common suppliers.",,ADC,Supplier Type,Code,Code,String,%100s,,,1,,,,1..1
Base,49,BBIE,BAS Supplier Type,3,Supplier Type Name,ADC_ Supplier Type. Name,"The name of the type categorized by the supplier attributes. EXAMPLE Preferred supplier, key supplier and common supplier.",,ADC,Supplier Type,Name,Name,String,%80s,,,1,,,,1..1
Base,50,RBIE,BAS Supplier Type,4,Parent Supplier Type ID,ADC_ Supplier Type. Parent. ADC_ Supplier Type,The unique identifier for the parent supplier type. EXAMPLE Raw material supplier is a parent type of iron supplier. Typically auto-generated by the system. Shall match the Supplier_Type_ID in the BAS_Supplier_Type table.,,ADC,Supplier Type,Parent,,String,%60s,ADC,Supplier Type,2,REF,Supplier_Type_ID,BAS_Supplier_Type,0..1
Base,51,IDBIE,BAS Supplier,1,Supplier Account ID,ADC_ Supplier. ID,The unique identifier for the supplier to whom payment is due or from whom unused credits have been applied. Typically auto-generated by the system.,gl-cor:identifierCode for internal # with gl-cor:identifierType = vendor,ADC,Supplier,Identification,Identifier,String,%100s,,,1,PK,,,1..1
Base,52,BBIE,BAS Supplier,2,Supplier Account Number,ADC_ Supplier. Account Number. Code,The number of the supplier to whom payment is due or from whom unused credits have been applied. The number is usually generated by manual input or generated by the system.,,ADC,Supplier,Account Number,Code,String,%100s,,,1,,,,1..1
Base,53,BBIE,BAS Supplier,3,Supplier Account Name,ADC_ Supplier. Account Name,The name of the supplier.,gl-cor:identifierDescription,ADC,Supplier,Account Name,Name,String,%200s,,,1,,,,1..1
Base,54,BBIE,BAS Supplier,4,Supplier Abbreviation,ADC_ Supplier. Abbreviation,The abbreviation of the supplier's name.,,ADC,Supplier,Abbreviation,Text,String,%100s,,,2,,,,0..1
Base,55,RBIE,BAS Supplier,5,Parent Supplier ID,ADC_ Supplier. Parent. ADC_ Supplier,The unique identifier for the parent supplier. Typically auto-generated by the system. Shall match the Supplier_Account_ID in the BAS_Supplier table.,gl-cor:identifierCode with gl-cor:identifierType = vendor,ADC,Supplier,Parent,,String,%100s,ADC,Supplier,2,REF,Supplier_Account_ID,BAS_Supplier,0..1
Base,56,RBIE,BAS Supplier,6,Corresponding Customer ID,ADC_ Supplier. Corresponding. ADC_ Customer,The unique identifier for the corresponding customer in case that the supplier is also a customer. Typically auto-generated by the system. Shall match the Customer_Account_ID in the BAS_Customer table. Otherwise set NULL.,gl-cor:identifierCode with gl-cor:identifierType = customer,ADC,Supplier,Corresponding,,String,%100s,ADC,Customer,2,REF,Customer_Account_ID,BAS_Customer,0..1
Base,57,RBIE,BAS Supplier,7,Supplier Type ID,ADC_ Supplier. classified. ADC_ Supplier Type,The unique identifier for the supplier type. Typically auto-generated by the system. Shall match the Supplier_Type_ID in the BAS_Supplier_Type table.,,ADC,Supplier,classified,,String,%60s,ADC,Supplier Type,2,REF,Supplier_Type_ID,BAS_Supplier_Type,0..1
Base,58,BBIE,BAS Supplier,8,Supplier TIN,ADC_ Supplier. Tax Identification Number. Code,The supplier's tax identification number. The number is usually generated by the tax regulator.,gl-cor:identifierAuthorityCode for tax #,ADC,Supplier,Tax Identification Number,Code,String,%100s,,,1,,,,1..1
Base,59,ASBIE,BAS Supplier,9,Supplier Physical Address,ADC_ Supplier. Address. Physical_ Address,The supplier's physical address.,Use corresponding element of XBRL GL taxonomy.,ADC,Supplier,Address,,,,Physical,Address,1,,,,1..1
Base,60,ASBIE,BAS Supplier,10,Supplier Billing Address,ADC_ Supplier. Address. Billing_ Address,The supplier's billing address.,Use corresponding element of XBRL GL taxonomy.,ADC,Supplier,Address,,,,Billing,Address,1,,,,1..1
Base,61,ASBIE,BAS Supplier,11,Primary Contact Name,ADC_ Supplier. Corresponding. ADC_ Primary Contact,The name of the primary contact for the supplier.,Use corresponding element of XBRL GL taxonomy.,ADC,Supplier,Corresponding,,,,ADC,Primary Contact,2,,,,0..1
Base,62,BBIE,BAS Supplier,12,Supplier Group,ADC_ Supplier. Group. Code,Supplier group assignments when the organization segments the suppliers.,gl-cor:identifierCategory,ADC,Supplier,Group,Code,String,%100s,,,2,,,,0..1
Base,63,BBIE,BAS Supplier,13,Inactive Date,ADC_ Supplier. Inactive. Date,"The date the supplier was declared inactive. For example a supplier may become inactive due to exceeding credit limit, legal restrictions, contract termination or bankruptcy etc.",gl-cor:confirmedDate,ADC,Supplier,Inactive,Date,Date,%10c,,,2,,,,0..1
Base,64,BBIE,BAS Supplier,14,Transaction Credit Limit,ADC_ Supplier. Transaction Credit Limit. Amount,The per invoice credit limit established for this supplier.,gl-muc:amountRestatedAmount,ADC,Supplier,Transaction Credit Limit,Amount,Decimal,%22.4f,,,2,,,,0..1
Base,65,BBIE,BAS Supplier,15,Total Credit Limit,ADC_ Supplier. Total Credit Limit. Amount,The credit limit for the total outstanding balance approved for the supplier.,gl-cor:amount,ADC,Supplier,Total Credit Limit,Amount,Decimal,%22.4f,,,2,,,,0..1
Base,66,BBIE,BAS Supplier,16,Terms Discount Percentage,ADC_ Supplier. Terms Discount. Percentage,"The discount percentage the supplier can provide if an invoice is paid before a certain number of days. In the flat file, terms are represented as integers to decimal place. EXAMPLE 10% would be represented as 0.10.",gl-cor:terms,ADC,Supplier,Terms Discount,Percentage,Decimal,%5.4f,,,2,,,,0..1
Base,67,BBIE,BAS Supplier,17,Terms Discount Days,ADC_ Supplier. Terms Discount Days. Numeric,The number of days from the invoice date the supplier provides for the customer to take advantage of discounted terms. Terms are represented as integers with no decimal places. EXAMPLE 10 days would be represented as 10.,See description for field,ADC,Supplier,Terms Discount Days,Numeric,Integer,%6d,,,2,,,,0..1
Base,68,BBIE,BAS Supplier,18,Terms Due Days,ADC_ Supplier. Terms Due Days. Numeric,The number of days allowed to meet the obligation before an invoice becomes overdue.,See description for field; explicit in gl-cor:maturityDate,ADC,Supplier,Terms Due Days,Numeric,Integer,%6d,,,2,,,,0..1
Base,69,ASBIE,BAS Supplier,19,Activity Records,ADC_ Supplier. Recorded. ADC_ Activity Records,The activity records on this data entry.,Use corresponding element of XBRL GL taxonomy.,ADC,Supplier,Recorded,,,,ADC,Activity Records,2,,,,0..1
Base,70,IDBIE,BAS Chart Of Accounts,1,GL Account Number,ADC_ Chart Of Accounts. ID,The GL account number.,gl-cor:accountMainID,ADC,Chart Of Accounts,Identification,Identifier,String,%100s,,,1,PK,,,1..1
Base,71,BBIE,BAS Chart Of Accounts,2,GL Account Name,ADC_ Chart Of Accounts. GL Account. Name,The name of the GL account.,gl-cor:accountMainDescription,ADC,Chart Of Accounts,GL Account,Name,String,%100s,,,1,,,,1..1
Base,72,BBIE,BAS Chart Of Accounts,3,GL Account Description,ADC_ Chart Of Accounts. Description,The label or description associated with the GL_Account_Number.,gl-cor:accountTypeDescription,ADC,Chart Of Accounts,Description,Text,String,%1000s,,,2,,,,0..1
Base,73,BBIE,BAS Chart Of Accounts,4,FS Caption,ADC_ Chart Of Accounts. Caption,"The financial statement caption represents a related group of accounts. EXAMPLE Cash and cash equivalents, accounts payable and cost of sales. The caption can be at the trial balance level.",gl-cor:summaryReportingElement,ADC,Chart Of Accounts,Caption,Text,String,%100s,,,1,,,,1..1
Base,74,BBIE,BAS Chart Of Accounts,5,Account Type,ADC_ Chart Of Accounts. Account Type. Code,"The type of account. EXAMPLE Assets, liabilities, equity, revenues and expenses.",gl-cor:mainAccountType,ADC,Chart Of Accounts,Account Type,Code,String,%25s,,,1,,,,1..1
Base,75,BBIE,BAS Chart Of Accounts,6,Account Subtype,ADC_ Chart Of Accounts. Accountount Subtype. Code,The subtype of the account. EXAMPLE Current assets are the subtype of assets.,gl-cor:mainAccountTypeDescription,ADC,Chart Of Accounts,Accountount Subtype,Code,String,%25s,,,1,,,,1..1
Base,76,BBIE,BAS Chart Of Accounts,7,Account Hierarchy,ADC_ Chart Of Accounts. Account Hierarchy. Numeric,"The corresponding level for account number in the account hierarchy. EXAMPLE Using 1 to represent assets, and 2 to represent the account subtype current assets.",,ADC,Chart Of Accounts,Account Hierarchy,Numeric,Integer,%2d,,,2,,,,0..1
Base,77,RBIE,BAS Chart Of Accounts,8,Parent GL Account Number,ADC_ Chart Of Accounts. GL Account Number. ADC_ Chart Of Accounts,"The number of the parent account in an account hierarchy. This is provided to allow more than the predefined levels of the hierarchy in the BAS_Chart_Of_Accounts table. When Parent_GL_Account_Number is the highest level, its value can be set to the default value; for example, set to NULL. Shall match the GL_Account_Number in BAS_Chart_Of_Accounts table.",,ADC,Chart Of Accounts,GL Account Number,,String,%100s,ADC,Chart Of Accounts,1,REF,GL_Account_Number,BAS_Chart_Of_Accounts,1..1
Base,78,BBIE,BAS Chart Of Accounts,9,Balance Debit Or Credit,ADC_ Chart Of Accounts. Debit Or Credit. indicator,"This field is used to indicate whether the natural balance of the account is a debit or credit balance by indicating D or C, where assets and expenses have a natural balance of debit, and liabilities, equity and revenues have a natural balance of credit.",,ADC,Chart Of Accounts,Debit Or Credit,indicator,String,%1c,,,2,,,,0..1
Base,79,BBIE,BAS Chart Of Accounts,10,Active Flag,ADC_ Chart Of Accounts. Active Flag. Indicator,This indicates whether the GL account is active or inactive. EXAMPLE 1 is active and 0 is inactive.,,ADC,Chart Of Accounts,Active Flag,Indicator,Boolean,%1c,,,2,,,,0..1
Base,80,RBIE,BAS Chart Of Accounts,11,Business Segment X,ADC_ Chart Of Accounts. X. ADC_ Business Segment,"A reserved field that shall be used for business segments/structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with a unique reference level. For example, division, department, business unit, purchasing organization, project or legal entity.",gl-bus:organizationIdentifier,ADC,Chart Of Accounts,X,,String,%25s,ADC,Business Segment,1,,,,1..n
Base,81,IDBIE,BAS Accounting Period,1,Accounting Period ID,ADC_ Fiscal Period. ID,The unique identifier for the accounting period.,,ADC,Fiscal Period,Identification,Identifier,,,,,,,,,1..1
Base,82,BBIE,BAS Accounting Period,2,Fiscal Year,ADC_ Fiscal Period. Fiscal Year. Code,"The fiscal year in which the calendar date occurs. The year shall be shown in four digits as YYYY, which is part of the extended format and the YYYYMM-DD in ISO 8601-1.",,ADC,Fiscal Period,Fiscal Year,Code,String,%4c,,,1,PK,,,1..1
Base,83,BBIE,BAS Accounting Period,3,Accounting Period,ADC_ Fiscal Period. Period. Code,"The accounting period in which the calendar date occurs. EXAMPLE W1_W53 for weekly periods, M1_M12 for monthly periods, Q1_Q4 for quarterly periods, and from any beginning date to any ending date.",,ADC,Fiscal Period,Period,Code,String,%15s,,,1,PK,,,1..1
Base,84,BBIE,BAS Accounting Period,4,Begining Date,ADC_ Fiscal Period. Beginning. Date,The calendar beginning date of the current accounting period.,,ADC,Fiscal Period,Beginning,Date,Date,%10c,,,1,,,,1..1
Base,85,BBIE,BAS Accounting Period,5,Ending Date,ADC_ Fiscal Period. Ending. Date,The calendar ending date of the current accounting period.,,ADC,Fiscal Period,Ending,Date,Date,%10c,,,1,,,,1..1
Base,86,IDBIE,BAS Journal Entry Type,1,Journal Entry Type Code,ADC_ Journal Entry Type. ID,"The code of the journal entry type. EXAMPLE Using 004 to represent a cash receipt entry, 005 to represent a cash disbursement entry, and 006 to represent a non-cash entry.","gl-cor:documentReference / Rather than using a data field, use XML's ID at the top level of the structure. You can use both XML IDs and IDREFs to create physical links between related documents.",ADC,Journal Entry Type,Identification,Identifier,String,%60s,,,1,PK,,,1..1
Base,87,BBIE,BAS Journal Entry Type,2,Journal Entry Type Name,ADC_ Journal Entry Type. JE Type. Name,"The name of the journal entry type. This is usually categorized by business to satisfy an internal control need and/or to facilitate sorting and querying; for example, journal entries could be classified based on whether the transaction involves cash. In this case there may be cash receipt entry, cash disbursement entry, and non-cash entry of adjusting that is the recording of interest revenue earned and wages payable, estimation that is the recording depreciation, and bad-debt expenses, and/or correction that makes entries to counteract the effects of errors found in the general ledger.",,ADC,Journal Entry Type,JE Type,Name,String,%60s,,,1,,,,1..1
Base,88,BBIE,BAS Journal Entry Type,3,Journal Entry Type Abbreviation,ADC_ Journal Entry Type. Abbreviation,The abbreviation of the journal entry type.,,ADC,Journal Entry Type,Abbreviation,Text,String,%30s,,,2,,,,0..1
Base,89,BBIE,BAS Journal Entry Type,4,Active Flag,ADC_ Journal Entry Type. Active Flag. Indicator,This indicates whether the JE type is active or inactive. EXAMPLE 1 is active and 0 is inactive.,,ADC,Journal Entry Type,Active Flag,Indicator,Boolean,%1c,,,2,,,,0..1
Base,90,IDBIE,BAS Bill Type,1,Bill Type Code,ADC_ Bill Type. ID,"The code of the bill type. EXAMPLE Using 004 to represent bank draft, 005 to represent promissory note, and 006 to represent check.","gl-cor:documentReference / Rather than using a data field, use XML's ID at the top level of the structure. You can use both XML IDs and IDREFs to create physical links between related documents.",ADC,Bill Type,Identification,Identifier,String,%60s,,,1,PK,,,1..1
Base,91,BBIE,BAS Bill Type,2,Bill Type Name,ADC_ Bill Type. Bill Type Name,"The name of the bill type. EXAMPLE Bank draft, commercial draft, promissory note and check.",,ADC,Bill Type,Bill Type Name,Name,String,%60s,,,1,,,,1..1
Base,92,BBIE,BAS Bill Type,3,Active Flag,ADC_ Bill Type. Active Flag. Indicator,This indicates whether the bill type is active or inactive. EXAMPLE 1 is active and 0 is inactive.,,ADC,Bill Type,Active Flag,Indicator,Boolean,%1c,,,2,,,,0..1
Base,93,IDBIE,BAS Settlement Method,1,Settlement Method Code,ADC_ Settlement Method. ID,"The code of the settlement method. Various methods can be used to settle transactions and transfer money; for example, 001 for cash, 002 for bills, 003 for credit card, 004 for remittance, and 005 for bank collection.",gl-bus:paymentMethod,ADC,Settlement Method,Identification,Identifier,String,%60s,,,1,PK,,,1..1
