seq,module,ObjectClassTermQualifier,ObjectClassTerm,num,Kind,Name,Occurrence,PropertyTerm,RepresentationTerm,AssociatedObjectClassTermQualifier,AssociatedObjectClass,ReferencedObjectClassQualifier,ReferencedObjectClass,Description,DictionaryEntryName,Table,PK_REF,RefField,RefTable,Datatype,Representation,XBRLGL
1032,ADCS,,_Ledger Entrues,3,ASBIE,General Ledger Account Period Balance,0..n,Associated,,,General Ledger Account Period Balance,,,,Ledger Entrues. Associated. General Ledger Account Period Balance,,,,,,,
1033,ADCS,,_Ledger Entrues,4,ASBIE,Open Accounts Receivable,0..n,Associated,,,Open Accounts Receivable,,,,Ledger Entrues. Associated. Open Accounts Receivable,,,,,,,
1034,ADCS,,_Ledger Entrues,5,ASBIE,Cash Received,0..n,Associated,,,Cash Received,,,,Ledger Entrues. Associated. Cash Received,,,,,,,
1035,ADCS,,_Ledger Entrues,6,ASBIE,Accounts Receivable Cash Application,0..n,Associated,,,Accounts Receivable Cash Application,,,,Ledger Entrues. Associated. AR Cash Application,,,,,,,
1036,ADCS,,_Ledger Entrues,7,ASBIE,Accounts Receivable Adjustment,0..n,Associated,,,Accounts Receivable Adjustment,,,,Ledger Entrues. Associated. AR Adjustment,,,,,,,
1037,ADCS,,_Ledger Entrues,7,ASBIE,Accounts Receivable Adjustment Line,0..n,Associated,,,Accounts Receivable Adjustment Line,,,,Ledger Entrues. Associated. AR Adjustment Line,,,,,,,
1038,ADCS,,_Ledger Entrues,8,ASBIE,Open Accounts Payable,0..n,Associated,,,Open Accounts Payable,,,,Ledger Entrues. Associated. Open Accounts Payable,,,,,,,
1039,ADCS,,_Ledger Entrues,9,ASBIE,Payment Made,0..n,Associated,,,Payment Made,,,,Ledger Entrues. Associated. Payment Made,,,,,,,
1040,ADCS,,_Ledger Entrues,10,ASBIE,Accounts Payable Cash Application,0..n,Associated,,,Accounts Payable Cash Application,,,,Ledger Entries. Associated. Accounts Payable Cash Application,,,,,,,
1041,ADCS,,_Ledger Entrues,11,ASBIE,Accounts Payable Adjustment,0..n,Associated,,,Accounts Payable Adjustment,,,,Ledger Entrues. Associated. Accounts Payable Adjustment,,,,,,,
1042,ADCS,,_Ledger Entrues,12,ASBIE,Accounts Payable Adjustment Line,0..n,Associated,,,Accounts Payable Adjustment Line,,,,Ledger Entrues. Associated. Accounts Payable Adjustment Line,,,,,,,
1043,ADCS,,_Source Documents,0,ABIE,Source Documents,1..1,Details,,,,,,,Source Documents. Details,,,,,,,
1044,ADCS,,_Source Documents,1,ASBIE,Sales Contract,0..n,Associated,,,Sales Contract,,,,Source Documents. Associated. Sales Contract,,,,,,,
1045,ADCS,,_Source Documents,2,ASBIE,Sales Order,0..n,Associated,,,Sales Order,,,,Source Documents. Associated. Sales Order,,,,,,,
1046,ADCS,,_Source Documents,3,ASBIE,Invoice Generated,0..n,Associated,,,Invoice Generated,,,,Source Documents. Associated. Invoice Generated,,,,,,,
1047,ADCS,,_Source Documents,4,ASBIE,Shipments Made,0..n,Associated,,,Shipments Made,,,,Source Documents. Associated. Shipments Made,,,,,,,
1048,ADCS,,_Source Documents,5,ASBIE,Purchase Requisition,0..n,Associated,,,Purchase Requisition,,,,Source Documents. Associated. Purchase Requisition,,,,,,,
1049,ADCS,,_Source Documents,6,ASBIE,Purchase Contract,0..n,Associated,,,Purchase Contract,,,,Source Documents. Associated. Purchase Contract,,,,,,,
1050,ADCS,,_Source Documents,7,ASBIE,Purchase Order,0..n,Associated,,,Purchase Order,,,,Source Documents. Associated. Purchase Order,,,,,,,
1051,ADCS,,_Source Documents,8,ASBIE,Invoice Received,0..n,Associated,,,Invoice Received,,,,Source Documents. Associated. Invoice Received,,,,,,,
1052,ADCS,,_Source Documents,9,ASBIE,Material Received,0..n,Associated,,,Material Received,,,,Source Documents. Associated. Material Received,,,,,,,
1053,ADCS,,_Source Documents,10,ASBIE,Inventory On Hand,0..n,Associated,,,Inventory On Hand,,,,Source Documents. Associated. Inventory On Hand,,,,,,,
1054,ADCS,,_Source Documents,11,ASBIE,Inventory Transaction,0..n,Associated,,,Inventory Transaction,,,,Source Documents. Associated. Inventory Transaction,,,,,,,
1055,ADCS,,_Source Documents,12,ASBIE,Physical Inventory,0..n,Associated,,,Physical Inventory,,,,Source Documents. Associated. Physical Inventory,,,,,,,
1056,ADCS,,_Source Documents,13,ASBIE,Inventory Period Balance,0..n,Associated,,,Inventory Period Balance,,,,Source Documents. Associated. Inventory Period Balance,,,,,,,
1057,ADCS,,_Source Documents,14,ASBIE,PPE Addition,0..n,Associated,,,PPE Addition,,,,Source Documents. Associated. PPE Addition,,,,,,,
1058,ADCS,,_Source Documents,15,ASBIE,PPE Removal,0..n,Associated,,,PPE Removal,,,,Source Documents. Associated. PPE Removal,,,,,,,
1059,ADCS,,_Source Documents,16,ASBIE,PPE Change,0..n,Associated,,,PPE Change,,,,Source Documents. Associated. PPE Change,,,,,,,
1060,ADCS,,_Source Documents,17,ASBIE,PPE Department Allocation,0..n,Associated,,,PPE Department Allocation,,,,Source Documents. Associated. PPE Department Allocation,,,,,,,
1061,ADCS,,_Source Documents,18,ASBIE,PPE Depreciation Method,0..n,Associated,,,PPE Depreciation Method,,,,Source Documents. Associated. PPE Depreciation Method,,,,,,,
1062,ADCS,,_Source Documents,19,ASBIE,PPE Depreciation,0..n,Associated,,,PPE Depreciation,,,,Source Documents. Associated. PPE Depreciation,,,,,,,
1063,ADCS,,_Code Lists,0,ABIE,Code Lists,1..1,Details,,,,,,,Code Lists. Details,,,,,,,
1064,ADCS,,_Code Lists,1,ASBIE,Journal Entry Type,0..n,Associated,,,Journal Entry Type,,,,Code Lists. Associated. Journal Entry Type,,,,,,,
1065,ADCS,,_Code Lists,2,ASBIE,Currency,0..n,Associated,,,Currency,,,,Code Lists. Associated. Currency,,,,,,,
1066,ADCS,,_Code Lists,3,ASBIE,Measurement Unit,0..n,Associated,,,Measurement Unit,,,,Code Lists. Associated. Measurement Unit,,,,,,,
1067,ADCS,,_Code Lists,6,ASBIE,Customer Type,0..n,Associated,,,Customer Type,,,,Master Files. Associated. Customer Type,,,,,,,
1068,ADCS,,_Code Lists,7,ASBIE,Supplier Type,0..n,Associated,,,Supplier Type,,,,Master Files. Associated. Supplier Type,,,,,,,
1069,ADCS,,_Code Lists,4,ASBIE,Payment Term,0..n,Associated,,,Payment Term,,,,Code Lists. Associated. Payment Term,,,,,,,
1070,ADCS,,_Code Lists,8,ASBIE,Bill Type,0..n,Associated,,,Bill Type,,,,Master Files. Associated. Bill Type,,,,,,,
1071,ADCS,,_Code Lists,9,ASBIE,Product Type,0..n,Associated,,,Product Type,,,,Master Files. Associated. Product Type,,,,,,,
1072,ADCS,,_Code Lists,10,ASBIE,PPE Type,0..n,Associated,,,PPE Type,,,,Master Files. Associated. PPE Type,,,,,,,
1073,ADCS,,_Code Lists,11,ASBIE,Tax Type,0..n,Associated,,,Tax Type,,,,Code Lists. Associated. Tax Type,,,,,,,
1074,Header,,Profile,0,ABIE,Profile,0..n,Details,,,,,,"The industry and software version information is contained in Table 48. This table contains information related to the profile of the data being collected. For instance, when we extract the financial data of 2016 from an auditee using SAP XXX ERP System in 2017.1.16, we should have a record with the Profile_Name XXX_2016, Fiscal_Year 2016, Developer_Name SAP, Software_Name SAP_S/4, Software_Version 2.0, Functional_Currency CNY, Standard_Version ISO 21378, Extracted_Date 2017-01-16.",Profile. Details,BAS Profile,,,,,,
1075,Header,,Profile,1,IDBIE,Profile Number,1..1,Identification,Identifier,,,,,The number of the current data collection. This number is generated either by manual input or by the system.,,BAS Profile,PK,,,String,%5s,"gl-cor:documentReference / Rather than using a data field, use XML's ID at the top level of the structure. You can use both XML IDs and IDREFs to create physical links between related documents."
1076,Header,,Profile,2,BBIE,Profile Name,1..1,Profile,Name,,,,,The name of the current data collection.,Profile. Profile. Name,BAS Profile,,,,String,%30s,
1077,Header,,Profile,3,RFBIE,Fiscal Period,0..1,Referenced,,,,,Fiscal Period,Accounting period in which the calendar date occurs. The date shall be shown as YYYY-MM-DD in the extended format and the YYYY indicates a fourdigit year (ISO 8601-1).,Profile. Defined. Fiscal Period,BAS Profile,,,,String,%4c,
1078,Header,,Profile,4,BBIE,Accounting Entity,0..1,Accounting Entity,Name,,,,,The legal name of accounting entity.,Profile. Accounting Entity. Name,BAS Profile,,,,String,%60s,
1079,Header,,Profile,5,BBIE,Industry,0..1,Industry,Text,,,,,The corresponding industry name under superior sector code.,Profile. Industry. Text,BAS Profile,,,,String,%20s,
1080,Header,,Profile,6,BBIE,Developer Name,0..1,Developer,Name,,,,,The name of accounting and/or ERP system software developer.,Profile. Developer. Name,BAS Profile,,,,String,%200s,
1081,Header,,Profile,7,BBIE,Software Name,0..1,Software,Name,,,,,The name of accounting and/or ERP system software products.,Profile. Software. Name,BAS Profile,,,,String,%200s,
1082,Header,,Profile,8,BBIE,Software Version,0..1,Software Version,Text,,,,,The accounting and/or ERP system software version.,Profile. Software Version. Text,BAS Profile,,,,String,%20s,
1083,Header,,Profile,9,RFBIE,Functional Currency Code,0..1,Currency,,,,,Currency,The functional or group currency used in accounting and/or ERP system software (ISO 4217).,Profile. Currency. Currency,BAS Profile,,,,String,%3c,
1084,Header,,Profile,10,BBIE,Standard Version,0..1,Standard Version,Text,,,,,The standard issuing No. of the standards with which the current output files are consistent. EXAMPLE ISO 21378.,Profile. Standard Version. Text,BAS Profile,,,,String,%30s,
1085,Header,,Profile,11,BBIE,Extracted Date,1..1,Extracted,Date,,,,,The date of data extraction.,Profile. Extracted. Date,BAS Profile,,,,Date,%10c,
1086,Header,,Profile,12,BBIE,Time Zone,1..1,Time Zone,Code,,,,,"The Time_Zone indicates the difference between local time and UTC of day. The representation of the difference can be expressed in hours and minutes, or hours only. The Time_Zone shall be shown as + - hh:mm in the extended format (ISO 8601-1). EXAMPLE Newfoundland's time zone =-03:30, Beijing's time zone=+08:00.",Profile. Time Zone. Code,BAS Profile,,,,String,%6c,
1087,Header,,Profile,13,RFBIE,Business Segment X,1..n,X,,,,,Business Segment,"A reserved field that shall be used for business segments/structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with a unique reference level. For example, division, department, business unit, purchasing organization, project or legal entity.",Profile. X. Business Segment,BAS Profile,,,,String,%25s,gl-bus:organizationIdentifier
1088,Master Files,,Employee,0,ABIE,Employee,0..n,Details,,,,,,The personnel information of the employee in an independent accounting unit is contained in Table 8.,Employee. Details,BAS Employee,,,,,,
1089,Master Files,,Employee,1,IDBIE,Employee ID,1..1,Identification,Identifier,,,,,The unique identifier for an employee. Typically auto-generated by the system.,,BAS Employee,PK,,,String,%60s,gl-cor:identifierCode with gl-cor:identifierCategory = employee
1090,Master Files,,Employee,2,BBIE,Employee Code,1..1,Code,Code,,,,,"The code of the employee. Each employee has only one code. If someone does part-time jobs in multiple departments, there will be more than one record with different Employee_ID in this table. And the part-time status will be reflected in Employee_Type_Code.",Employee. Code. Code,BAS Employee,,,,String,%60s,
1091,Master Files,,Employee,3,BBIE,Employee Name,1..1,Name,Name,,,,,The name of the employee.,Employee. Name. Name,BAS Employee,,,,String,%100s,
1092,Master Files,,Employee,4,BBIE,Inactive flag,0..1,Inactive Flag,Indicator,,,,,Indicate whether one employee is active or inactive. One employee may become inactive due to some reasons such as sabbatical.,Employee. Inactive Flag. Indicator,BAS Employee,,,,Boolean,%1c,
1093,Master Files,,Employee,5,BBIE,Employee Type Code,1..1,Type Code,Code,,,,,"The code of the employee types. EXAMPLE Using 004 to represent an on-the-job employee, 005 to represent a retired employee, 006 to represent a deceased employee, and 007 to represent a part-time employee.",Employee. Type Code. Code,BAS Employee,,,,String,%60s,
1094,Master Files,,Employee,6,BBIE,Employee Type Name,1..1,Type Name,Name,,,,,"The name of the employee type. EXAMPLE Employed, retired, probation and part-time.",Employee. Type Name. Name,BAS Employee,,,,String,%60s,
1095,Master Files,,Employee,7,RFBIE,Department Code,1..n,Department,,,,,Business Segment,The code of department rosters. EXAMPLE The IT department is designated as code 0018. Shall match the Business_Segment_Code in the BAS_Business_Segment table.,Employee. Department. Business Segment,BAS Employee,REF,Business_Segment_Code,BAS_Business_Segment,String,%25s,gl-bus:organizationIdentifier
1096,Master Files,,Employee,8,BBIE,Employee Job Title,0..1,Job Title,Name,,,,,The title of the person in an accounting unit. EXAMPLE Accounting manager.,Employee. Job Title. Name,BAS Employee,,,,String,%60s,
1097,Master Files,,Employee,9,BBIE,Employee Academic Degree,0..1,Academic Degree,Text,,,,,"The highest academic degree acquired. EXAMPLE Doctor, Master.",Employee. Academic Degree. Text,BAS Employee,,,,String,%60s,
1098,Master Files,,Employee,10,BBIE,Employment Date,0..1,Employment Date,Date,,,,,The employment date of the employee.,Employee. Employment Date. Date,BAS Employee,,,,Date,%10c,
1099,Master Files,,Employee,11,BBIE,Termination Date,0..1,Termination Date,Date,,,,,"The termination date of the employee from which the labor contract was no longer valid, or the employee no longer works in this department.",Employee. Termination Date. Date,BAS Employee,,,,Date,%10c,
1100,Master Files,,Employee,12,RFBIE,User ID,0..1,Referenced,,,,,User,The system user ID associated with the employee. hall match the User_ID in the BAS_User table.,Employee. Associated. User,BAS Employee,REF,User_ID,BAS_User,String,%25s,
1101,Master Files,,User,0,ABIE,User,0..n,Details,,,,,,The user information of accounting and/or ERP system is contained in Table 10.,User. Details,BAS User,,,,,,
1102,Master Files,,User,1,IDBIE,User ID,1..1,Identification,Identifier,,,,,"The unique identifier for the individuals entering transactions into the accounting and/or ERP system. Typically auto-generated by the system. This field is used to join information in this table to other tables based on the fields such as Created_User_ID, Last_Modified_User_ID, Approved_User_ID and Posted_User_ID, respectively.",,BAS User,PK,,,String,%25s,gl-cor:identifierCode with gl-cor:identifierCategory = systemUser
1103,Master Files,,User,2,BBIE,User Active Status,0..1,Active Status,Code,,,,,"This indicates whether the status of the user is active or inactive. A user may become inactive due to retirement, dismissal or termination etc. EXAMPLE 1 is active and 0 is inactive.",User. Active Status. Code,BAS User,,,,Boolean,%1c,gl-cor:identifierActive
1104,Master Files,,User,3,BBIE,User Status Modified Date,0..1,Status Modified Date,Date,,,,,The modified date of the user's activation or termination status.,User. Status Modified Date. Date,BAS User,,,,Date,%10c,gl-cor:dateAcknowledged
1105,Master Files,,User,4,BBIE,User Name,1..1,User Name,Name,,,,,The name of the user.,User. User Name. Name,BAS User,,,,String,%100s,gl-cor:identifierContactFirstName and gl-cor:identifierContactLastName
1106,Master Files,,User,5,BBIE,User Job Title,0..1,User Job Title,Name,,,,,The title of the person in the system. EXAMPLE System manager.,User. User Job Title. Name,BAS User,,,,String,%100s,gl-cor:identifierContactPrefix
1107,Master Files,,User,6,RFBIE,Department Code,0..n,Department,,,,,Business Segment,The code of department rosters of the use. EXAMPLE The department name is IT department and the code is 0018. Shall match the Business_Segment_Code in the BAS_Business_Segment table.,User. Department. Business Segment,BAS User,REF,Business_Segment_Code,BAS_Business_Segment,String,%25s,gl-bus:organizationIdentifier
1108,Master Files,,User,7,BBIE,User Role Responsibility,0..1,User Role Responsibility,Text,,,,,Free form description of the individual's functional role or primary responsibility. EXAMPLE Responsibility related to managing the information of accounts payable in the system.,User. User Role Responsibility. Text,BAS User,,,,String,%100s,gl-cor:identifierContactPositionRole
1109,Master Files,,Customer,0,ABIE,Customer,0..n,Details,,,,,,The essential and generic information of the customers is contained in Table 14.,Customer. Details,BAS Customer,,,,,,
1110,Master Files,,Customer,1,IDBIE,Customer Account ID,1..1,Identification,Identifier,,,,,The unique identifier for the customer. Typically auto-generated by the system.,,BAS Customer,PK,,,String,%100s,gl-cor:identifierCode for internal # with gl-cor:identifierType = customer
1111,Master Files,,Customer,2,BBIE,Customer Account Number,1..1,Customer Account Number,Code,,,,,The number of the customer. This number is generated either by manual input or by the system.,Customer. Customer Account Number. Code,BAS Customer,,,,String,%100s,gl-cor:identifierDescription
1112,Master Files,,Customer,3,BBIE,Customer Account Name,1..1,Customer Account,Name,,,,,The name of the customer.,Customer. Customer Account. Name,BAS Customer,,,,String,%200s,gl-cor:identifierDescription
1113,Master Files,,Customer,4,BBIE,Customer Abbreviation,0..1,Abbreviation,Text,,,,,The abbreviation of the customer's name.,Customer. Abbreviation. Text,BAS Customer,,,,String,%100s,
1114,Master Files,,Customer,5,RFBIE,Parent Customer ID,0..1,Parent,,,,,Customer,The unique identifier for the parent customer. Shall match the Customer_Account_ID in the BAS_Customer table.,Customer. Parent. Customer,BAS Customer,REF,Customer_Account_ID,BAS_Customer,String,%100s,gl-cor:identifierCode with gl-cor:identifierType = customer
1115,Master Files,,Customer,6,RFBIE,Corresponding Supplier ID,0..1,Corresponding,,,,,Supplier,The unique identifier for the corresponding supplier in case that the customer is also a supplier. Shall match the Supplier_Account_ID in the BAS_Supplier table. Otherwise set NULL.,Customer. Corresponding. Supplier,BAS Customer,REF,Supplier_Account_ID,BAS_Supplier,String,%100s,gl-cor:identifierCode with gl-cor:identifierType = vendor
1116,Master Files,,Customer,7,RFBIE,Customer Type ID,0..1,Classified,,,,,Customer Type,The unique identifier for the customer type. Typically auto-generated by the system. Shall match the Customer_Type_ID in the BAS_Customer_Type table.,Customer. Classified. Customer Type,BAS Customer,REF,Customer_Type_ID,BAS_Customer_Type,String,%60s,
1117,Master Files,,Customer,8,BBIE,Customer TIN,1..1,Tax Identification Number,Code,,,,,The customer's tax identification number. This number is usually generated by tax regulator.,Customer. Tax Identification Number. Code,BAS Customer,,,,String,%100s,gl-cor:identifierAuthorityCode for tax #
1118,Master Files,,Customer,9,ASBIE,Customer Physical Address,1..1,Address,,,Physical Address,,,The customer's physical address.,Customer. Address. Physical_ Address,BAS Customer,,,,,,Use corresponding element of XBRL GL taxonomy.
1119,Master Files,,Customer,10,ASBIE,Customer Billing Address,1..1,Address,,,Billing Address,,,The customer's billing address.,Customer. Address. Billing_ Address,BAS Customer,,,,,,Use corresponding element of XBRL GL taxonomy.
1120,Master Files,,Customer,11,ASBIE,Primary Contact Name,0..1,Crresponding,,,Primary Contact,,,The name of the primary contact for the customer.,Customer. Crresponding. Primary Contact,BAS Customer,,,,,,Use corresponding element of XBRL GL taxonomy.
1121,Master Files,,Customer,12,BBIE,Inactive Date,0..1,Inactive,Date,,,,,"The date that the customer was declared inactive. For example a customer may become inactive due to exceeding credit limit, legal restrictions, contract termination or bankruptcy etc.",Customer. Inactive. Date,BAS Customer,,,,Date,%10c,gl-cor:confirmedDate
1122,Master Files,,Customer,13,BBIE,Transaction Credit Limit,0..1,Transaction Credit Limit,Amount,,,,,The per invoice credit limit established for the customer.,Customer. Transaction Credit Limit. Amount,BAS Customer,,,,Decimal,%22.4f,gl-muc:amountRestatedAmount
1123,Master Files,,Customer,14,BBIE,Total Credit Limit,0..1,Total Credit Limit,Amount,,,,,The credit limit for the customer's total outstanding balance.,Customer. Total Credit Limit. Amount,BAS Customer,,,,Decimal,%22.4f,gl-cor:amount
1124,Master Files,,Customer,15,BBIE,Terms Discount Percentage,0..1,Terms Discount,Percentage,,,,,"The discount percentage the customer can take if an invoice is paid before a certain number of days. In the flat file, terms are represented as integers to decimal place. EXAMPLE 10% would be represented as 0.10.",Customer. Terms Discount. Percentage,BAS Customer,,,,Decimal,%5.4f,gl-cor:terms
1125,Master Files,,Customer,16,BBIE,Terms Discount Days,0..1,Terms Discount Days,Numeric,,,,,The number of days from the invoice date the customer has to take advantage of discounted terms. Terms are represented as integers with no decimal places. EXAMPLE 10 days would be represented as 10.,Customer. Terms Discount Days. Numeric,BAS Customer,,,,Integer,%6d,See description for field
1126,Master Files,,Customer,17,BBIE,Terms Due Days,0..1,Terms Due Days,Numeric,,,,,The default number of days allowed to meet the obligation before an invoice becomes overdue.,Customer. Terms Due Days. Numeric,BAS Customer,,,,Integer,%6d,See description for field; explicit in gl-cor:maturityDate
1127,Master Files,,Customer,18,ASBIE,Activity Records,0..1,Recorded,,,Activity Records,,,The activity records on this data entry.,Customer. Recorded. Activity Records,BAS Customer,,,,,,Use corresponding element of XBRL GL taxonomy.
1128,Master Files,,Supplier,0,ABIE,Supplier,0..n,Details,,,,,,The essential and generic information of the suppliers is contained in Table 18.,Supplier. Details,BAS Supplier,,,,,,
1129,Master Files,,Supplier,1,IDBIE,Supplier Account ID,1..1,Identification,Identifier,,,,,The unique identifier for the supplier to whom payment is due or from whom unused credits have been applied. Typically auto-generated by the system.,,BAS Supplier,PK,,,String,%100s,gl-cor:identifierCode for internal # with gl-cor:identifierType = vendor
1130,Master Files,,Supplier,2,BBIE,Supplier Account Number,1..1,Account Number,Code,,,,,The number of the supplier to whom payment is due or from whom unused credits have been applied. The number is usually generated by manual input or generated by the system.,Supplier. Account Number. Code,BAS Supplier,,,,String,%100s,
1131,Master Files,,Supplier,3,BBIE,Supplier Account Name,1..1,Account Name,Name,,,,,The name of the supplier.,Supplier. Account Name. Name,BAS Supplier,,,,String,%200s,gl-cor:identifierDescription
1132,Master Files,,Supplier,4,BBIE,Supplier Abbreviation,0..1,Abbreviation,Text,,,,,The abbreviation of the supplier's name.,Supplier. Abbreviation. Text,BAS Supplier,,,,String,%100s,
1133,Master Files,,Supplier,5,RFBIE,Parent Supplier ID,0..1,Parent,,,,,Supplier,The unique identifier for the parent supplier. Typically auto-generated by the system. Shall match the Supplier_Account_ID in the BAS_Supplier table.,Supplier. Parent. Supplier,BAS Supplier,REF,Supplier_Account_ID,BAS_Supplier,String,%100s,gl-cor:identifierCode with gl-cor:identifierType = vendor
1134,Master Files,,Supplier,6,RFBIE,Corresponding Customer ID,0..1,Corresponding,,,,,Customer,The unique identifier for the corresponding customer in case that the supplier is also a customer. Typically auto-generated by the system. Shall match the Customer_Account_ID in the BAS_Customer table. Otherwise set NULL.,Supplier. Corresponding. Customer,BAS Supplier,REF,Customer_Account_ID,BAS_Customer,String,%100s,gl-cor:identifierCode with gl-cor:identifierType = customer
1135,Master Files,,Supplier,7,RFBIE,Supplier Type ID,0..1,classified,,,,,Supplier Type,The unique identifier for the supplier type. Typically auto-generated by the system. Shall match the Supplier_Type_ID in the BAS_Supplier_Type table.,Supplier. classified. Supplier Type,BAS Supplier,REF,Supplier_Type_ID,BAS_Supplier_Type,String,%60s,
1136,Master Files,,Supplier,8,BBIE,Supplier TIN,1..1,Tax Identification Number,Code,,,,,The supplier's tax identification number. The number is usually generated by the tax regulator.,Supplier. Tax Identification Number. Code,BAS Supplier,,,,String,%100s,gl-cor:identifierAuthorityCode for tax #
1137,Master Files,,Supplier,9,ASBIE,Supplier Physical Address,1..1,Address,,,Physical Address,,,The supplier's physical address.,Supplier. Address. Physical_ Address,BAS Supplier,,,,,,Use corresponding element of XBRL GL taxonomy.
1138,Master Files,,Supplier,10,ASBIE,Supplier Billing Address,1..1,Address,,,Billing Address,,,The supplier's billing address.,Supplier. Address. Billing_ Address,BAS Supplier,,,,,,Use corresponding element of XBRL GL taxonomy.
1139,Master Files,,Supplier,11,ASBIE,Primary Contact Name,0..1,Corresponding,,,Primary Contact,,,The name of the primary contact for the supplier.,Supplier. Corresponding. Primary Contact,BAS Supplier,,,,,,Use corresponding element of XBRL GL taxonomy.
