Module	#	Kind	Table	Field #	Field Name	Level	Data Type	Length	XBRL GL Taxonomy Element	Referenced Table	Dictionary Entry Name	Description	Object Class Term Qualifier	Object Class Term	Property Term Qualifier	Property Term	Datatype Qualifier	Representation term	Associated Object Class Term Qualifier	Associated Object Class
Core	76	BBIE		2	Street Address2	1	TEXT	100	gl-bus:identifierAddressStreet2*		ADS_ Address. Street Address2	The street address line 2.	ADS	Address		Street Address2		Text		
Core	76	BBIE		3	City	1	TEXT	100	gl-bus:identifierCity*		ADS_ Address. City	The city where located.	ADS	Address		City		Text		
Core	76	BBIE		4	State Province	1	TEXT	6	gl-bus:identifierStateOrProvince*		ADS_ Address. State Province	The state or province where located. Recommend ISO 3166-2.	ADS	Address		State Province		Text		
Core	76	BBIE		5	ZipPostalCode	1	TEXT	20	gl-bus:identifierZipOrPostalCode*		ADS_ Address. Zip Postal Code	The zip code of the city where located.	ADS	Address		Zip Postal Code		Code		
Core	76	BBIE		6	Country	1	TEXT	3	gl-bus:identifierCountry*		ADS_ Address. Country. Code	The country code where located. Recommend ISO 3166-1 Alpha 2 or ISO 3166-1 Alpha 3 format (XX or XXX).	ADS	Address		Country		Code		
Core	77	ABIE		0							ADS_ Contact. Details		ADS	Contact						
Core	77	BBIE		1	Name	2	TEXT	100	gl-cor:identifierContactAttentionLine		ADS_ Contact. Name		ADS	Contact		Name		Text		
Core	77	BBIE		2	Phone	2	NUMERIC		gl-cor:identifierContactPhoneNumber		ADS_ Contact. Phone. Code		ADS	Contact		Phone		Code		
Core	77	BBIE		3	Email	2	TEXT	100	gl-cor:identifierContactEmailAddress		ADS_ Contact. Email. Code		ADS	Contact		Email		Code		
Core	78	ABIE									ADS_ Charged TaxN. Details		ADS	Charged TaxN						
Core	78	ASBIE			Charged Tax1						ADS_ Charged TaxN. Tax1. ADS_ Charged Tax		ADS	Charged TaxN		Tax1			ADS	Charged Tax
Core	78	ASBIE			Charged Tax2						ADS_ Charged TaxN. Tax2. ADS_ Charged Tax		ADS	Charged TaxN		Tax2			ADS	Charged Tax
Core	78	ASBIE			Charged Tax3						ADS_ Charged TaxN. Tax3. ADS_ Charged Tax		ADS	Charged TaxN		Tax3			ADS	Charged Tax
Core	79	ABIE		0							ADS_ Charged Tax. Details		ADS	Charged Tax						
Core	79	RBIE		1	Tax1 Type	1	TEXT	25	gl-cor:taxCode (Note that XBRL GL permits an unlimited number of tax codes and amounts with the gl-cor:taxes structure.)	Tax_Table	ADS_ Charged Tax. Tax Type. ADS_ Tax	"Code for Tax1 type (for example, Sales, VAT). This field should agree with the Regulator Code field in the Tax Table YYYYMMDD"	ADS	Charged Tax		Tax Type			ADS	Tax
Core	79	BBIE		4	Tax1 Type Description	1	TEXT	100	gl-cor:taxDescription (Note that XBRL GL formalizes the tax authority with gl-cor:taxAuthority and provides other standard fields as well.)		ADS_ Charged Tax. Tax Description	"Description of Tax1 type (for example, authority tax is paid to and other information to identify tax)."	ADS	Charged Tax		Tax Description		Text		
Core	79	BBIE		7	Tax1 Local	2	NUMERIC		gl-cor:taxAmount		ADS_ Charged Tax. Tax Local Amount	The amount of Tax1 Type included in the transaction. Recorded in local currency.	ADS	Charged Tax		Tax Local Amount		Amount		
Core	79	RBIE		10	GL Tax1 Debit Account Number	1	TEXT	100	"XBRL GL does not have fields explicitly associating GL accounts to tax, although it does permit specification of accounts as tax accounts (gl-cor:accountPurposeCode); it associates tax detail in the gl-cor:taxes structure with specific accounts by including them within the same gl-cor:entryDetail if the gl-cor:amount is the same, or within the same gl-cor:entryHeader if amounts differ. As with the previous GL lines, the account numbers would be mapped to gl-cor:accountMainID."	Chart_Of_Accounts	ADS_ Charged Tax. Tax Debit GL Account Number. ADS_ Chart Of Accounts	GL account number on which the debit side of the Tax1 transaction has been posted.	ADS	Charged Tax		Tax Debit GL Account Number			ADS	Chart Of Accounts
Core	79	RBIE		11	GL Tax1 Credit Account Number	1	TEXT	100	Same as above	Chart_Of_Accounts	ADS_ Charged Tax. Tax Credit GL Account Number. ADS_ Chart Of Accounts	GL account number on which the credit side of the Tax1 transaction has been posted.	ADS	Charged Tax		Tax Credit GL Account Number			ADS	Chart Of Accounts
Core	88	ABIE		0					gl-muc:multicurrencyDetail		ADS_ Multi Currency Amount. Details		ADS	Multi Currency Amount						
Core	88	BBIE		1	Amount	1	NUMERIC		gl-cor:amount		ADS_ Multi Currency Amount. Amount	Transaction monetary amount recorded in the functional or group currency. No multicurrency translation should need to be performed on this amount because all transactions should be recorded in a single currency.	ADS	Multi Currency Amount		Amount		Amount		
Core	88	BBIE		2	Amount Currency	1	TEXT	3	gl-muc:amountCurrency		ADS_ Multi Currency Amount. Currency. Code	The functional or group currency related to the amount. See ISO 4217 coding.	ADS	Multi Currency Amount		Currency		Code		
Core	88	BBIE		3	Amount Reporting	1	NUMERIC		gl-muc:amountTriangulationAmount		ADS_ Multi Currency Amount. Reporting Amount	Transaction monetary amount recorded in the reporting currency.	ADS	Multi Currency Amount		Reporting Amount		Amount		
Core	88	BBIE		4	Reporting Currency	1	TEXT	3	gl-muc:amountTriangulationCurrency		ADS_ Multi Currency Amount. Reporting Currency. Code	The reporting currency related to the reporting amount for nonconsolidated reporting. See ISO 4217 coding.	ADS	Multi Currency Amount		Reporting Currency		Code		
Core	88	BBIE		5	Amount Local	1	NUMERIC		gl-muc:amountOriginalAmount		ADS_ Multi Currency Amount. Local Amount	Transaction monetary amount in local currency.	ADS	Multi Currency Amount		Local Amount		Amount		
Core	88	BBIE		6	Local Currency	1	TEXT	3	gl-muc:amountOriginalCurrency		ADS_ Multi Currency Amount. Local Currency. Code	The currency for local reporting requirements. See ISO 4217 coding.	ADS	Multi Currency Amount		Local Currency		Code		
Core	90	ABIE		0							ADS_ Local Currency Amount. Details		ADS	Local Currency Amount						
Core	90	BBIE		1	Amount	1	NUMERIC		gl-muc:amountOriginalAmount		ADS_ Local Currency Amount. Local Amount	Transaction monetary amount recorded in the functional or group currency. No multicurrency translation should need to be performed on this amount because all transactions should be recorded in a single currency.	ADS	Local Currency Amount		Local Amount		Amount		
Core	90	BBIE		2	Amount Currency	1	TEXT	3	gl-muc:amountOriginalCurrency		ADS_ Local Currency Amount. Local Currency. Code	The functional or group currency related to the invoice amount. See ISO 4217 coding.	ADS	Local Currency Amount		Local Currency		Code		
Core	91	ABIE		0							ADS_ Product. Details		ADS	Product						
Core	91	RBIE		1	Product ID	1	TEXT	25	gl-bus:measurableIDOther		ADS_ Product. . ADS _ Inventory Product	"Unique identifier for each sales product. This ID may need to be created by concatenating fields (for example, business unit, product number, year, and so on) to uniquely identify each product."	ADS	Product					ADS 	Inventory Product
Core	91	BBIE		2	Product Code	1	TEXT	25	gl-bus:measurableID		ADS_ Product. Code	The local product item number code appearing on the trade document.	ADS	Product		Code		Code		
Core	91	BBIE		3	Product Description	1	TEXT	100	gl-bus:measurableDescription		ADS_ Product. Description	Product description (plain English) to indicate the name or other identifying characteristics of the product.	ADS	Product		Description		Text		
Core	91	BBIE		4	Product Group 01	2	TEXT	25	gl-bus:measurableCodeDescription		ADS_ Product. Group 01. Code	"Product descriptor #1, for example, tires or accessories."	ADS	Product		Group 01		Code		
Core	91	BBIE		5	Product Group 02	2	TEXT	25	gl-bus:measurableCategory		ADS_ Product. Group 02. Code	"Product descriptor #2, for example, brand."	ADS	Product		Group 02		Code		
Base	1	ABIE	Business Unit Listing	0					"The preceding design assumes a single hierarchy in which Business_Unit_Hierarchy_(n+1) is a further breakdown of Business_Unit_Hierarchy_(n). XBRL GL can track an unlimited number of breakdowns and hierarchies, with proportionate allocation of subunits to units.<br>gl-cor:entriesType value = 'other' [entriesType] is a mandatory field; [other] is an enumerated value.<br>gl-cor:entriesComment value = 'ads:Business_Unit_Listing' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation."		ADS_ Business Unit. Details	The business unit listing includes a description of business units and the definition of any business unit hierarchy.	ADS	Business Unit						
Base	1	BBIE	Business Unit Listing	1	Business Unit Code	1	TEXT	25	"XBRL GL tracks hierarchy ID, hierarchy description, and hierarchy type, so it can track code 'NA,' description 'N. America,' and type 'global area' using gl-cor:accountSubID, gl-cor:accountSubDescription, and gl-cor:accountSubType, respectively. Interrelations and hierarchies are captured by gl-cor:parentSubAccountType (What is the hierarchy type this unit rolls up to?)."		ADS_ Business Unit. ID	"Used to identify the business unit, region, branch, and so on at the level that financial statements are being audited and for which the trial balance is generated. For example, you may use a code aligned with the concept of a reportable segment as defined in FASB Accounting Standards Codification (ASC) 280, Segment Reporting."	ADS	Business Unit		Identification		Identifier		
Base	1	BBIE	Business Unit Listing	2	Business Unit Description	1	TEXT	100	See above; an unlimited number of units and structures are permitted.		ADS_ Business Unit. Description	Business unit (plain English) description to indicate the name or other identifying characteristics of the business unit.	ADS	Business Unit		Description		Text		
Base	1	BBIE	Business Unit Listing	3	Business Unit Hierarchy1	2	TEXT	100	"Rather than duplicate fixed relationships between higher-level hierarchies, they are captured once per Business_Unit."		ADS_ Business Unit. Hierarchy1. Name	"If a hierarchy exists in the business unit structure, use the field to capture the highest level of the hierarchy (for example, global area with values such as North America, South America, Europe, the Middle East, Africa, the Far East, and so on)."	ADS	Business Unit		Hierarchy1		Name		
Base	1	BBIE	Business Unit Listing	4	Business Unit Hierarchy2	2	TEXT	100	See above; an unlimited number of units and structures are permitted.		ADS_ Business Unit. Hierarchy2. Name	"If a hierarchy exists in the business unit structure, use the field to capture the next lower level of the hierarchy (for example, regions with values such as East Coast, West Coast, Central-Western Europe, and so on)."	ADS	Business Unit		Hierarchy2		Name		
Base	1	BBIE	Business Unit Listing	5	Business Unit Hierarchy3	2	TEXT	100	See above; an unlimited number of units and structures are permitted.		ADS_ Business Unit. Hierarchy3. Name	"If a hierarchy exists in the business unit structure, use the field to capture the next lower level of the hierarchy (for example, cities with values such as Los Angeles, Boston, Frankfurt, and so on)."	ADS	Business Unit		Hierarchy3		Name		
Base	1	BBIE	Business Unit Listing	6	Business Unit Hierarchy4	2	TEXT	100	See above; an unlimited number of units and structures are permitted.		ADS_ Business Unit. Hierarchy4. Name	"If a hierarchy exists in the business unit structure, use the field to capture the next lower level of the hierarchy."	ADS	Business Unit		Hierarchy4		Name		
Base	1	BBIE	Business Unit Listing	7	Business Unit Hierarchy5	2	TEXT	100	See above; an unlimited number of units and structures are permitted.		ADS_ Business Unit. Hierarchy5. Name	"If a hierarchy exists in the business unit structure, use the field to capture the next lower level of the hierarchy."	ADS	Business Unit		Hierarchy5		Name		
Base	2	ABIE	Segment Listing	0					"gl-cor:entriesType value = 'other' [entriesType] is a mandatory field; [other] is an enumerated value.<br>gl-cor:entriesComment value = 'ads:Segment0X_Listing' if provided as individual files, or 'ads:Segment_Listing' if combined as one [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation."		ADS_ Segment. Details	"It is often useful to analyze financial data by different dimensions (for example - profit center, division, branch, product, geographic region). This standard includes up to 5 such dimensions, referred to as segments. The (up to) 5-segment listing tables map the values of each of the 5 segments to a text description of that value. The purpose of (optional) segments 1 - 5 is captured in the Base Standards questionnaire, question 10.<br>XBRL GL provides more explicit context for the segments, and therefore does not require an implicit representation and an order to be associated with each segment grouping. Should it be deemed important to maintain the presentation order of the segments, the following fields can be used. All of the value and description pairs can be included in a single XBRL GL instance."	ADS	Segment						
Base	2	BBIE	Segment Listing	1	Segment0X Value	2	TEXT	25	gl-cor:accountSubID; the explicit definition of the broad purpose for the segment or the numeric value (1.5) can be put in gl-cor:accountSubType		ADS_ Segment. Value. Name	Value of Segment0X (X may equal 1 to 5).	ADS	Segment		Value		Name		
Base	2	BBIE	Segment Listing	2	Segment0X Description	2	TEXT	100	gl-cor:accountSubDescription		ADS_ Segment. Description	Segment description to indicate the name or other identifying characteristics of Segment0X Value (X may equal 1 to 5).	ADS	Segment		Description		Text		
Base	4	ABIE	User Listing	0							ADS_ User. Details	"This table holds an identifier and information about each user within the system. Each user should have a full name, title, and role (if available) within the system."	ADS	User						
Base	4	BBIE	User Listing	1	User ID	1	TEXT	25	gl-cor:identifierCode with gl-cor:identifierCategory = 'systemUser'		ADS_ User. ID	"A unique identifier of individuals entering transactions into the ERP system. This field is used to join information in this table to other tables based on the fields Entered By, Last Modified By, and Approved By."	ADS	User		Identification		Identifier		
Base	4	BBIE	User Listing	2	User Active Status	2	TEXT	10	gl-cor:identifierActive		ADS_ User. Active Status. Indicator	"The status of users (for identification of transactions by inactive users). The value of this field should be either 'Active' or 'Inactive' for flat file data; for XBRL GL, this is a Boolean, in which active is 'true' and inactive is 'false.'"	ADS	User		Active Status		Indicator		
Base	4	BBIE	User Listing	3	User Active Modified Date	2	DATE		gl-cor:dateAcknowledged		ADS_ User. Active Modified Date	The date of user activation or termination.	ADS	User		Active Modified Date		Date		
Base	4	BBIE	User Listing	4	First Name	1	TEXT	100	gl-cor:identifierContactFirstName		ADS_ User. First Name	The first (given) name of the person.	ADS	User		First Name		Name		
Base	4	BBIE	User Listing	5	Last Name	1	TEXT	100	gl-cor:identifierContactLastName		ADS_ User. Last Name	The last (family) name of the person.	ADS	User		Last Name		Name		
Base	4	BBIE	User Listing	6	Title	2	TEXT	100	gl-cor:identifierContactPrefix		ADS_ User. Title. Name	"The title of the person (for example, accounting manager)."	ADS	User		Title		Name		
Base	4	BBIE	User Listing	7	Department	2	TEXT	100	gl-cor:identifierContactAttentionLine		ADS_ User. Department. Name	"The department the person is part of (for example, accounting)."	ADS	User		Department		Name		
Base	4	BBIE	User Listing	8	Role Responsibility	2	TEXT	100	gl-cor:identifierContactPositionRole		ADS_ User. Role Responsibility. Name	"The person's functional role or primary responsibility (for example, accounts payable)."	ADS	User		Role Responsibility		Name		
Base	19	ABIE	Tax Table	0							ADS_ Tax. Details	Master table of organizations for whom tax is collected or accrued.	ADS	Tax						
Base	19	BBIE	Tax Table	1	Regulator Code	1	TEXT	25	gl-cor:taxCode		ADS_ Tax. ID	A code used to refer to this regulator or jurisdiction; used as key or cross-reference in files.	ADS	Tax		Identification		Identifier		
Base	19	BBIE	Tax Table	2	Regulator Country	1	TEXT	3	gl-bus:identifierCountry		ADS_ Tax. Country. Code	Recommend ISO 3166-1 Alpha 2 or Alpha 3 format	ADS	Tax		Country		Code		
Base	19	BBIE	Tax Table	3	Regulator Region	1?	TEXT	25	gl-bus:identifierStateOrProvince		ADS_ Tax. Region. Name	"Sub-region within country; in the U.S., this would be state; in Canada it would be province."	ADS	Tax		Region		Name		
Base	19	BBIE	Tax Table	4	Regulator Name	1	TEXT	100	gl-cor:taxAuthority AND gl-cor:gl-cor:identifierAuthority		ADS_ Tax. Name	Name of regulator for whom tax is withheld or accrued	ADS	Tax		Name		Name		
Base	19	BBIE	Tax Table	5	Regulator Role	1	TEXT	20	gl-bus:dmJurisdiction		ADS_ Tax. Role. Name	"From: Federal, Regional, Local"	ADS	Tax		Role		Name		
Base	19	RBIE	Tax Table	6	Regulator Default Payable GL Account Number	1	TEXT	100	gl-cor:accountMainID with gl-cor:accountTypeDescription = 'payable'		ADS_ Tax. Default Payable GL Account Number. ADS_ Chart Of Accounts	GL account used to reflect amounts payable to regulator; ties to Chart Of Accounts GL Account Name	ADS	Tax		Default Payable GL Account Number			ADS	Chart Of Accounts
Base	19	RBIE	Tax Table	7	Regulator Default Accrual GL Account Number	1	TEXT	100	gl-cor:accountMainID with gl-cor:accountTypeDescription = 'accrual'		ADS_ Tax. Default Accrual GL Account Number. ADS_ Chart Of Accounts	GL account used to reflect accruals due to regulator	ADS	Tax		Default Accrual GL Account Number			ADS	Chart Of Accounts
Base	19	RBIE	Tax Table	8	Regulator Default Expense GL Account Number	1	TEXT	100	gl-cor:accountMainID with gl-cor:accountTypeDescription = 'expense'		ADS_ Tax. Default Expense GL Account Number. ADS_ Chart Of Accounts	GL account used to reflect expense related to regulator	ADS	Tax		Default Expense GL Account Number			ADS	Chart Of Accounts
Base	19	BBIE	Tax Table	9	Regulator Identifier	1	TEXT	25	gl-cor:identifierAuthorityCode		ADS_ Tax. Identifier. Code	Tax or other code assigned by Regulator for reporting organization to Regulator	ADS	Tax		Identifier		Code		
Base	19	RBIE	Tax Table	10	Regulator Reporting Organization	1	TEXT	100	gl-bus:organizationIdentifier		ADS_ Tax. Auditing. ADS_ Business Unit	Cross-reference to Organization Location File YYYYMMDD	ADS	Tax		Auditing			ADS	Business Unit
Base	19	BBIE	Tax Table	11	Regulator Active Flag	1	BOOLEAN	1	gl-cor:identifierActive		ADS_ Tax. Active. Indicator	True (Active) or False (Inactive)	ADS	Tax		Active		Indicator		
GL	9	ABIE	Chart Of Accounts	0					"gl-cor:entriesType value = 'account' Explicitly defines this as a listing of accounts, as per XBRL GL's enumerations.<br>gl-cor: entriesComment value = 'ads:Chart_Of_Accounts' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation."		ADS_ Chart Of Accounts. Details	"The chart of accounts table is used to store the information about all the GL accounts - including name, description, and mapping to the financial statement captions. If different charts of accounts are needed for different business units, business unit fields should be utilized to distinguish between the local and consolidating sets of accounts."	ADS	Chart Of Accounts						
GL	9	BBIE	Chart Of Accounts	1	GL Account Number	1	TEXT	100	gl-cor:accountMainID		ADS_ Chart Of Accounts. ID	Identifier for the GL financial account. The GL Account Number in this file must match the GL Account Number used in the GL Detail and Trial Balance files.	ADS	Chart Of Accounts		Identification		Identifier		
GL	9	BBIE	Chart Of Accounts	2	GL Account Name	1	TEXT	100	gl-cor:accountMainDescription		ADS_ Chart Of Accounts. Name	Name for the GL account.	ADS	Chart Of Accounts		Name		Name		
GL	9	BBIE	Chart Of Accounts	3	Account Type	1	TEXT	25	gl-cor:mainAccountType		ADS_ Chart Of Accounts. Type. Code	"Grouping for high-level category on the financial statements. Values should be assets, liabilities, equity, revenue, expenses, and so on."	ADS	Chart Of Accounts		Type		Code		
GL	9	BBIE	Chart Of Accounts	4	Account Subtype	1	TEXT	25	gl-cor:mainAccountTypeDescription		ADS_ Chart Of Accounts. Sub Type. Code	"Grouping for lower-level categories on the financial statements. Examples include reserve account, suspense account, intercompany account, and so on."	ADS	Chart Of Accounts		Sub Type		Code		
GL	9	BBIE	Chart Of Accounts	5	FS Caption	1	TEXT	100	gl-cor:summaryReportingElement		ADS_ Chart Of Accounts. Financial Statement Caption	"Financial statement caption. Grouping for the caption the GL account rolls up to on the financial statements (for example, cash and cash equivalents, accounts payable, cost of sales, and so on). Sometimes may prefer to be at the trial balance level."	ADS	Chart Of Accounts		Financial Statement Caption		Text		
GL	9	ASBIE	Open Accounts Payable	5	Multi Currency Amount				gl-muc:multicurrencyDetail		ADS_ Invoice Received Line. Balance_ Monetary Amount. ADS_ Multi Currency Amount		ADS	Invoice Received Line	Balance	Monetary Amount			ADS	Multi Currency Amount
GL	9	BBIE	Chart Of Accounts	6	GL Account Description	2	TEXT	256	gl-cor:accountTypeDescription		ADS_ Chart Of Accounts. Description	Label or description associated with GL Account Number.	ADS	Chart Of Accounts		Description		Text		
GL	9	RBIE	Chart Of Accounts	7	Business Unit Code	1	TEXT	25	gl-cor:accountSubID with gl-cor:accountSubType of 'Business_Unit'	Business_Unit_Listing	ADS_ Chart Of Accounts. Auditing. ADS_ Business Unit	"Used to identify the business unit, region, branch, and so on at the level that financial statements are being audited and for which the trial balance is generated. For example, you may use a description aligned with the concept of a reportable segment as defined in FASB ASC 280."	ADS	Chart Of Accounts		Auditing			ADS	Business Unit
GL	9	RBIE	Chart Of Accounts	8	Parent GL Account Number	2	TEXT	100	gl-cor:parentAccountMainID	Chart_Of_Accounts	ADS_ Chart Of Accounts. Parent GL Account Number. ADS_ Chart Of Accounts	A reference to the GL Account Number that is the parent in an account hierarchy. Provided to allow more than the predefined levels of hierarchy in the chart of accounts table.	ADS	Chart Of Accounts		Parent GL Account Number			ADS	Chart Of Accounts
GL	9	ASBIE	Chart Of Accounts	9	SegmentX						ADS_ Chart Of Accounts. Classified. ADS_ SegmentX		ADS	Chart Of Accounts		Classified			ADS	SegmentX
GL	9	ASBIE	Invoices Received Lines	9	Multi Currency Amount				gl-muc:multicurrencyDetail		ADS_ Invoice Received Line. Monetary Amount. ADS_ Multi Currency Amount		ADS	Invoice Received Line		Monetary Amount			ADS	Multi Currency Amount
GL	24	ABIE	Trial Balance	0					"Trial balances are rarely beginning and ending of period alone. They are more often beginning, period change (often period debits and separate period credits), and ending.<br>gl-cor:entriesType value = 'trialbalance' Explicitly defines this as a trial balance, as per XBRL GL's standard enumerations.<br>gl-cor: entriesComment value = 'ads:Trial_Balance_YYYYMMDD' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation."		ADS_ Trial Balance. Details	The Trial Balance table stores all the ledger account balance information. The Trial Balance file should contain the ending balances at a point in time. The Trial Balance should be created at the same time as the GL Detail to prevent differences in transactions and balances.	ADS	Trial Balance						
GL	24	RBIE	Trial Balance	1	GL Account Number	1	TEXT	100	gl-cor:accountMainID	Chart_Of_Accounts	ADS_ Trial Balance. GL Account Number. ADS_ Chart Of Accounts	Identifier for the GL financial account. The GL Account Number in this file must match the GL Account Number used in the GL Detail and Chart Of Accounts files.	ADS	Trial Balance		GL Account Number			ADS	Chart Of Accounts
GL	24	RBIE	Trial Balance	2	Business Unit Code	1	TEXT	25	gl-cor:accountSubID with gl-cor:accountSubType of 'Business_Unit'	Business_Unit_Listing	ADS_ Trial Balance. Auditing. ADS_ Business Unit	"Used to identify the business unit, region, branch, and so on at the level that financial statements are being audited and for which the trial balance is generated. For example, you may use a description aligned with the concept of a reportable segment as defined in FASB ASC 280."	ADS	Trial Balance		Auditing			ADS	Business Unit
GL	24	BBIE	Trial Balance	3	Balance AsOf Date	1	DATE		A common end-of date is noted by gl-cor:periodCoveredEnd; mixed period end dates could be noted by gl-cor:postingDate		ADS_ Trial Balance. AsOf Date	"Date of the provided balance, not when the Trial Balance file was created (for example, 20141231 if year-end balance, even if the report was run on 20150122)."	ADS	Trial Balance		AsOf Date		Date		
GL	24	BBIE	Trial Balance	4	Fiscal Year	1	TEXT	4	gl-bus:fiscalYearEnd - ccyy-mm-dd		ADS_ Trial Balance. Fiscal year. Code	"Fiscal year in which the Balance AsOf Date occurs - YYYY for delimited, CCYY-MM-DD fiscal year end (ISO 8601) for extensible business reporting language global ledger taxonomy framework (XBRL GL)."	ADS	Trial Balance		Fiscal year		Code		
GL	24	BBIE	Trial Balance	5	Period	1	TEXT	10	gl-bus:postingCode		ADS_ Trial Balance. Period. Code	"Fiscal period in which the Balance AsOf Date occurs. Examples include W1 - W53 for weekly periods, M1 - M12 for monthly periods, and Q1 - Q4 for quarterly periods."	ADS	Trial Balance		Period		Code		
GL	24	ASBIE	Trial Balance	6	Multi Currency Amount				"XBRL GL does not have separate beginning and ending amounts on a line. This would use a second line, with optional gl-cor:xbrlInclude = 'beginning_balance' and gl-cor:periodCoveredStart"		ADS_ Trial Balance. Beginning_ Balance. ADS_ Multi Currency Amount	"Period beginning balance amount (that is, the ending balance from the prior period) recorded in the functional or group currency. No multicurrency translation should need to be performed on this amount because all are recorded in a single currency."	ADS	Trial Balance	Beginning	Balance			ADS	Multi Currency Amount
