,kind,level,name,Card,,ObjectClassTerm,,PropertyTerm,,RepresentationTerm,,AssociatedObject Class,@type,refpath,@desc
48,ASBIE,4,choice_ClosingDebitBalance/ClosingCreditBalance,1..1,,CompanyStructure,,Associated,,,,choice_ClosingDebitBalance/ClosingCreditBalance,,,
49,BBIE,5,ClosingDebitBalance,1..1,,CompanyStructure,,ClosingDebitBalance,,Monetary,,,SAFmonetaryType,,Debit balance at the end date of the selection period in the header's default currency.
50,BBIE,5,ClosingCreditBalance,1..1,,CompanyStructure,,ClosingCreditBalance,,Monetary,,,SAFmonetaryType,,Credit balance at the end date of the selection period in the header's default currency.
51,ASBIE,2,Suppliers,0..1,,MasterFiles,,Associated,,,,Suppliers,,,
52,ABIE,2,Suppliers,0..1,,Suppliers,,Details,,,,,,,
53,ASBIE,3,Supplier,0..*,,Suppliers,,Associated,,,,CompanyStructure,,,
54,ABIE,3,Supplier,0..*,,CompanyStructure,,Details,,,,,,,
55,ASBIE,4,CompanyStructure,1..1,,CompanyStructure,,Associated,,,,CompanyStructure,,,
56,IDBIE,4,SupplierID,0..1,,CompanyStructure,,SupplierID,,Text,,,SAFmiddle1textType,,Unique code for the supplier
57,BBIE,4,SelfBillingIndicator,0..1,,CompanyStructure,,SelfBillingIndicator,,Code,,,SAFcodeType,,Indicator showing if a self-billing agreement exists between the customer and the supplier
58,RFBIE,4,AccountID,0..1,,CompanyStructure,,AccountID,,Text,,,SAFmiddle2textType,AuditFile/MasterFiles/GeneralLedgerAccounts/Account/AccountID,"General Ledger Account code for this supplier. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department."
59,ASBIE,4,choice_OpeningDebitBalance/OpeningCreditBalance,1..1,,CompanyStructure,,Associated,,,,choice_OpeningDebitBalance/OpeningCreditBalance,,,
60,BBIE,5,OpeningDebitBalance,1..1,,CompanyStructure,,OpeningDebitBalance,,Monetary,,,SAFmonetaryType,,Debit balance at the start date of the selection period in the header's default currency.
61,BBIE,5,OpeningCreditBalance,1..1,,CompanyStructure,,OpeningCreditBalance,,Monetary,,,SAFmonetaryType,,Credit balance at the start date of the selection period in the header's default currency.
62,ASBIE,4,choice_ClosingDebitBalance/ClosingCreditBalance,1..1,,CompanyStructure,,Associated,,,,choice_ClosingDebitBalance/ClosingCreditBalance,,,
63,BBIE,5,ClosingDebitBalance,1..1,,CompanyStructure,,ClosingDebitBalance,,Monetary,,,SAFmonetaryType,,Debit balance at the end date of the selection period in the header's default currency.
64,BBIE,5,ClosingCreditBalance,1..1,,CompanyStructure,,ClosingCreditBalance,,Monetary,,,SAFmonetaryType,,Credit balance at the end date of the selection period in the header's default currency.
65,ASBIE,2,TaxTable,0..1,,MasterFiles,,Associated,,,,TaxTable,,,
66,ABIE,2,TaxTable,0..1,,TaxTable,,Details,,,,,,,
67,ASBIE,3,TaxTableEntry,1..*,,TaxTable,,Associated,,,,TaxTableEntry,,,
68,ABIE,3,TaxTableEntry,1..*,,TaxTableEntry,,Details,,,,,,,
69,IDBIE,4,TaxType,1..1,,TaxTableEntry,,TaxType,,Code,,,SAFcodeType,,Tax type for look-up in tables
70,BBIE,4,Description,1..1,,TaxTableEntry,,Description,,Text,,,SAFlongtextType,,Description of the Tax Type
71,ASBIE,4,TaxCodeDetails,1..*,,TaxTableEntry,,Associated,,,,TaxCodeDetails,,,
72,ABIE,4,TaxCodeDetails,1..*,,TaxCodeDetails,,Details,,,,,,,
73,BBIE,5,TaxCode,1..1,,TaxCodeDetails,,TaxCode,,Code,,,SAFcodeType,,Tax Code for lookup in tables
74,BBIE,5,EffectiveDate,0..1,,TaxCodeDetails,,EffectiveDate,,Date,,,date,,Representing the starting date for this entry
75,BBIE,5,ExpirationDate,0..1,,TaxCodeDetails,,ExpirationDate,,Date,,,date,,Representing the ending date for this entry
76,BBIE,5,Description,0..1,,TaxCodeDetails,,Description,,Text,,,SAFlongtextType,,Description of the Tax Code
77,ASBIE,5,choice_TaxPercentage/FlatTaxRate,1..1,,TaxCodeDetails,,Associated,,,,choice_TaxPercentage/FlatTaxRate,,,
78,ABIE,5,choice TaxPercentage/FlatTaxRate,1..1,,choice_TaxPercentage/FlatTaxRate,,Details,,,,,,,
79,BBIE,6,TaxPercentage,1..1,,choice_TaxPercentage/FlatTaxRate,,TaxPercentage,,Percentage,,,decimal,,Tax percentage.
80,ASBIE,6,FlatTaxRate,1..1,,choice_TaxPercentage/FlatTaxRate,,Associated,,,,FlatTaxRate,AmountStructure,,FlatTaxRate
81,BBIE,5,Country,0..1,,TaxTableEntry,,Country,,Code,,,SAFcodeType,,Country specific code to indicate regions / provinces within the tax authority. Preferably described according to ISO 3166-2. Example: GB-KEN for Kent county in the United Kingdom.
82,ASBIE,2,UOMTable,0..1,,MasterFiles,,Associated,,,,UOMTable,,,Table with descriptions of all different kinds of UOM's
83,ABIE,2,UOMTable,0..1,,UOMTable,,Details,,,,,,,Table with descriptions of all different kinds of UOM's
84,ASBIE,3,UOMTableEntry,1..*,,UOMTable,,Associated,,,,UOMTableEntry,,,
85,ABIE,3,UOMTableEntry,1..*,,UOMTableEntry,,Details,,,,,,,
86,IDBIE,4,UnitOfMeasure,1..1,,UOMTableEntry,,UnitOfMeasure,,Code,,,SAFcodeType,,Quantity unit of measure e.g. pack of 12
87,BBIE,4,Description,1..1,,UOMTableEntry,,Description,,Text,,,SAFlongtextType,,Description of the UOM
88,ASBIE,2,AnalysisTypeTable,0..1,,MasterFiles,,Associated,,,,AnalysisTypeTable,,,"Table with the analysiscode identifiers.\nsed for further specification of transaction data.\nxample: cost unit, cost center, project."
89,ABIE,2,AnalysisTypeTable,0..1,,AnalysisTypeTable,,Details,,,,,,,"Table with the analysiscode identifiers.\nsed for further specification of transaction data.\nxample: cost unit, cost center, project."
90,ASBIE,3,AnalysisTypeTableEntry,1..*,,AnalysisTypeTable,,Associated,,,,AnalysisTypeTableEntry,,,
91,ABIE,3,AnalysisTypeTableEntry,1..*,,AnalysisTypeTableEntry,,Details,,,,,,,
92,IDBIE,4,AnalysisType,1..1,,AnalysisTypeTableEntry,,AnalysisType,,Code,,,SAFcodeType,,"Analysis type identifier: e.g. CC (for Cost Center), DEP (for department), etc."
93,BBIE,4,AnalysisTypeDescription,1..1,,AnalysisTypeTableEntry,,AnalysisTypeDescription,,Text,,,SAFlongtextType,,"Description of the AnalysisType, e.g. ""Cost Center"""
94,IDBIE,4,AnalysisID,1..1,,AnalysisTypeTableEntry,,AnalysisID,,Text,,,SAFmiddle1textType,,"Analysis ID: e.g. 1200-HDOF-TR (for cost center treasury in the headoffice), P-4800-123 (for project 123 in branch 4800)"
95,BBIE,4,AnalysisIDDescription,1..1,,AnalysisTypeTableEntry,,AnalysisIDDescription,,Text,,,SAFlongtextType,,"Description of the AnalysisID: e.g. ""Headoffice-Treasury""."
96,ASBIE,2,MovementTypeTable,0..1,,MasterFiles,,Associated,,,,MovementTypeTable,,,Table with descriptions of all different kinds of movementtypes and movementsubtypes
97,ABIE,2,MovementTypeTable,0..1,,MovementTypeTable,,Details,,,,,,,Table with descriptions of all different kinds of movementtypes and movementsubtypes
98,ASBIE,3,MovementTypeTableEntry,1..*,,MovementTypeTable,,Associated,,,,MovementTypeTableEntry,,,
99,ABIE,3,MovementTypeTableEntry,1..*,,MovementTypeTableEntry,,Details,,,,,,,
100,IDBIE,4,MovementType,1..1,,MovementTypeTableEntry,,MovementType,,Code,,,SAFcodeType,,"Identify kind of movement or movement line. E.g. sale, purchase, adjustment, etc.  Or  efficiencyloss, use of components in production, etc. Predescribed TABLE is possible."
101,BBIE,4,Description,1..1,,MovementTypeTableEntry,,Description,,Text,,,SAFlongtextType,,Description of the movement(sub)type
102,ASBIE,2,Products,0..1,,MasterFiles,,Associated,,,,Products,,,
103,ABIE,2,Products,0..1,,Products,,Details,,,,,,,
104,ASBIE,3,Product,1..*,,Products,,Associated,,,,Product,,,
105,ABIE,3,Product,1..*,,Product,,Details,,,,,,,
106,IDBIE,4,ProductCode,1..1,,Product,,ProductCode,,Text,,,SAFmiddle2textType,,Product code
107,BBIE,4,GoodsServicesID,0..1,,Product,,GoodsServicesID,,Code,,,SAFcodeType,,Indicator showing if goods or services (Predescribed TABLE is possible)
108,BBIE,4,ProductGroup,0..1,,Product,,ProductGroup,,Text,,,SAFmiddle2textType,,Code identifying aggregated level at which similar products are grouped
109,BBIE,4,Description,1..1,,Product,,Description,,Text,,,SAFlongtextType,,Description of goods or services.
110,BBIE,4,ProductCommodityCode,0..1,,Product,,ProductCommodityCode,,Text,,,SAFmiddle1textType,,Classification for import / export
111,BBIE,4,ProductNumberCode,0..1,,Product,,ProductNumberCode,,Text,,,SAFmiddle2textType,,EAN or other code
112,BBIE,4,ValuationMethod,0..1,,Product,,ValuationMethod,,Code,,,SAFcodeType,,"FIFO, LIFO, Average cost etc."
113,RFBIE,4,UOMBase,1..1,,Product,,UOMBase,,Code,,,SAFcodeType,AuditFile/MasterFiles/UOMTable/UOMTableEntry/UnitOfMeasure,Unit of measure for Stock Administration for this product Predescribed TABLE is possible.
114,ASBIE,4,sequence,0..1,,Product,,Associated,,,,sequence_UOM,,,Not needed when not applicable
115,ABIE,4,sequence,0..1,,sequence_UOM,,Details,,,,,,,Not needed when not applicable
116,BBIE,5,UOMStandard,1..1,,sequence_UOM,,UOMStandard,,Code,,,SAFcodeType,,"A Standard Unit of Measure applicable for this product, f.i. Kilo, Metres, Litres (Predescribed TABLE is possible)"
117,BBIE,5,UOMToUOMBaseConversionFactor,1..1,,sequence_UOM,,UOMToUOMBaseConversionFactor,,Numeric,,,decimal,,Conversion factor of the UOM to UOM Base
118,ASBIE,4,Tax,0..*,,Product,,Associated,,,,Tax,,,
119,ABIE,4,Tax,0..*,,Tax,,Details,,,,,,,
120,ASBIE,5,sequence,0..1,,Tax,,Associated,,,,sequence_Tax,,,
121,ABIE,5,sequence,0..1,,sequence_Tax,,Details,,,,,,,
122,BBIE,6,TaxType,1..1,,sequence_Tax,,TaxType,,Code,,,SAFcodeType,,Tax Type for lookup in tables
123,BBIE,6,TaxCode,1..1,,sequence_Tax,,TaxCode,,Code,,,SAFcodeType,,Tax Code for lookup in tables
124,ASBIE,2,PhysicalStock,0..1,,MasterFiles,,Associated,,,,PhysicalStock,,,
125,ABIE,2,PhysicalStock,0..1,,PhysicalStock,,Details,,,,,,,
126,ASBIE,3,PhysicalStockEntry,1..*,,PhysicalStock,,Associated,,,,PhysicalStockEntry,,,
127,ABIE,3,PhysicalStockEntry,1..*,,PhysicalStockEntry,,Details,,,,,,,
128,BBIE,4,WarehouseID,0..1,,PhysicalStockEntry,,WarehouseID,,Text,,,SAFmiddle1textType,,"Warehouse where goods held - possoble also to identify work-in-progress, or stock-in-transit"
129,BBIE,4,LocationID,0..1,,PhysicalStockEntry,,LocationID,,Code,,,SAFshorttextType,,Location of goods in warehouse
130,RFBIE,4,ProductCode,1..1,,PhysicalStockEntry,,ProductCode,,Text,,,SAFmiddle2textType,AuditFile/MasterFiles/Products/Product/ProductCode,Product code
131,IDBIE,4,StockAccountNo,0..1,,PhysicalStockEntry,,StockAccountNo,,Text,,,SAFmiddle2textType,,"Stock batch, lot, serial identification. Not used when there is exactly 1 PhysicalStock entry per ProductCode"
132,BBIE,4,ProductType,0..1,,PhysicalStockEntry,,ProductType,,Code,,,SAFshorttextType,,"To determine whether the product/stockaccount is raw material, work-in-progress, finished good, merchandise for resale, etc."
133,BBIE,4,ProductStatus,0..1,,PhysicalStockEntry,,ProductStatus,,Code,,,SAFshorttextType,,"To determine whether the product/stockaccount is discontinued, damaged, obsolete, active, etc."
134,BBIE,4,StockAccountCommodityCode,0..1,,PhysicalStockEntry,,StockAccountCommodityCode,,Text,,,SAFmiddle1textType,,Classification for import / export
135,RFBIE,4,OwnerID,0..1,,PhysicalStockEntry,,OwnerID,,Text,,,SAFmiddle1textType,AuditFile/MasterFiles/Owners/Owner/OwnerID,Reference to the owner Master File
136,ASBIE,4,sequence,0..1,,PhysicalStockEntry,,Associated,,,,sequence_PhysicalStockUOM,,,Not needed when UOMPhysicalStock equals UOMBase
137,ABIE,4,sequence,0..1,,sequence_PhysicalStockUOM,,Details,,,,,,,Not needed when UOMPhysicalStock equals UOMBase
138,BBIE,5,UOMPhysicalStock,1..1,,sequence_PhysicalStockUOM,,UOMPhysicalStock,,Code,,,SAFcodeType,,Unit of Measurement for this Physical Stock position
139,BBIE,5,UOMToUOMBaseConversionFactor,1..1,,sequence_PhysicalStockUOM,,UOMToUOMBaseConversionFactor,,Numeric,,,decimal,,Conversion factor of the UOM to UOM Base
140,BBIE,4,UnitPrice,0..1,,PhysicalStockEntry,,UnitPrice,,Monetary,,,SAFmonetaryType,,Base Unit price for this stock account  in the header's default currency.
141,BBIE,4,OpeningStockQuantity,1..1,,PhysicalStockEntry,,OpeningStockQuantity,,Quantity,,,SAFquantityType,,In UOM Physical Stock for selection period
142,BBIE,4,OpeningStockValue,0..1,,PhysicalStockEntry,,OpeningStockValue,,Monetary,,,SAFmonetaryType,,In  the header's currency code for selection period
143,BBIE,4,ClosingStockQuantity,1..1,,PhysicalStockEntry,,ClosingStockQuantity,,Quantity,,,SAFquantityType,,In UOM Physical Stock for selection period
144,BBIE,4,ClosingStockValue,0..1,,PhysicalStockEntry,,ClosingStockValue,,Monetary,,,SAFmonetaryType,,Closing stock value  in the header's default currency for selection period
145,ASBIE,4,StockCharacteristics,0..1,,PhysicalStockEntry,,Associated,,,,StockCharacteristics,,,
146,ASBIE,4,sequence,1..*,,sequence_PhysicalStockCharacteristic,,Associated,,,,sequence_PhysicalStockCharacteristic,,,
147,BBIE,5,StockCharacteristic,1..1,,sequence_PhysicalStockCharacteristic,,StockCharacteristic,,Code,,,SAFshorttextType,,User definable characteristics of the goods. Predescribed TABLE is possible.
148,BBIE,5,StockCharacteristicValue,1..1,,sequence_PhysicalStockCharacteristic,,StockCharacteristicValue,,Text,,,SAFmiddle1textType,,"The weight, pack size, colour etc."
149,ASBIE,2,Owners,0..1,,MasterFiles,,Associated,,,,Owners,,,
150,ABIE,2,Owners,0..1,,Owners,,Details,,,,,,,
151,ASBIE,3,Owner,1..*,,Owners,,Associated,,,,Owner,,,
152,ABIE,3,Owner,1..*,,Owner,,Details,,,,,,,
153,ASBIE,4,CompanyStructure,1..1,,Owner,,Associated,,,,,,,
154,BBIE,4,OwnerID,0..1,,Owner,,OwnerID,,Text,,,SAFmiddle1textType,,Reference to the owner Master File
155,BBIE,4,AccountID,0..1,,Owner,,AccountID,,Text,,,SAFmiddle2textType,,"General Ledger Account code for this owner. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department."
156,ASBIE,2,Assets,0..1,,MasterFiles,,Associated,,,,Assets,,,
157,ABIE,2,Assets,0..1,,Assets,,Details,,,,,,,
158,ASBIE,3,Asset,1..*,,Assets,,Associated,,,,Asset,,,
159,ABIE,3,Asset,1..*,,Asset,,Details,,,,,,,
160,IDBIE,4,AssetID,1..1,,Asset,,AssetID,,Text,,,SAFmiddle1textType,,Unique identifier of the asset
161,RFBIE,4,AccountID,1..1,,Asset,,AccountID,,Text,,,SAFmiddle2textType,AuditFile/MasterFiles/GeneralLedgerAccounts/Account/AccountID,"General Ledger Account code. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department."
162,BBIE,4,Description,1..1,,Asset,,Description,,Text,,,SAFlongtextType,,Description of this asset
163,ASBIE,4,Supplier,0..*,,Asset,,Associated,,,Supplier,CompanyStructure,,,"Contains the information of all suppliers, including the historical suppliers."
164,BBIE,5,SupplierName,1..1,Supplier,CompanyStructure,,,,Text,,,SAFmiddle2textType,,Name of the supplier of the asset
165,RFBIE,5,SupplierID,0..1,Supplier,CompanyStructure,,,,Text,,,SAFmiddle1textType,AuditFile/MasterFiles/Suppliers/Supplier/SupplierID,Unique code for the supplier
166,ASBIE,5,PostalAddress,1..1,Supplier,CompanyStructure,,Associated,,,,Postal,AddressStructure,,Address information of the supplier of the asset
167,BBIE,4,PurchaseOrderDate,0..1,,Asset,,PurchaseOrderDate,,Date,,,date,,Date of the purchase order of this asset
168,BBIE,4,DateOfAcquisition,1..1,,Asset,,DateOfAcquisition,,Date,,,date,,Date of the acquisition of the asset (usually the date of delivery).
169,BBIE,4,StartUpDate,0..1,,Asset,,StartUpDate,,Date,,,date,,Commissioning date of the asset.
170,ASBIE,4,Valuations,1..1,,Asset,,Associated,,,,Valuations,,,The data can be reported for different purposes. More than one can be in this SAF.
171,ABIE,4,Valuations,1..1,,Valuations,,Details,,,,,,,The data can be reported for different purposes. More than one can be in this SAF.
172,ASBIE,5,Valuation,1..*,,Valuation,,Associated,,,,Valuation,,,
173,ABIE,5,Valuation,1..*,,Valuation,,Details,,,,,,,
174,BBIE,6,AssetValuationType,0..1,,Valuation,,AssetValuationType,,Code,,,SAFshorttextType,,"Describes the purpose for the reporting: f.i. commercial, tax  in country 1, tax in country 2, etc."
175,BBIE,6,ValuationClass,0..1,,Valuation,,ValuationClass,,Code,,,SAFshorttextType,,This describes the classification of the asset for (tax) reporting purposes.
176,BBIE,6,AcquisitionAndProductionCostsBegin,1..1,,Valuation,,AcquisitionAndProductionCostsBegin,,Monetary,,,SAFmonetaryType,,Total costs of acquisition and/or production of the asset at SelectionStartDate in the header's default currency.
177,BBIE,6,AcquisitionAndProductionCostsEnd,1..1,,Valuation,,AcquisitionAndProductionCostsEnd,,Monetary,,,SAFmonetaryType,,Total costs of acquisition and/or production of the asset at SelectionEndDate in the header's default currency.
178,BBIE,6,InvestmentSupport,0..1,,Valuation,,InvestmentSupport,,Monetary,,,SAFmonetaryType,,Total amount of investment support for this asset in the header's default currency.
179,ASBIE,6,choice_AssetLifeYear/AssetLifeMonth,1..1,,Valuation,,Associated,,,,choice_AssetLifeYear/AssetLifeMonth,,,
180,ABIE,6,choice_AssetLifeYear/AssetLifeMonth,1..1,,choice_AssetLifeYear/AssetLifeMonth,,Details,,,,,,,
181,BBIE,7,AssetLifeYear,1..1,,choice_AssetLifeYear/AssetLifeMonth,,AssetLifeYear,,Numeric,,,decimal,,Periode of useful life in years
182,BBIE,7,AssetLifeMonth,1..1,,choice_AssetLifeYear/AssetLifeMonth,,AssetLifeMonth,,Numeric,,,decimal,,Period of useful life in months
183,BBIE,6,AssetAddition,0..1,,Valuation,,AssetAddition,,Monetary,,,SAFmonetaryType,,Bookvalue of the acquisition and/or production of the asset in the  Selectionperiod in the header's default currency.
184,BBIE,6,Transfers,0..1,,Valuation,,Transfers,,Monetary,,,SAFmonetaryType,,Book value of the transfers of the asset during the Selectionperiod in the header's default currency.
185,BBIE,6,AssetDisposal,0..1,,Valuation,,AssetDisposal,,Monetary,,,SAFmonetaryType,,Book value of the disposals of the asset during the Selectionperiod in the header's default currency.
186,BBIE,6,BookValueBegin,0..1,,Valuation,,BookValueBegin,,Monetary,,,SAFmonetaryType,,Bookvalue at the beginning of the Selectionperiod in the header's default currency.
187,BBIE,6,DepreciationMethod,0..1,,Valuation,,DepreciationMethod,,Text,,,SAFmiddle1textType,,Method of normal depreciation during the Selectionperiod.
188,BBIE,6,DepreciationPercentage,0..1,,Valuation,,DepreciationPercentage,,Percentage,,,decimal,,The rate of the normal depreciation per year or month (depends on choice useful life periode)
189,BBIE,6,DepreciationForPeriod,1..1,,Valuation,,DepreciationForPeriod,,Monetary,,,SAFmonetaryType,,Total amouunt of normal depreciation during the Selectionperiod in the header's default currency.
190,BBIE,6,AppreciationForPeriod,0..1,,Valuation,,AppreciationForPeriod,,Monetary,,,SAFmonetaryType,,Total amouunt of appreciation during the Selectionperiod in the header's default currency.
191,ASBIE,6,ExtraordinaryDepreciationsForPeriod,0..1,,Valuation,,Associated,,,,ExtraordinaryDepreciationsForPeriod,,,Extraordinary depreciations for this asset during the Selectionperiod.
192,ABIE,6,ExtraordinaryDepreciationsForPeriod,0..1,,ExtraordinaryDepreciationsForPeriod,,Details,,,,,,,Extraordinary depreciations for this asset during the Selectionperiod.
193,ASBIE,7,ExtraordinaryDepreciationForPeriod,1..*,,ExtraordinaryDepreciationsForPeriod,,Associated,,,,ExtraordinaryDepreciationForPeriod,,,
194,ABIE,7,ExtraordinaryDepreciationForPeriod,1..*,,ExtraordinaryDepreciationForPeriod,,Details,,,,,,,
195,BBIE,8,ExtraordinaryDepreciationMethod,1..1,,ExtraordinaryDepreciationForPeriod,,ExtraordinaryDepreciationMethod,,Text,,,SAFmiddle1textType,,Method of extraordinary depreciation during the Selectionperiod.
