Module,Kind,,seq,Businessterm,Definition,Datatype,ObjectClassTermQualifier,ObjectClassTerm,PropertyTermQualifier,PropertyTerm,DatatypeQualifier,RepresentationTerm,AssociatedObjectClassTermQualifier,AssociatedObjectClass,Occurrence,Additional explanation,日本語訳,説明,追加説明,Example Value (値の例),Rules,Section,BIS extension,UBL syntax xPath,Data Type,Attributes - adjustments,Cardinality,CE 16931-3-1 Table 3 -- Alignment of cardinalities
Billing,BBIE,10,ibt-010,Buyer reference,An identifier assigned by the Buyer used for internal routing purposes.,Text,,Invoice,Buyer,Reference,,Text,,,0..1,,買い手参照,買い手によって割り当てられたIDで、買い手の内部ルーティングの目的で使用。買い手が付したIDで、買い手内部での後続処理目的で使用。,,,,Shared,,/Invoice/cbc:BuyerReference,TextType,,0..1,
Billing,RFBIE,11,ibt-011,Project reference,The identification of the project the invoice refers to ,Document Reference,,Invoice,,Reference,,,,Project,0..1,,プロジェクト参照,発注品に関するプロジェクト・工事案件等を管理するための番号。インボイスが参照するプロジェクトのID。,,,,Shared,,/Invoice/cac:ProjectReference/cbc:ID,IdentifierType,,1..1,CAR-1
Billing,RFBIE,12,ibt-012,Contract reference,The identification of a contract.,Document Reference,,Invoice,,Reference,,,,Contract,0..1,,契約書参照,参照する契約書に記載の文書番号。,,,,Shared,,/Invoice/cac:ContractDocumentReference/cbc:ID,IdentifierType,,1..1,CAR-1
Billing,RFBIE,13,ibt-013,Purchase order reference,"An identifier of a referenced purchase order, issued by the Buyer.",Document Reference,,Invoice,,Reference,,,,Purchase order,0..1,,購買発注参照,買い手が発行した購買発注を参照する場合の当該購買発注に記載の文書番号。,,AA-123-AA,,Shared,,/Invoice/cac:OrderReference/cbc:ID,IdentifierType,,1..1,CAR-1
Billing,RFBIE,14,ibt-014,Sales order reference,An identifier of a referenced sales order issued by the Seller.,Document Reference,,Invoice,,Reference,,,,Sales order,0..1,,受注参照,売り手が発行した受注を参照する場合の当該受注に記載の文書番号。,,,,Shared,,/Invoice/cac:OrderReference/cbc:SalesOrderID,IdentifierType,,0..1,
Billing,RFBIE,15,ibt-015,Receiving advice reference,An identifier of a referenced receiving advice.,Document Reference,,Invoice,,Reference,,,,Receiving advice,0..1,,受取通知書(検収書)参照,参照する受取通知書（検収書）に売り手が付番した番号。,,,,Shared,,/Invoice/cac:ReceiptDocumentReference/cbc:ID,IdentifierType,,1..1,CAR-1
Billing,RFBIE,16,ibt-016,Despatch advice reference,An identifier of a referenced despatch advice.,Document Reference,,Invoice,,Reference,,,,Despatch advice,0..n,,出荷案内書(納品書)参照,参照する出荷案内書（納品書）に売り手が付番した番号。,,,,Aligned,Cardinality from ..1 to ..n,/Invoice/cac:DespatchDocumentReference/cbc:ID,IdentifierType,,1..1,CAR-4
Billing,RFBIE,17,ibt-017,Tender or lot reference,The identification of the call for tender or lot the invoice relates to.,Document Reference,,Invoice,,Reference,,,,Tender ot lot,0..1,,入札又はロット参照,参照する入札またはロットの番号。,,,,Shared,,/Invoice/cac:OriginatorDocumentReference[not(cbc:DocumentTypeCode='13')]/cbc:ID,IdentifierType,with cbc:DocumentTypeCode != '13',1..1,CAR-1
Billing,BBIE,18,ibt-018,Invoiced object identifier,"An identifier for an object on which the invoice is based, given by the Seller.",Identifier,,Invoice,Invoiced object,Reference,,Identifier,,,0..1,,請求されるオブジェクトID,請求書の根拠となるIDで、売り手が指定。請求書の根拠となるオブジェクトのIDで、売り手が指定したもの。,,,,Shared,,/Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode='13']/cbc:ID,IdentifierType,with cbc:DocumentTypeCode = '13',1..1,CAR-1
Billing,BBIE,19,ibt-019,Buyer accounting reference,A textual value that specifies where to book the relevant data into the Buyer's financial accounts.,Text,,Invoice,,Buyer accounting,,Text,,,0..1,,買い手会計参照,買い手の財務勘定科目に関連データを記帳する場所を指定する。買い手のどの勘定に関連データを記帳すべきかを指定するためのテキスト値。,,,,Shared,,/Invoice/cbc:AccountingCost,TextType,,0..1,
Billing,ASBIE,20,ibg-33,INVOICE TERMS,Information about the terms that apply to the settlement of the invoice amount.,,,Invoice,,Defined,,,,Invoice Terms,0..n,"For further details, see EIPA_SDC_Payment検討.pptx.",支払条件,請求額の決済に適用される条件に関する情報。,詳細については、EIPA_SDC_Payment検討.pptx を参照。 ,,,Aligned,Added as Group,/Invoice/cac:PaymentTerms,PaymentTermsType,,0..n,
Billing,ABIE,0,ibt-020,INVOICE TERMS,A textual description of the payment terms that apply to the amount due for payment (Including description of possible penalties).,,,Invoice Terms,,Detail,,,,,0..1,"Common description in English\nPIA - Payment in advance\nNet 30 - Payment 30 days after invoice date\nEOM - End of month\n21 MFI - 21st of the month following invoice date\n1% 10 Net 30 - 1% discount if payment received within ten days otherwise payment 30 days after invoice date\nCOD - Cash on delivery\n1MD - Monthly credit payment of a full month's supply\netc.\nsource: https://examples.yourdictionary.com/payment-terms-examples.html\nThe information to show ""Who bears bank charge"" can be also putas textual payment terms.",支払条件,支払額に適用される支払条件の説明(罰則の記載を含む)。支払条件の文字による説明。,英語での慣用例文\nPIA - Payment in advance\nNet 30 - Payment 30 days after invoice date\nEOM - End of month\n21 MFI - 21st of the month following invoice date\n1% 10 Net 30 - 1% discount if payment received within ten days otherwise payment 30 days after invoice date\nCOD - Cash on delivery\n1MD - Monthly credit payment of a full month's supply\netc.\nsource: https://examples.yourdictionary.com/payment-terms-examples.html\n振込手数料を売り手買い手のどちらが負担するかといった情報をテキスト情報として入れ込むことは可能である。,,ibr-co-25,Shared,Cardinality to ..n via Group,/Invoice/cac:PaymentTerms/cbc:Note,TextType,,0..n,CAR-3
Billing,BBIE,1,ibt-020,Payment terms,A textual description of the payment terms that apply to the amount due for payment (Including description of possible penalties).,Text,,Invoice Terms,,Payment terms,,Text,,,0..1,"Common description in English\nPIA - Payment in advance\nNet 30 - Payment 30 days after invoice date\nEOM - End of month\n21 MFI - 21st of the month following invoice date\n1% 10 Net 30 - 1% discount if payment received within ten days otherwise payment 30 days after invoice date\nCOD - Cash on delivery\n1MD - Monthly credit payment of a full month's supply\netc.\nsource: https://examples.yourdictionary.com/payment-terms-examples.html\nThe information to show ""Who bears bank charge"" can be also putas textual payment terms.",支払条件,支払額に適用される支払条件の説明(罰則の記載を含む)。支払条件の文字による説明。,英語での慣用例文\nPIA - Payment in advance\nNet 30 - Payment 30 days after invoice date\nEOM - End of month\n21 MFI - 21st of the month following invoice date\n1% 10 Net 30 - 1% discount if payment received within ten days otherwise payment 30 days after invoice date\nCOD - Cash on delivery\n1MD - Monthly credit payment of a full month's supply\netc.\nsource: https://examples.yourdictionary.com/payment-terms-examples.html\n振込手数料を売り手買い手のどちらが負担するかといった情報をテキスト情報として入れ込むことは可能である。,,ibr-co-25,Shared,Cardinality to ..n via Group,/Invoice/cac:PaymentTerms/cbc:Note,TextType,,0..n,CAR-3
Billing,IDBIE,2,ibt-187,Terms payment instructions ID,The payment instructions that apply to these payment terms.,Identifier,,Invoice Terms,,Identification,,Identifier,,,0..1,,支払条件指示ID,これらの支払条件を適用する支払指示。,,,,Aligned,Added,/Invoice/cac:PaymentTerms/cbc:PaymentMeansID,IdentifierType,,0..n,CAR-3
Billing,BBIE,3,ibt-176,Terms amount,The payment amount that these terms apply to.,Amount,,Invoice Terms,,Terms amount,,Amount,,,0..1,"In the numerical representation, for data type amount, only the integer is allowed and the integer part is not separated by 1000 units.",支払条件金額,これらの条件が適用される支払金額。,数値表現は、データ型 Amount については、整数、整数部分の1000単位の区切りはなし。,,,Aligned,Added,/Invoice/cac:PaymentTerms/cbc:Amount,AmountType,,0..1,
Billing,BBIE,4,ibt-177,Terms installment due date,The date before end of which the terms amount shall be settled.,Date,,Invoice Terms,,Terms installment due date,,Date,,,0..1,The date is described in the Christian era and is YYYY-MM-DD according to the rule PEPPOL-EN16931-F001. ,分割支払支払期日,分割支払の場合の各支払期日。,日付表示は西暦表示で、ルール PEPPOL-EN16931-F001 に従い、YYYY-MM-DD となる。,,,Aligned,Added,/Invoice/cac:PaymentTerms/cbc:InstallmentDueDate,DateType,,0..1,
Billing,ASBIE,21,ibg-01,INVOICE NOTE,"A group of business terms providing textual notes that are relevant for the invoice, together with an indication of the note subject.",,,Invoice,,Defined,,,,Invoice Note,0..n,,請求書注釈,請求書についての注釈。,,,,,,,,,,
Billing,ABIE,0,ibg-01,INVOICE NOTE,"A group of business terms providing textual notes that are relevant for the invoice, together with an indication of the note subject.",,,Invoice Note,,Detail,,,,,0..n,,請求書注釈,請求書についての注釈。,,,,,,,,,,
Billing,BBIE,1,ibt-021,Invoice note subject code,The subject of the textual note in EN BT-22.,Text,,Invoice Note,,Subject,,Code,,,0..1,,請求書注釈表題コード,注釈の表題。,,,,Shared,,/Invoice/cbc:Note,TextType,"Use #subjectcode# 
Code list UNTDID 4451",0..n,CAR-3
Billing,BBIE,2,ibt-022,Invoice note,A textual note that gives unstructured information that is relevant to the Invoice as a whole.,Text,,Invoice Note,,Note,,Text,,,0..1,,請求書注釈内容,注釈の内容を入力するフリースペース。,,,,Shared,,/Invoice/cbc:Note,TextType,,0..n,CAR-3
Billing,ASBIE,22,ibg-02,PROCESS CONTROL,A group of business terms providing information on the business process and rules applicable to the Invoice document.,,,Invoice,,Defined,,,,Process Control,1..1,,プロセスコントロール,取引プロセスに関する情報。請求書に適用するビジネスプロセス及びルールについての情報。,,,,,,,,,,
Billing,ABIE,0,ibg-02,PROCESS CONTROL,A group of business terms providing information on the business process and rules applicable to the Invoice document.,,,Process Control,,Detail,,,,,1..1,,プロセスコントロール,取引プロセスに関する情報。請求書に適用するビジネスプロセス及びルールについての情報。,,,,,,,,,,
Billing,BBIE,1,ibt-023,Business process type (Profile ID),"Identifies the business process context in which the transaction appears, to enable the Buyer to process the Invoice in an appropriate way.",Text,,Process Control,,Business process type,,Text,,,0..1,"Standard japanese Invoice BIS (equal to the Peppol BIS Billing)\nProfile ID: urn:peppol:bis:billing\nInvoice Customization ID: urn:peppol:pint:billing-3.0@jp:peppol-1\n\n
Standard japanese Debit Note BIS\nProfile ID: urn:peppol:bis:debitnote\nDebit Note Customization ID: urn:peppol:pint:debitnote-3.0@jp:peppol-1\n\nJapanese Summary Invoice, pattern 1 BIS (Process contains Invoice transactions with additional rules)\nProfile ID: urn:peppol:bis:billing\nInvoice Customization ID: urn:peppol:pint:billing-3.0@jp:peppol-1@jp:suminvpt1-2",ビジネスプロセスタイプ  (Profile ID),取引プロセスの名称。買い手が適切な方法で請求書を処理することができるように、取引が行われたビジネスプロセスを識別する。,"都度請求書 (Peppol BIS Billingと同じ)\nProfile ID: urn:peppol:bis:billing\nInvoice Customization ID: urn:peppol:pint:billing-3.0@jp:peppol-1\n\n
納品書\nProfile ID: urn:peppol:bis:debitnote\nDebit Note Customization ID: urn:peppol:pint:debitnote-3.0@jp:peppol-1\n\n合算請求書パターン１ (業務手順に追加条件あり)\nProfile ID: urn:peppol:bis:billing\nInvoice Customization ID: urn:peppol:pint:billing-3.0@jp:peppol-1@jp:suminvpt1-2",urn:fdc:peppol.eu:217:poacc:billing:1:1.,,Shared,,/Invoice/cbc:ProfileID,IdentifierType,,0..1,
Billing,BBIE,2,ibt-024,Specification identifier (Customization ID),"An identification of the specification containing the total set of rules regarding semantic content, cardinalities and business rules to which the data contained in the instance document conforms.",Identifier,,Process Control,,Specification,,Identifier,,,1..1,"Standard japanese Invoice BIS (equal to the Peppol BIS Billing)\nProfile ID: urn:peppol:bis:billing\nInvoice Customization ID: urn:peppol:pint:billing-3.0@jp:peppol-1\n\n
Standard japanese Debit Note BIS\nProfile ID: urn:peppol:bis:debitnote\nDebit Note Customization ID: urn:peppol:pint:debitnote-3.0@jp:peppol-1\n\nJapanese Summary Invoice, pattern 1 BIS (Process contains Invoice transactions with additional rules)\nProfile ID: urn:peppol:bis:billing\nInvoice Customization ID: urn:peppol:pint:billing-3.0@jp:peppol-1@jp:suminvpt1-1",仕様ID (Customization ID),取引プロセスのID。セマンティックコンテンツ、カーディナリティや、インスタンス文書に含まれているデータが準拠すべきビジネスルールに関するルール一式を含む、仕様を識別する。,"都度請求書 (Peppol BIS Billingと同じ)\nProfile ID: urn:peppol:bis:billing\nInvoice Customization ID: urn:peppol:pint:billing-3.0@jp:peppol-1\n\n
納品書\nProfile ID: urn:peppol:bis:debitnote\nDebit Note Customization ID: urn:peppol:pint:debitnote-3.0@jp:peppol-1\n\n合算請求書パターン１ (業務手順に追加条件あり)\nProfile ID: urn:peppol:bis:billing\nInvoice Customization ID: urn:peppol:pint:billing-3.0@jp:peppol-1@jp:suminvpt1-1",urn:cen.eu:en16931:217#compliant#urn:fdc:peppol.eu:217:poacc:billing:3.,ibr-1,Shared,,/Invoice/cbc:CustomizationID,IdentifierType,,0..1,CAR-2
Billing,ASBIE,23,ibg-03,PRECEDING INVOICE REFERENCE,A group of business terms providing information on one or more preceding Invoices.,,,Invoice,,Defined,,,,Preceding Invoice Reference,0..n,,先行請求書への参照,1つ以上の先行請求書に関する情報。\n,,,ibr-55,,,/Invoice/cac:BillingReference,BillingReferenceType,,0..n,
Billing,ABIE,0,ibg-03,PRECEDING INVOICE REFERENCE,A group of business terms providing information on one or more preceding Invoices.,,,Preceding Invoice Reference,,Detail,,,,,0..n,,先行請求書への参照,1つ以上の先行請求書に関する情報。\n,,,ibr-55,,,/Invoice/cac:BillingReference,BillingReferenceType,,0..n,
Billing,RFBIE,1,ibt-025,Preceding Invoice reference,The identification of an Invoice that was previously sent by the Seller.,Document Reference,,Preceding Invoice Reference,Preceding,Reference,,,,Invoice,1..1,,先行請求書への参照,売り手が以前に送付した請求書番号。,,,ibr-55,Shared,,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:ID,IdentifierType,,1..1,
Billing,BBIE,2,ibt-026,Preceding Invoice issue date,The date when the Preceding Invoice was issued.,Date,,Preceding Invoice Reference,Referencing,Invoice,,Date,,,0..1,The date is described in the Christian era and is YYYY-MM-DD according to the rule PEPPOL-EN16931-F001. ,先行請求書発行日,先行請求書の発行日。,日付表示は西暦表示で、ルール PEPPOL-EN16931-F001 に従い、YYYY-MM-DD となる。,,,Shared,,/Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate,DateType,,0..1,
Billing,ASBIE,24,ibg-04,SELLER,A group of business terms providing information about the Seller.,,,Invoice,,Defined,,,,Seller,1..1,,売り手,売り手に係る情報。,,,"ibr-17,ibr-18,ibr-19,ibr-2",,,/Invoice/cac:AccountingSupplierParty,SupplierPartyType,,1..1,
Billing,ABIE,0,ibg-04,SELLER,A group of business terms providing information about the Seller.,,,Seller,,Detail,,,,,1..1,,売り手,売り手に係る情報。,,,"ibr-17,ibr-18,ibr-19,ibr-2",,,/Invoice/cac:AccountingSupplierParty,SupplierPartyType,,1..1,
Billing,BBIE,1,ibt-027,Seller name,The full formal name by which the Seller is registered in the national registry of legal entities or as a Taxable person or otherwise trades as a person or persons.,Text,,Seller,,Name,,Text,,,1..1,,売り手名称,売り手を表す名称。売り手を表す法的に正式な名称。,,株式会社 ○○商事,ibr-6,Shared,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName,NameType,,0..1,CAR-2
Billing,BBIE,2,ibt-028,Seller trading name,"A name by which the Seller is known, other than Seller name (also known as Business name).",Text,,Seller,,Trading name,,Text,,,0..1,,売り手商号,売り手名称以外で、知られているビジネス上の名称。,,株式会社 ○○商事,,Shared,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name,NameType,,1..1,CAR-1
Billing,IDBIE,3,ibt-029,Seller identifier,An identification of the Seller.,Identifier,,Seller,,Identification,,Identifier,,,0..n,"The difference between ibt-029 and ibt-030 is in the semantics. ibt-29 is an identifier for the seller and any ICD registered identifier scheme can be used. ibt-30 is however specifically defined as the sellers legal registration identifier and is usually related to the companies registration with the country registrar or tax authorities. For each country there is usually only one identifiers scheme allowed as legal id. It is not uncommon that the seller identifier (ibt-29) is the same as the legal identifier (ibt-30) but their semantic meaning is different, in ibt-29 it is identifying it from a business perspective but in ibt-30 from a legal perspective. In case of Japan, it is supposed that ibt-029, ibt-030, ibt-031 and ibt-034 are used in the following way. ibt-029 is used to set identifier issued by numbering agencies (such as JIPDEC, TDB, TSR), ibt-030 is used to set  identifier issued by government/tax authority, ibt-031 is used to set Japan consumption tax registration number, and ibt-034 is used to set user ID of Peppol eDelivery Network.",売り手ID,売り手を表すID。,"ibt-029とibt-030の違いは、セマンティック(意味)の違いである。 ibt-29は売り手のID/識別子であり、ICDに登録されているID/識別子スキーマであれば何でも使用できる。しかしながら、ibt-30は、売り手の法的登録IDとして具体的に定義されており、通常、国の登録機関または税務当局への企業登録に関連している。 各国ごとに、通常、法的IDとして認められているID/識別子スキーマは、ひとつだけである。売り手ID (ibt-29) が法的ID (ibt-30) と同じであることは珍しいことではないが、意味は異なる。ibt-29では、ビジネスの観点からのID/識別子であるが、ibt-30では、法的観点からのID/識別子である。日本の場合、ibt-029: 民間等発行の識別番号(JIPDEC, TDB, TSR等)、ibt-30: 国/税務当局発行の識別番号(国税庁法人番号)、ibt-031: 適格請求書発行事業者登録番号、ibt-034: Peppol eDelivery NetworkのユーザーID のように使い分けることが想定されている。",123456:123:147:1,ibr-co-26,Shared,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID,IdentifierType,,1..1,CAR-4
Billing,IDBIE,4,ibt-030,Seller legal registration identifier,An identifier issued by an official registrar that identifies the Seller as a legal entity or person.,Identifier,,Seller,,Legal refistration,,Identifier,,,0..1,"The difference between ibt-029 and ibt-030 is in the semantics. ibt-29 is an identifier for the seller and any ICD registered identifier scheme can be used. ibt-30 is however specifically defined as the sellers legal registration identifier and is usually related to the companies registration with the country registrar or tax authorities. For each country there is usually only one identifiers scheme allowed as legal id. It is not uncommon that the seller identifier (ibt-29) is the same as the legal identifier (ibt-30) but their semantic meaning is different, in ibt-29 it is identifying it from a business perspective but in ibt-30 from a legal perspective. In case of Japan, it is supposed that ibt-029, ibt-030, ibt-031 and ibt-034 are used in the following way. ibt-029 is used to set identifier issued by numbering agencies (such as JIPDEC, TDB, TSR), ibt-030 is used to set  identifier issued by government/tax authority, ibt-031 is used to set Japan consumption tax registration number, and ibt-034 is used to set user ID of Peppol eDelivery Network.",売り手法的企業ID,売り手を表す法的企業ID。,"ibt-029とibt-030の違いは、セマンティック(意味)の違いである。 ibt-29は売り手のID/識別子であり、ICDに登録されているID/識別子スキーマであれば何でも使用できる。しかしながら、ibt-30は、売り手の法的登録IDとして具体的に定義されており、通常、国の登録機関または税務当局への企業登録に関連している。 各国ごとに、通常、法的IDとして認められているID/識別子スキーマは、ひとつだけである。売り手ID (ibt-29) が法的ID (ibt-30) と同じであることは珍しいことではないが、意味は異なる。ibt-29では、ビジネスの観点からのID/識別子であるが、ibt-30では、法的観点からのID/識別子である。日本の場合、ibt-029: 民間等発行の識別番号(JIPDEC, TDB, TSR等)、ibt-30: 国/税務当局発行の識別番号(国税庁法人番号)、ibt-031: 適格請求書発行事業者登録番号、ibt-034: Peppol eDelivery NetworkのユーザーID のように使い分けることが想定されている。",1.23457E+11,,Shared,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID,IdentifierType,,0..1,
Billing,IDBIE,5,ibt-031,Seller TAX identifier,The Seller's TAX identifier (also known as Seller TAX identification number).,Identifier,,Seller,,Tax,,Identifier,,,0..1,"In case of Japan, it is supposed that ibt-029, ibt-030, ibt-031 and ibt-034 are used in the following way. ibt-029 is used to set identifier issued by numbering agencies (such as JIPDEC, TDB, TSR), ibt-030 is used to set  identifier issued by government/tax authority, ibt-031 is used to set Japan consumption tax registration number, and ibt-034 is used to set user ID of Peppol eDelivery Network.",売り手税ID,売り手の税ID番号。日本の場合は、適格請求書発行事業者登録番号\nT+法人番号（国税庁）。,"日本の場合、ibt-029: 民間等発行の識別番号(JIPDEC, TDB, TSR等)、ibt-30: 国/税務当局発行の識別番号(国税庁法人番号)、ibt-031: 適格請求書発行事業者登録番号、ibt-034: Peppol eDelivery NetworkのユーザーID のように使い分けることが想定されている。",T123456789123,"ibr-co-26,jp-s-2,jp-s-3,jp-s-4",Aligned,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID,IdentifierType,"id qualifier is cac:TaxScheme/cbc:ID, e.g. VAT or GST",0..1,
Billing,IDBIE,6,ibt-032,Seller TAX registration identifier,The local identification (defined by the Seller's address) of the Seller for tax purposes or a reference that enables the Seller to state his registered tax status.,Identifier,,Seller,,Tax registration,,Identifier,,,0..1,,売り手税登録ID,売り手住所により決まるローカルの売り手ID。 売り手が登録済みであることを示すための税登録ID。,日本では使用しない？,,"jp-br-1,jp-s-2,jp-s-3,jp-s-4",Aligned,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID,IdentifierType,id qualifier is cac:TaxScheme/cbc:ID ,0..1,
Billing,BBIE,7,ibt-033,Seller additional legal information,Additional legal information relevant for the Seller. ,Text,,Seller,,Additional legal information,,Text,,,0..1,,売り手追加法的情報,売り手に関する追加の法的情報。,,,,Shared,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyLegalForm,TextType,,0..1,
