kind,level,name,@name,parent,@base,@type,restriction@base,enumeration@value,@minOccurs,@maxOccurs,pathany@namespace,any@minOccurs,@desc,any@desc,any@namespace,any@minOccurs,any@desc
,4,SelfBillingIndicator,SelfBillingIndicator,Customer,,SAFcodeType,,,0,,,,Indicator showing if a self-billing agreement exists between the customer and the supplier,,,,
,4,AccountID,AccountID,Customer,,SAFmiddle2textType,,,0,,,,"General Ledger Account code for this customer. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department.",,,,
,4,OpeningDebitBalance,OpeningDebitBalance,Customer,,SAFmonetaryType,,,,,,,Credit balance at the start date of the selection period in the header's default currency.,,,,
,4,ClosingDebitBalance,ClosingDebitBalance,Customer,,SAFmonetaryType,,,,,,,Debit balance at the end date of the selection period in the header's default currency.,,,,
,4,ClosingCreditBalance,ClosingCreditBalance,Customer,,SAFmonetaryType,,,,,,,Credit balance at the end date of the selection period in the header's default currency.,,,,
,2,Suppliers,Suppliers,MasterFiles,,,,,0,,,,,,,,
,3,Supplier,Supplier,Suppliers,,,,,0,unbounded,,,,Represents space to allow individual Revenue Bodies to add further elements,##other,,Represents space to allow individual Revenue Bodies to add further elements
,4,CompanyStructure,,Supplier,CompanyStructure,,,,,,,,,,,,
,4,SupplierID,SupplierID,Supplier,,SAFmiddle1textType,,,0,,,,Unique code for the supplier,,,,
,4,SelfBillingIndicator,SelfBillingIndicator,Supplier,,SAFcodeType,,,0,,,,Indicator showing if a self-billing agreement exists between the customer and the supplier,,,,
,4,AccountID,AccountID,Supplier,,SAFmiddle2textType,,,0,,,,"General Ledger Account code for this supplier. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department.",,,,
,4,OpeningDebitBalance,OpeningDebitBalance,Supplier,,SAFmonetaryType,,,,,,,Debit balance at the start date of the selection period in the header's default currency.,,,,
,4,OpeningCreditBalance,OpeningCreditBalance,Supplier,,SAFmonetaryType,,,,,,,Credit balance at the start date of the selection period in the header's default currency.,,,,
,4,ClosingDebitBalance,ClosingDebitBalance,Supplier,,SAFmonetaryType,,,,,,,Debit balance at the end date of the selection period in the header's default currency.,,,,
,4,ClosingCreditBalance,ClosingCreditBalance,Supplier,,SAFmonetaryType,,,,,,,Credit balance at the end date of the selection period in the header's default currency.,,,,
,2,TaxTable,TaxTable,MasterFiles,,,,,0,,,,,,,,
,3,TaxTableEntry,TaxTableEntry,TaxTable,,,,,,unbounded,,,,,,,
,4,TaxType,TaxType,TaxTableEntry,,SAFcodeType,,,,,,,Tax type for look-up in tables,,,,
,4,Description,Description,TaxTableEntry,,SAFlongtextType,,,,,,,Description of the Tax Type,,,,
,4,TaxCodeDetails,TaxCodeDetails,TaxTableEntry,,,,,,unbounded,,,,,,,
,5,TaxCode,TaxCode,TaxCodeDetails,,SAFcodeType,,,,,,,Tax Code for lookup in tables,,,,
,5,EffectiveDate,EffectiveDate,TaxCodeDetails,,date,,,0,,,,Representing the starting date for this entry,,,,
,5,ExpirationDate,ExpirationDate,TaxCodeDetails,,date,,,0,,,,Representing the ending date for this entry,,,,
,5,Description,Description,TaxCodeDetails,,SAFlongtextType,,,0,,,,Description of the Tax Code,,,,
,5,TaxPercentage,FlatTaxRate,TaxCodeDetails,,AmountStructure,,,,,,,FlatTaxRate,,,,
,5,Country,Region,TaxCodeDetails,,SAFcodeType,,,0,,,,Country specific code to indicate regions / provinces within the tax authority. Preferably described according to ISO 3166-2. Example: GB-KEN for Kent county in the United Kingdom.,,,,
,2,UOMTable,UOMTable,MasterFiles,,,,,0,,,,Table with descriptions of all different kinds of UOM's,,,,
,3,UOMTableEntry,UOMTableEntry,UOMTable,,,,,,unbounded,,,,,,,
,4,UnitOfMeasure,UnitOfMeasure,UOMTableEntry,,SAFcodeType,,,,,,,Quantity unit of measure e.g. pack of 12,,,,
,4,Description,Description,UOMTableEntry,,SAFlongtextType,,,,,,,Description of the UOM,,,,
,2,AnalysisTypeTable,AnalysisTypeTable,MasterFiles,,,,,0,,,,"Table with the analysiscode identifiers.\nsed for further specification of transaction data.\nxample: cost unit, cost center, project.",,,,
,3,AnalysisTypeTableEntry,AnalysisTypeTableEntry,AnalysisTypeTable,,,,,,unbounded,,,,,,,
,4,AnalysisType,AnalysisType,AnalysisTypeTableEntry,,SAFcodeType,,,,,,,"Analysis type identifier: e.g. CC (for Cost Center), DEP (for department), etc.",,,,
,4,AnalysisTypeDescription,AnalysisTypeDescription,AnalysisTypeTableEntry,,SAFlongtextType,,,,,,,"Description of the AnalysisType, e.g. ""Cost Center""",,,,
,4,AnalysisID,AnalysisID,AnalysisTypeTableEntry,,SAFmiddle1textType,,,,,,,"Analysis ID: e.g. 1200-HDOF-TR (for cost center treasury in the headoffice), P-4800-123 (for project 123 in branch 4800)",,,,
,4,AnalysisIDDescription,AnalysisIDDescription,AnalysisTypeTableEntry,,SAFlongtextType,,,,,,,"Description of the AnalysisID: e.g. ""Headoffice-Treasury"".",,,,
,2,MovementTypeTable,MovementTypeTable,MasterFiles,,,,,0,,,,Table with descriptions of all different kinds of movementtypes and movementsubtypes,,,,
,3,MovementTypeTableEntry,MovementTypeTableEntry,MovementTypeTable,,,,,,unbounded,,,,,,,
,4,MovementType,MovementType,MovementTypeTableEntry,,SAFcodeType,,,,,,,"Identify kind of movement or movement line. E.g. sale, purchase, adjustment, etc.  Or  efficiencyloss, use of components in production, etc. Predescribed TABLE is possible.",,,,
,4,Description,Description,MovementTypeTableEntry,,SAFlongtextType,,,,,,,Description of the movement(sub)type,,,,
,2,Products,Products,MasterFiles,,,,,0,,,,,,,,
,3,Product,Product,Products,,,,,,unbounded,,0,,Represents space to allow individual Revenue Bodies to add further elements,##other,0,Represents space to allow individual Revenue Bodies to add further elements
,4,ProductCode,ProductCode,Product,,SAFmiddle2textType,,,,,,,Product code,,,,
,4,GoodsServicesID,GoodsServicesID,Product,,SAFcodeType,,,0,,,,Indicator showing if goods or services (Predescribed TABLE is possible),,,,
,4,ProductGroup,ProductGroup,Product,,SAFmiddle2textType,,,0,,,,Code identifying aggregated level at which similar products are grouped,,,,
,4,Description,Description,Product,,SAFlongtextType,,,,,,,Description of goods or services.,,,,
,4,ProductCommodityCode,ProductCommodityCode,Product,,SAFmiddle1textType,,,0,,,,Classification for import / export,,,,
,4,ProductNumberCode,ProductNumberCode,Product,,SAFmiddle2textType,,,0,,,,EAN or other code,,,,
,4,ValuationMethod,ValuationMethod,Product,,SAFcodeType,,,0,,,,"FIFO, LIFO, Average cost etc.",,,,
,4,UOMBase,UOMBase,Product,,SAFcodeType,,,,,,,Unit of measure for Stock Administration for this product Predescribed TABLE is possible.,,,,
,4,sequence,,Product,,,,,0,,,,Not needed when not applicable,,,,
,5,UOMStandard,UOMStandard,sequence,,SAFcodeType,,,,,,,"A Standard Unit of Measure applicable for this product, f.i. Kilo, Metres, Litres (Predescribed TABLE is possible)",,,,
,5,UOMToUOMBaseConversionFactor,UOMToUOMBaseConversionFactor,sequence,,decimal,,,,,,,Conversion factor of the UOM to UOM Base,,,,
,4,Tax,Tax,Product,,,,,0,unbounded,,,,,,,
,5,sequence,,Tax,,,,,0,,,,,,,,
,6,TaxType,TaxType,sequence,,SAFcodeType,,,,,,,Tax Type for lookup in tables,,,,
,6,TaxCode,TaxCode,sequence,,SAFcodeType,,,,,,,Tax Code for lookup in tables,,,,
,2,PhysicalStock,PhysicalStock,MasterFiles,,,,,0,,,,,,,,
,3,PhysicalStockEntry,PhysicalStockEntry,PhysicalStock,,,,,,unbounded,,0,,Represents space to allow individual Revenue Bodies to add further elements,##other,0,Represents space to allow individual Revenue Bodies to add further elements
,4,WarehouseID,WarehouseID,PhysicalStockEntry,,SAFmiddle1textType,,,0,,,,"Warehouse where goods held - possoble also to identify work-in-progress, or stock-in-transit",,,,
,4,LocationID,LocationID,PhysicalStockEntry,,SAFshorttextType,,,0,,,,Location of goods in warehouse,,,,
,4,ProductCode,ProductCode,PhysicalStockEntry,,SAFmiddle2textType,,,,,,,Product code,,,,
,4,StockAccountNo,StockAccountNo,PhysicalStockEntry,,SAFmiddle2textType,,,0,,,,"Stock batch, lot, serial identification. Not used when there is exactly 1 PhysicalStock entry per ProductCode",,,,
,4,ProductType,ProductType,PhysicalStockEntry,,SAFshorttextType,,,0,,,,"To determine whether the product/stockaccount is raw material, work-in-progress, finished good, merchandise for resale, etc.",,,,
,4,ProductStatus,ProductStatus,PhysicalStockEntry,,SAFshorttextType,,,0,,,,"To determine whether the product/stockaccount is discontinued, damaged, obsolete, active, etc.",,,,
,4,StockAccountCommodityCode,StockAccountCommodityCode,PhysicalStockEntry,,SAFmiddle1textType,,,0,,,,Classification for import / export,,,,
,4,OwnerID,OwnerID,PhysicalStockEntry,,SAFmiddle1textType,,,0,,,,Reference to the owner Master File,,,,
,4,sequence,,PhysicalStockEntry,,,,,0,,,,Not needed when UOMPhysicalStock equals UOMBase,,,,
,5,UOMPhysicalStock,UOMPhysicalStock,sequence,,SAFcodeType,,,,,,,Unit of Measurement for this Physical Stock position,,,,
,5,UOMToUOMBaseConversionFactor,UOMToUOMBaseConversionFactor,sequence,,decimal,,,,,,,Conversion factor of the UOM to UOM Base,,,,
,4,UnitPrice,UnitPrice,PhysicalStockEntry,,SAFmonetaryType,,,0,,,,Base Unit price for this stock account  in the header's default currency.,,,,
,4,OpeningStockQuantity,OpeningStockQuantity,PhysicalStockEntry,,SAFquantityType,,,,,,,In UOM Physical Stock for selection period,,,,
,4,OpeningStockValue,OpeningStockValue,PhysicalStockEntry,,SAFmonetaryType,,,0,,,,In  the header's currency code for selection period,,,,
,4,ClosingStockQuantity,ClosingStockQuantity,PhysicalStockEntry,,SAFquantityType,,,,,,,In UOM Physical Stock for selection period,,,,
,4,ClosingStockValue,ClosingStockValue,PhysicalStockEntry,,SAFmonetaryType,,,0,,,,Closing stock value  in the header's default currency for selection period,,,,
,4,StockCharacteristics,StockCharacteristics,PhysicalStockEntry,,,,,0,,,,,,,,
,5,sequence,,StockCharacteristics,,,,,,unbounded,,,,,,,
,6,StockCharacteristic,StockCharacteristic,sequence,,SAFshorttextType,,,,,,,User definable characteristics of the goods. Predescribed TABLE is possible.,,,,
,6,StockCharacteristicValue,StockCharacteristicValue,sequence,,SAFmiddle1textType,,,,,,,"The weight, pack size, colour etc.",,,,
,2,Owners,Owners,MasterFiles,,,,,0,,,,,,,,
,3,Owner,Owner,Owners,,,,,,unbounded,,,,,,,
,4,extension,,Owner,CompanyStructure,,,,,,,0,,Represents space to allow individual Revenue Bodies to add further elements,##other,0,Represents space to allow individual Revenue Bodies to add further elements
,5,OwnerID,OwnerID,extension,,SAFmiddle1textType,,,0,,,,Reference to the owner Master File,,,,
,5,AccountID,AccountID,extension,,SAFmiddle2textType,,,0,,,,"General Ledger Account code for this owner. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department.",,,,
,2,Assets,Assets,MasterFiles,,,,,0,,,,,,,,
,3,Asset,Asset,Assets,,,,,,unbounded,,0,,Represents space to allow individual Revenue Bodies to add further elements,##other,0,Represents space to allow individual Revenue Bodies to add further elements
,4,AssetID,AssetID,Asset,,SAFmiddle1textType,,,,,,,Unique identifier of the asset,,,,
,4,AccountID,AccountID,Asset,,SAFmiddle2textType,,,,,,,"General Ledger Account code. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department.",,,,
,4,Description,Description,Asset,,SAFlongtextType,,,,,,,Description of this asset,,,,
,4,Supplier,Supplier,Asset,,,,,0,unbounded,,,"Contains the information of all suppliers, including the historical suppliers.",,,,
,5,SupplierName,SupplierName,Supplier,,SAFmiddle2textType,,,,,,,Name of the supplier of the asset,,,,
,5,SupplierID,SupplierID,Supplier,,SAFmiddle1textType,,,0,,,,Unique code for the supplier,,,,
,5,PostalAddress,PostalAddress,Supplier,,AddressStructure,,,,,,,Address information of the supplier of the asset,,,,
,4,PurchaseOrderDate,PurchaseOrderDate,Asset,,date,,,0,,,,Date of the purchase order of this asset,,,,
,4,DateOfAcquisition,DateOfAcquisition,Asset,,date,,,,,,,Date of the acquisition of the asset (usually the date of delivery).,,,,
,4,StartUpDate,StartUpDate,Asset,,date,,,0,,,,Commissioning date of the asset.,,,,
,4,Valuations,Valuations,Asset,,,,,,,,,The data can be reported for different purposes. More than one can be in this SAF.,,,,
,5,Valuation,Valuation,Valuations,,,,,,unbounded,,,,,,,
,6,AssetValuationType,AssetValuationType,Valuation,,SAFshorttextType,,,0,,,,"Describes the purpose for the reporting: f.i. commercial, tax  in country 1, tax in country 2, etc.",,,,
,6,ValuationClass,ValuationClass,Valuation,,SAFshorttextType,,,0,,,,This describes the classification of the asset for (tax) reporting purposes.,,,,
,6,AcquisitionAndProductionCostsBegin,AcquisitionAndProductionCostsBegin,Valuation,,SAFmonetaryType,,,,,,,Total costs of acquisition and/or production of the asset at SelectionStartDate in the header's default currency.,,,,
,6,AcquisitionAndProductionCostsEnd,AcquisitionAndProductionCostsEnd,Valuation,,SAFmonetaryType,,,,,,,Total costs of acquisition and/or production of the asset at SelectionEndDate in the header's default currency.,,,,
,6,InvestmentSupport,InvestmentSupport,Valuation,,SAFmonetaryType,,,0,,,,Total amount of investment support for this asset in the header's default currency.,,,,
,6,AssetLifeYear,AssetLifeYear,Valuation,,decimal,,,,,,,Periode of useful life in years,,,,
,6,AssetLifeMonth,AssetLifeMonth,Valuation,,decimal,,,,,,,Period of useful life in months,,,,
,6,AssetAddition,AssetAddition,Valuation,,SAFmonetaryType,,,0,,,,Bookvalue of the acquisition and/or production of the asset in the  Selectionperiod in the header's default currency.,,,,
,6,Transfers,Transfers,Valuation,,SAFmonetaryType,,,0,,,,Book value of the transfers of the asset during the Selectionperiod in the header's default currency.,,,,
,6,AssetDisposal,AssetDisposal,Valuation,,SAFmonetaryType,,,0,,,,Book value of the disposals of the asset during the Selectionperiod in the header's default currency.,,,,
,6,BookValueBegin,BookValueBegin,Valuation,,SAFmonetaryType,,,0,,,,Bookvalue at the beginning of the Selectionperiod in the header's default currency.,,,,
,6,DepreciationMethod,DepreciationMethod,Valuation,,SAFmiddle1textType,,,0,,,,Method of normal depreciation during the Selectionperiod.,,,,
,6,DepreciationPercentage,DepreciationPercentage,Valuation,,decimal,,,0,,,,The rate of the normal depreciation per year or month (depends on choice useful life periode),,,,
,6,DepreciationForPeriod,DepreciationForPeriod,Valuation,,SAFmonetaryType,,,,,,,Total amouunt of normal depreciation during the Selectionperiod in the header's default currency.,,,,
,6,AppreciationForPeriod,AppreciationForPeriod,Valuation,,SAFmonetaryType,,,0,,,,Total amouunt of appreciation during the Selectionperiod in the header's default currency.,,,,
,6,ExtraordinaryDepreciationsForPeriod,ExtraordinaryDepreciationsForPeriod,Valuation,,,,,0,,,,Extraordinary depreciations for this asset during the Selectionperiod.,,,,
,7,ExtraordinaryDepreciationForPeriod,ExtraordinaryDepreciationForPeriod,ExtraordinaryDepreciationsForPeriod,,,,,,unbounded,,,,,,,
,8,ExtraordinaryDepreciationMethod,ExtraordinaryDepreciationMethod,ExtraordinaryDepreciationForPeriod,,SAFmiddle1textType,,,,,,,Method of extraordinary depreciation during the Selectionperiod.,,,,
,8,ExtraordinaryDepreciationForPeriod,ExtraordinaryDepreciationForPeriod,ExtraordinaryDepreciationForPeriod,,SAFmonetaryType,,,,,,,Amouunt of extraordinary depreciation during the Selectionperiod in the header's default currency.,,,,
,6,AccumulatedDepreciation,BookValueEnd,Valuation,,SAFmonetaryType,,,0,,,,Bookvalue at the end of the Selectionperiod in the header's default currency.,,,,
,1,GeneralLedgerEntries,GeneralLedgerEntries,AuditFile,,,,,0,,,,,,,,
,2,NumberOfEntries,NumberOfEntries,GeneralLedgerEntries,,nonNegativeInteger,,,,,,,Number of entries,,,,
,2,TotalDebit,TotalDebit,GeneralLedgerEntries,,SAFmonetaryType,,,,,,,The total of all debit amounts in the header's default currency.,,,,
,2,TotalCredit,TotalCredit,GeneralLedgerEntries,,SAFmonetaryType,,,,,,,The total of all credit amounts in the header's default currency.,,,,
,2,Journal,Journal,GeneralLedgerEntries,,,,,0,unbounded,,,,,,,
,3,JournalID,JournalID,Journal,,SAFshorttextType,,,,,,,"Source GL journal identifier, or invoices and payments in single ledger systems",,,,
,3,Description,Description,Journal,,SAFlongtextType,,,,,,,Description of the Journal,,,,
,3,Type,Type,Journal,,SAFcodeType,,,,,,,Grouping mechanism for journals,,,,
,3,Transaction,Transaction,Journal,,,,,0,unbounded,,,,,,,
,4,TransactionID,TransactionID,Transaction,,SAFmiddle2textType,,,,,,,"Cross-reference to GL posting. It can contain many different levels to identify the transaction. It could include cost centres such as company, division, region, group and branch/department.",,,,
,4,Period,Period,Transaction,,nonNegativeInteger,,,,,,,Accounting Period,,,,
,4,PeriodYear,PeriodYear,Transaction,nonNegativeInteger,,,,,,,,The year of the Accounting Period.,,,,
,4,TransactionDate,TransactionDate,Transaction,,date,,,,,,,Document date,,,,
,4,SourceID,SourceID,Transaction,,SAFmiddle1textType,,,0,,,,Details of person or application that entered the transaction,,,,
,4,TransactionType,TransactionType,Transaction,,SAFshorttextType,,,0,,,,"Type of journaltransaction: normal, (automated) periodically, etc.",,,,
,4,Description,Description,Transaction,,SAFlongtextType,,,,,,,Description of Journal Transaction,,,,
,4,BatchID,BatchID,Transaction,,SAFmiddle1textType,,,0,,,,Systems generated ID for batch,,,,
,4,SystemEntryDate,SystemEntryDate,Transaction,,date,,,,,,,Date captured  by system,,,,
,4,GLPostingDate,GLPostingDate,Transaction,,date,,,,,,,Date posting to GL,,,,
,4,CustomerID,CustomerID,Transaction,,SAFmiddle1textType,,,0,,,,Unique code for the customer,,,,
,4,SupplierID,SupplierID,Transaction,,SAFmiddle1textType,,,0,,,,Unique code for the supplier,,,,
,4,SystemID,SystemID,Transaction,,SAFshorttextType,,,0,,,,Unique number created by the system for the document,,,,
,4,TransactionLine,Line,Transaction,,,,,,unbounded,,0,,Represents space to allow individual Revenue Bodies to add further elements,##other,0,Represents space to allow individual Revenue Bodies to add further elements
,5,RecordID,RecordID,TransactionLine,,SAFshorttextType,,,,,,,Identifier to trace entry to journal line or posting reference,,,,
,5,AccountID,AccountID,TransactionLine,,SAFmiddle2textType,,,,,,,"General Ledger Account code. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department.",,,,
,5,Analysis,Analysis,TransactionLine,,AnalysisStructure,,,0,unbounded,,,General Ledger analysis codes,,,,
,5,ValueDate,ValueDate,TransactionLine,,date,,,0,,,,Effective date from which interest charged. To be reported when this date differs from the transactiondate.,,,,
,5,SourceDocumentID,SourceDocumentID,TransactionLine,,SAFmiddle1textType,,,0,,,,Source document number to which line relates,,,,
,5,CustomerID,CustomerID,TransactionLine,,SAFmiddle1textType,,,0,,,,Unique code for the customer,,,,
,5,SupplierID,SupplierID,TransactionLine,,SAFmiddle1textType,,,0,,,,Unique code for the supplier,,,,
,5,Description,Description,TransactionLine,,SAFlongtextType,,,,,,,Description of the Journal Line.,,,,
,5,choice,DebitAmount/CreditAmount,TransactionLine,,,,,,,,,,,,,
,6,DebitAmountt,DebitAmount,choice,,AmountStructure,,,,,,,Debit amount information for transaction,,,,
,6,CreditAmountt,CreditAmount,choice,,AmountStructure,,,,,,,Credit amount information for transaction,,,,
,5,TaxInformation,TaxInformation,TransactionLine,,TaxInformationStructure,,,0,unbounded,,,,,,,
,1,SourceDocuments,SourceDocuments,AuditFile,,,,,0,,,,,,,,
,2,SalesInvoices,SalesInvoices,SourceDocuments,,,,,0,,,,,,,,
,3,NumberOfEntries,NumberOfEntries,SalesInvoices,,nonNegativeInteger,,,,,,,Number of entries,,,,
,3,TotalDebit,TotalDebit,SalesInvoices,,SAFmonetaryType,,,,,,,The total of all debit amounts in the header's default currency,,,,
,3,TotalCredit,TotalCredit,SalesInvoices,,SAFmonetaryType,,,,,,,The total of all credit amounts in the header's default currency,,,,
,3,Invoice,Invoice,SalesInvoices,,InvoiceStructure,,,,unbounded,,,,,,,
,2,PurchaseInvoices,PurchaseInvoices,SourceDocuments,,,,,0,,,,,,,,
,3,NumberOfEntries,NumberOfEntries,PurchaseInvoices,,nonNegativeInteger,,,,,,,Number of entries,,,,
,3,TotalDebit,TotalDebit,PurchaseInvoices,,SAFmonetaryType,,,,,,,The total of all debit amounts in the header's default currency,,,,
,3,TotalCredit,TotalCredit,PurchaseInvoices,,SAFmonetaryType,,,,,,,The total of all credit amounts in the header's default currency,,,,
,3,Invoice,Invoice,PurchaseInvoices,,InvoiceStructure,,,,unbounded,,,,,,,
,2,Payments,Payments,SourceDocuments,,,,,0,,,,,,,,
,3,NumberOfEntries,NumberOfEntries,Payments,,nonNegativeInteger,,,,,,,Number of entries,,,,
,3,TotalDebit,TotalDebit,Payments,,SAFmonetaryType,,,,,,,The total of all debit amounts in the header's default currency,,,,
,3,TotalCredit,TotalCredit,Payments,,SAFmonetaryType,,,,,,,The total of all credit amounts in the header's default currency,,,,
,3,Payment,Payment,Payments,,,,,,unbounded,,0,,Represents space to allow individual Revenue Bodies to add further elements,##other,0,Represents space to allow individual Revenue Bodies to add further elements
,4,PaymentRefNo,PaymentRefNo,Payment,,SAFmiddle1textType,,,,,,,Unique reference number for payment,,,,
,4,Period,Period,Payment,,nonNegativeInteger,,,0,,,,Accounting Period,,,,
,4,PeriodYear,PeriodYear,Payment,nonNegativeInteger,,,,0,,,,The year of the Accounting Period.,,,,
,4,TransactionID,TransactionID,Payment,,SAFmiddle2textType,,,0,,,,"Cross-reference to GL posting. It can contain many different levels to identify the transaction. It could include cost centres such as company, division, region, group and branch/department.",,,,
,4,TransactionDate,TransactionDate,Payment,,date,,,,,,,Document date,,,,
,4,PaymentMethod,PaymentMethod,Payment,,SAFcodeType,,,0,,,,"Cheque, Bank, Giro, Cash, etc.",,,,
,4,Description,Description,Payment,,SAFlongtextType,,,,,,,Description of the payment.,,,,
,4,BatchID,BatchID,Payment,,SAFmiddle1textType,,,0,,,,Systems generated ID for batch,,,,
,4,SystemID,SystemID,Payment,,SAFmiddle1textType,,,0,,,,Unique number created by the system for the document,,,,
,4,SourceID,SourceID,Payment,,SAFmiddle1textType,,,0,,,,Details of person or application that entered the transaction,,,,
,4,PaymentLine,Line,Payment,,,,,,unbounded,,0,,Represents space to allow individual Revenue Bodies to add further elements,##other,0,Represents space to allow individual Revenue Bodies to add further elements
,5,LineNumber,LineNumber,PaymentLine,,SAFshorttextType,,,0,,,,Number of the paymentline,,,,
,5,SourceDocumentID,SourceDocumentID,PaymentLine,,SAFmiddle1textType,,,0,,,,The source document to which the line relates,,,,
,5,AccountID,AccountID,PaymentLine,,SAFmiddle2textType,,,0,,,,"General Ledger Account code. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department.",,,,
,5,Analysis,Analysis,PaymentLine,,AnalysisStructure,,,0,unbounded,,,General Ledger analysis codes,,,,
,5,CustomerID,CustomerID,PaymentLine,,SAFmiddle1textType,,,0,,,,Unique code for the customer,,,,
,5,SupplierID,SupplierID,PaymentLine,,SAFmiddle1textType,,,0,,,,Unique code for the supplier,,,,
,5,TaxPointDate,TaxPointDate,PaymentLine,,date,,,0,,,,Tax Point date where recorded or if not recorded then the Invoice date,,,,
