num,Module,Kind,Table,Name,Level,Card,Type,DictionaryEntryName,Description,ObjectClassTermQualifier,ObjectClassTerm,DatatypeQualifier,RepresentationTerm,AssociatedObjectClassTermQualifier,AssociatedObjectClass,ReferencedObjectClassTermQualifier,ReferencedObjectClass,Type,Description
212,General Ledger Entries,BBIE,,Period,1,1..1,nonNegativeInteger,Tax Information Structure. Detail,Accounting Period,,Transaction,,,,,,,nonNegativeInteger,Accounting Period
213,General Ledger Entries,BBIE,,PeriodYear,1,1..1,,Tax Information Structure. Detail,The year of the Accounting Period.,,Transaction,,,,,,,,The year of the Accounting Period.
214,General Ledger Entries,BBIE,,TransactionDate,1,1..1,date,Tax Information Structure. Detail,Document date,,Transaction,,Date,,,,,date,Document date
215,General Ledger Entries,BBIE,,Source I,1,0..1,SAFmiddle1textType,Tax Information Structure. Detail,Details of person or application that entered the transaction,,Transaction,,Text,,,,,SAFmiddle1textType,Details of person or application that entered the transaction
216,General Ledger Entries,BBIE,,TransactionType,1,0..1,SAFshorttextType,Tax Information Structure. Detail,"Type of journaltransaction: normal, (automated) periodically, etc.",,Transaction,,Code,,,,,SAFshorttextType,"Type of journaltransaction: normal, (automated) periodically, etc."
217,General Ledger Entries,BBIE,,Description,1,1..1,SAFlongtextType,Tax Information Structure. Detail,Description of Journal Transaction,,Transaction,,Text,,,,,SAFlongtextType,Description of Journal Transaction
218,General Ledger Entries,BBIE,,Batch I,1,0..1,SAFmiddle1textType,Tax Information Structure. Detail,Systems generated ID for batch,,Transaction,,Text,,,,,SAFmiddle1textType,Systems generated ID for batch
219,General Ledger Entries,BBIE,,SystemEntryDate,1,1..1,date,Tax Information Structure. Detail,Date captured  by system,,Transaction,,Date,,,,,date,Date captured  by system
220,General Ledger Entries,BBIE,,G LostingDate,1,1..1,date,Tax Information Structure. Detail,Date posting to GL,,Transaction,,Date,,,,,date,Date posting to GL
221,General Ledger Entries,RFBIE,,Customer I,1,0..1,SAFmiddle1textType,Tax Information Structure. Detail,Unique code for the customer,,Transaction,,Text,,,Customer,CompanyStructure,SAFmiddle1textType,Unique code for the customer
222,General Ledger Entries,RFBIE,,Supplier I,1,0..1,SAFmiddle1textType,Tax Information Structure. Detail,Unique code for the supplier,,Transaction,,Text,,,Supplier,CompanyStructure,SAFmiddle1textType,Unique code for the supplier
223,General Ledger Entries,BBIE,,System I,1,0..1,SAFshorttextType,Tax Information Structure. Detail,Unique number created by the system for the document,,Transaction,,Code,,,,,SAFshorttextType,Unique number created by the system for the document
224,General Ledger Entries,ASBIE,,Transaction_Line,1,1..*,,Tax Information Structure. Detail,,,Transaction,,,,Transaction_Line,,,,
226,General Ledger Entries,BBIE,,Record I,1,1..1,SAFshorttextType,Tax Information Structure. Detail,Identifier to trace entry to journal line or posting reference,,Transaction_Line,,Code,,,,,SAFshorttextType,Identifier to trace entry to journal line or posting reference
227,General Ledger Entries,RFBIE,,Account I,1,1..1,SAFmiddle2textType,Tax Information Structure. Detail,"General Ledger Account code. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department.",,Transaction_Line,,Text,,,,GeneralLedgerAccounts,SAFmiddle2textType,"General Ledger Account code. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department."
228,General Ledger Entries,ASBIE,,Analysis,1,0..*,AnalysisStructure,Tax Information Structure. Detail,General Ledger analysis codes,,Transaction_Line,,,,AnalysisStructure,,,AnalysisStructure,General Ledger analysis codes
229,General Ledger Entries,BBIE,,ValueDate,1,0..1,date,Tax Information Structure. Detail,Effective date from which interest charged. To be reported when this date differs from the transactiondate.,,Transaction_Line,,Date,,,,,date,Effective date from which interest charged. To be reported when this date differs from the transactiondate.
230,General Ledger Entries,BBIE,,SourceDocument I,1,0..1,SAFmiddle1textType,Tax Information Structure. Detail,Source document number to which line relates,,Transaction_Line,,Text,,,,,SAFmiddle1textType,Source document number to which line relates
231,General Ledger Entries,RFBIE,,Customer I,1,0..1,SAFmiddle1textType,Tax Information Structure. Detail,Unique code for the customer,,Transaction_Line,,Text,,,Customer,CompanyStructure,SAFmiddle1textType,Unique code for the customer
232,General Ledger Entries,RFBIE,,Supplier I,1,0..1,SAFmiddle1textType,Tax Information Structure. Detail,Unique code for the supplier,,Transaction_Line,,Text,,,Supplier,CompanyStructure,SAFmiddle1textType,Unique code for the supplier
233,General Ledger Entries,BBIE,,Description,1,1..1,SAFlongtextType,Tax Information Structure. Detail,Description of the Journal Line.,,Transaction_Line,,Text,,,,,SAFlongtextType,Description of the Journal Line.
234,General Ledger Entries,ASBIE,,choice DebitAmount/CreditAmount,1,1..1,,Tax Information Structure. Detail,,,Transaction_Line,,,,choice:DebitAmount/CreditAmount,,,,
238,General Ledger Entries,ASBIE,,TaxInformation,1,0..*,TaxInformationStructure,Tax Information Structure. Detail,,,Transaction_Line,,,,TaxInformationStructure,,,TaxInformationStructure,
238.5,General Ledger Entries,BBIE,,any##other,1,0..1,Represents space to allow individual Revenue Bodies to add further elements,Tax Information Structure. Detail,Represents space to allow individual Revenue Bodies to add further elements,,Transaction_Line,,,,,,,Represents space to allow individual Revenue Bodies to add further elements,Represents space to allow individual Revenue Bodies to add further elements
236,General Ledger Entries,ASBIE,,DebitAmountt,1,1..1,AmountStructure,Tax Information Structure. Detail,Debit amount information for transaction,,choice:DebitAmount/CreditAmount,,,,AmountStructure,,,AmountStructure,Debit amount information for transaction
237,General Ledger Entries,ASBIE,,CreditAmountt,1,1..1,AmountStructure,Tax Information Structure. Detail,Credit amount information for transaction,,choice:DebitAmount/CreditAmount,,,,AmountStructure,,,AmountStructure,Credit amount information for transaction
7,Header,ASBIE,,HeaderStructure,1,1..1,,Tax Information Structure. Detail,,,Header,,,,HeaderStructure,,,,
8,Header,BBIE,,TaxAccountingBasis,1,1..1,SAFshorttextType,Tax Information Structure. Detail,"Invoice Accounting, Cash Accounting, Delivery, other ...",,Header,,Code,,,,,SAFshorttextType,"Invoice Accounting, Cash Accounting, Delivery, other ..."
9,Header,BBIE,,TaxEntity,1,0..1,SAFmiddle2textType,Tax Information Structure. Detail,Company / Division / Branch reference,,Header,,Text,,,,,SAFmiddle2textType,Company / Division / Branch reference
9,Header,BBIE,,any##other,1,0..1,Represents space to allow individual Revenue Bodies to add further elements if required. See Annex A.,Tax Information Structure. Detail,Represents space to allow individual Revenue Bodies to add further elements if required. See Annex A.,,Header,,,,,,,Represents space to allow individual Revenue Bodies to add further elements if required. See Annex A.,Represents space to allow individual Revenue Bodies to add further elements if required. See Annex A.
91,Master Files,ABIE,,Analysis Type Table Entry,,,,Analysis Type Table Entry. Detail,,,Analysis Type Table Entry,,,,,,,,
89,Master Files,ABIE,,Analysis Type Table,,,,Analysis Type Table. Detail,"Table with the analysiscode identifiers.\nsed for further specification of transaction data.\nxample: cost unit, cost center, project.",,Analysis Type Table,,,,,,,,
90,Master Files,ASBIE,,AnalysisTypeTableEntry,1,1..*,,Tax Information Structure. Detail,,,AnalysisTypeTable,,,,AnalysisTypeTableEntry,,,,
92,Master Files,IDBIE,,AnalysisType,1,1..1,SAFcodeType,Tax Information Structure. Detail,"Analysis type identifier: e.g. CC (for Cost Center), DEP (for department), etc.",,AnalysisTypeTableEntry,,Identifier,,,,,SAFcodeType,"Analysis type identifier: e.g. CC (for Cost Center), DEP (for department), etc."
93,Master Files,BBIE,,AnalysisTypeDescription,1,1..1,SAFlongtextType,Tax Information Structure. Detail,"Description of the AnalysisType, e.g. ""Cost Center""",,AnalysisTypeTableEntry,,Text,,,,,SAFlongtextType,"Description of the AnalysisType, e.g. ""Cost Center"""
94,Master Files,IDBIE,,Analysis I,1,1..1,SAFmiddle1textType,Tax Information Structure. Detail,"Analysis ID: e.g. 1200-HDOF-TR (for cost center treasury in the headoffice), P-4800-123 (for project 123 in branch 4800)",,AnalysisTypeTableEntry,,Identifier,,,,,SAFmiddle1textType,"Analysis ID: e.g. 1200-HDOF-TR (for cost center treasury in the headoffice), P-4800-123 (for project 123 in branch 4800)"
95,Master Files,BBIE,,Analysis IDescription,1,1..1,SAFlongtextType,Tax Information Structure. Detail,"Description of the AnalysisID: e.g. ""Headoffice-Treasury"".",,AnalysisTypeTableEntry,,Text,,,,,SAFlongtextType,"Description of the AnalysisID: e.g. ""Headoffice-Treasury""."
159,Master Files,ABIE,,Asset,,,,Asset. Detail,,,Asset,,,,,,,,
160,Master Files,IDBIE,,Asset I,1,1..1,SAFmiddle1textType,Tax Information Structure. Detail,Unique identifier of the asset,,Asset,,Identifier,,,,,SAFmiddle1textType,Unique identifier of the asset
161,Master Files,RFBIE,,Account I,1,1..1,SAFmiddle2textType,Tax Information Structure. Detail,"General Ledger Account code. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department.",,Asset,,Text,,,,GeneralLedgerAccounts,SAFmiddle2textType,"General Ledger Account code. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department."
162,Master Files,BBIE,,Description,1,1..1,SAFlongtextType,Tax Information Structure. Detail,Description of this asset,,Asset,,Text,,,,,SAFlongtextType,Description of this asset
163,Master Files,ASBIE,,Supplier,1,0..*,,Tax Information Structure. Detail,"Contains the information of all suppliers, including the historical suppliers.",,Asset,,,Supplier,CompanyStructure,,,,"Contains the information of all suppliers, including the historical suppliers."
167,Master Files,BBIE,,PurchaseOrderDate,1,0..1,date,Tax Information Structure. Detail,Date of the purchase order of this asset,,Asset,,Date,,,,,date,Date of the purchase order of this asset
168,Master Files,BBIE,,DateOfAcquisition,1,1..1,date,Tax Information Structure. Detail,Date of the acquisition of the asset (usually the date of delivery).,,Asset,,Date,,,,,date,Date of the acquisition of the asset (usually the date of delivery).
169,Master Files,BBIE,,StartUpDate,1,0..1,date,Tax Information Structure. Detail,Commissioning date of the asset.,,Asset,,Date,,,,,date,Commissioning date of the asset.
170,Master Files,ASBIE,,Valuations,1,1..1,,Tax Information Structure. Detail,The data can be reported for different purposes. More than one can be in this SAF.,,Asset,,,,Valuations,,,,The data can be reported for different purposes. More than one can be in this SAF.
157,Master Files,ABIE,,Assets,,,,Assets. Detail,,,Assets,,,,,,,,
158,Master Files,ASBIE,,Asset,1,1..*,,Tax Information Structure. Detail,,,Assets,,,,Asset,,,,
40,Master Files,ABIE,,Customer,,,,Customer_ Company Structure. Detail,,Customer,Company Structure,,,,,,,,
41,Master Files,ASBIE,,CompanyStructure,1,1..1,,Tax Information Structure. Detail,,Customer,CompanyStructure,,,,CompanyStructure,,,,
42,Master Files,IDBIE,,Customer I,1,0..1,SAFmiddle1textType,Tax Information Structure. Detail,Unique code for the customer,Customer,CompanyStructure,,Identifier,,,,,SAFmiddle1textType,Unique code for the customer
43,Master Files,BBIE,,SelfBillingIndicator,1,0..1,SAFcodeType,Tax Information Structure. Detail,Indicator showing if a self-billing agreement exists between the customer and the supplier,Customer,CompanyStructure,,Code,,,,,SAFcodeType,Indicator showing if a self-billing agreement exists between the customer and the supplier
44,Master Files,RFBIE,,Account I,1,0..1,SAFmiddle2textType,Tax Information Structure. Detail,"General Ledger Account code for this customer. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department.",Customer,CompanyStructure,,Text,,,,GeneralLedgerAccounts,SAFmiddle2textType,"General Ledger Account code for this customer. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department."
45,Master Files,ASBIE,,choice:OpeningDebitBalance/OpeningCreditBalance,1,1..1,,Tax Information Structure. Detail,,Customer,CompanyStructure,,,,choice:OpeningDebitBalance/OpeningCreditBalance,,,,
48,Master Files,ASBIE,,choice:ClosingDebitBalance/ClosingCreditBalance,1,1..1,,Tax Information Structure. Detail,,Customer,CompanyStructure,,,,choice:ClosingDebitBalance/ClosingCreditBalance,,,,
38,Master Files,ABIE,,Customers,,,,Customers. Detail,,,Customers,,,,,,,,
39,Master Files,ASBIE,,Customer,1,1..*,,Tax Information Structure. Detail,,,Customers,,,Customer,CompanyStructure,,,,
194,Master Files,ABIE,,Extraordinary Depreciation For Period,,,,Extraordinary Depreciation For Period. Detail,,,Extraordinary Depreciation For Period,,,,,,,,
192,Master Files,ABIE,,Extraordinary Depreciations For Period,,,,Extraordinary Depreciations For Period. Detail,Extraordinary depreciations for this asset during the Selectionperiod.,,Extraordinary Depreciations For Period,,,,,,,,
195,Master Files,BBIE,,ExtraordinaryDepreciationMethod,1,1..1,SAFmiddle1textType,Tax Information Structure. Detail,Method of extraordinary depreciation during the Selectionperiod.,,ExtraordinaryDepreciationForPeriod,,Text,,,,,SAFmiddle1textType,Method of extraordinary depreciation during the Selectionperiod.
196,Master Files,BBIE,,ExtraordinaryDepreciationForPeriod,1,1..1,SAFmonetaryType,Tax Information Structure. Detail,Amouunt of extraordinary depreciation during the Selectionperiod in the header's default currency.,,ExtraordinaryDepreciationForPeriod,,Monetary,,,,,SAFmonetaryType,Amouunt of extraordinary depreciation during the Selectionperiod in the header's default currency.
193,Master Files,ASBIE,,ExtraordinaryDepreciationForPeriod,1,1..*,,Tax Information Structure. Detail,,,ExtraordinaryDepreciationsForPeriod,,,,ExtraordinaryDepreciationForPeriod,,,,
12,Master Files,ABIE,,Account,,,,General Ledger Account. Detail,,,General Ledger Account,,,,,,,,
10,Master Files,ABIE,,General Ledger Accounts,,,,General Ledger Accounts. Detail,,,General Ledger Accounts,,,,,,,,
13,Master Files,IDBIE,,Account I,1,1..1,SAFmiddle2textType,Tax Information Structure. Detail,"General Ledger Account code. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department.",,GeneralLedgerAccount,,Identifier,,,,,SAFmiddle2textType,"General Ledger Account code. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department."
14,Master Files,BBIE,,AccountDescription,1,1..1,SAFlongtextType,Tax Information Structure. Detail,Name of individual GL account,,GeneralLedgerAccount,,Text,,,,,SAFlongtextType,Name of individual GL account
15,Master Files,BBIE,,StandardAccount I,1,0..1,SAFmiddle1textType,Tax Information Structure. Detail,AccountID based on a standard prescribed by authorities.,,GeneralLedgerAccount,,Text,,,,,SAFmiddle1textType,AccountID based on a standard prescribed by authorities.
16,Master Files,BBIE,,GroupingCategory,1,0..1,SAFmiddle1textType,Tax Information Structure. Detail,"Category for grouping the accounts, relevant in reconciling financial statements f.i.",,GeneralLedgerAccount,,Text,,,,,SAFmiddle1textType,"Category for grouping the accounts, relevant in reconciling financial statements f.i."
17,Master Files,BBIE,,GroupingCode,1,0..1,SAFmiddle1textType,Tax Information Structure. Detail,"Subcode for grouping the accounts, relevant in reconciling financial statements f.i.",,GeneralLedgerAccount,,Text,,,,,SAFmiddle1textType,"Subcode for grouping the accounts, relevant in reconciling financial statements f.i."
18,Master Files,BBIE,,AccountType,1,1..1,SAFshorttextType,Tax Information Structure. Detail,Type of account  - Asset/Liability/Sale/Expense,,GeneralLedgerAccount,,Code,,,,,SAFshorttextType,Type of account  - Asset/Liability/Sale/Expense
19,Master Files,BBIE,,AccountCreationDate,1,0..1,date,Tax Information Structure. Detail,Date of creating the generalledger account,,GeneralLedgerAccount,,Date,,,,,date,Date of creating the generalledger account
20,Master Files,ASBIE,,choice:OpeningDebitBalance/ClosingDebitBalance,1,1..1,,Tax Information Structure. Detail,,,GeneralLedgerAccount,,,,choice:OpeningDebitBalance/ClosingDebitBalance,,,,
23,Master Files,ASBIE,,choice:ClosingDebitBalance/ClosingCreditBalance,1,1..1,,Tax Information Structure. Detail,,,GeneralLedgerAccount,,,,choice:ClosingDebitBalance/ClosingCreditBalance,,,,
23.5,Master Files,BBIE,,any##other,1,0..1,Represents space to allow individual Revenue Bodies to add further elements,Tax Information Structure. Detail,Represents space to allow individual Revenue Bodies to add further elements,,GeneralLedgerAccount,,,,,,,Represents space to allow individual Revenue Bodies to add further elements,Represents space to allow individual Revenue Bodies to add further elements
11,Master Files,ASBIE,,Account,1,1..*,,Tax Information Structure. Detail,,,GeneralLedgerAccounts,,,,GeneralLedgerAccount,,,,
10,Master Files,ASBIE,,Taxonomies,1,0..1,,Tax Information Structure. Detail,,,MasterFiles,,,,Taxonomies,,,,
11,Master Files,ASBIE,,Customers,1,0..1,,Tax Information Structure. Detail,,,MasterFiles,,,,Customers,,,,
12,Master Files,ASBIE,,Suppliers,1,0..1,,Tax Information Structure. Detail,,,MasterFiles,,,,Suppliers,,,,
13,Master Files,ASBIE,,TaxTable,1,0..1,,Tax Information Structure. Detail,,,MasterFiles,,,,TaxTable,,,,
14,Master Files,ASBIE,,U OTable,1,0..1,,Tax Information Structure. Detail,Table with descriptions of all different kinds of UOM's,,MasterFiles,,,,UOMTable,,,,Table with descriptions of all different kinds of UOM's
15,Master Files,ASBIE,,AnalysisTypeTable,1,0..1,,Tax Information Structure. Detail,"Table with the analysiscode identifiers.\nsed for further specification of transaction data.\nxample: cost unit, cost center, project.",,MasterFiles,,,,AnalysisTypeTable,,,,"Table with the analysiscode identifiers.\nsed for further specification of transaction data.\nxample: cost unit, cost center, project."
156.5,Master Files,BBIE,,any##other,1,0..1,Represents space to allow individual Revenue Bodies to specify additional standing data.,Tax Information Structure. Detail,Represents space to allow individual Revenue Bodies to specify additional standing data.,,MasterFiles,,,,,,,Represents space to allow individual Revenue Bodies to specify additional standing data.,Represents space to allow individual Revenue Bodies to specify additional standing data.
16,Master Files,ASBIE,,MovementTypeTable,1,0..1,,Tax Information Structure. Detail,Table with descriptions of all different kinds of movementtypes and movementsubtypes,,MasterFiles,,,,MovementTypeTable,,,,Table with descriptions of all different kinds of movementtypes and movementsubtypes
17,Master Files,ASBIE,,Products,1,0..1,,Tax Information Structure. Detail,,,MasterFiles,,,,Products,,,,
18,Master Files,ASBIE,,PhysicalStock,1,0..1,,Tax Information Structure. Detail,,,MasterFiles,,,,PhysicalStock,,,,
19,Master Files,ASBIE,,Owners,1,0..1,,Tax Information Structure. Detail,,,MasterFiles,,,,Owners,,,,
20,Master Files,ASBIE,,Assets,1,0..1,,Tax Information Structure. Detail,,,MasterFiles,,,,Assets,,,,
9,Master Files,ASBIE,,GeneralLedgerAccounts,1,0..1,,Tax Information Structure. Detail,,,MasterFiles,,,,GeneralLedgerAccounts,,,,
99,Master Files,ABIE,,Movement Type Table Entry,,,,Movement Type Table Entry. Detail,,,Movement Type Table Entry,,,,,,,,
97,Master Files,ABIE,,Movement Type Table,,,,Movement Type Table. Detail,Table with descriptions of all different kinds of movementtypes and movementsubtypes,,Movement Type Table,,,,,,,,
98,Master Files,ASBIE,,MovementTypeTableEntry,1,1..*,,Tax Information Structure. Detail,,,MovementTypeTable,,,,MovementTypeTableEntry,,,,
100,Master Files,IDBIE,,MovementType,1,1..1,SAFcodeType,Tax Information Structure. Detail,"Identify kind of movement or movement line. E.g. sale, purchase, adjustment, etc.  Or  efficiencyloss, use of components in production, etc. Predescribed TABLE is possible.",,MovementTypeTableEntry,,Identifier,,,,,SAFcodeType,"Identify kind of movement or movement line. E.g. sale, purchase, adjustment, etc.  Or  efficiencyloss, use of components in production, etc. Predescribed TABLE is possible."
101,Master Files,BBIE,,Description,1,1..1,SAFlongtextType,Tax Information Structure. Detail,Description of the movement(sub)type,,MovementTypeTableEntry,,Text,,,,,SAFlongtextType,Description of the movement(sub)type
152,Master Files,ABIE,,Owner,,,,Owner_ Company Structure. Detail,,Owner,Company Structure,,,,,,,,
153,Master Files,ASBIE,,CompanyStructure,1,1..1,,Tax Information Structure. Detail,,Owner,CompanyStructure,,,,,,,,
154,Master Files,BBIE,,Owner I,1,0..1,SAFmiddle1textType,Tax Information Structure. Detail,Reference to the owner Master File,Owner,CompanyStructure,,Text,,,,,SAFmiddle1textType,Reference to the owner Master File
155,Master Files,BBIE,,Account I,1,0..1,SAFmiddle2textType,Tax Information Structure. Detail,"General Ledger Account code for this owner. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department.",Owner,CompanyStructure,,Text,,,,,SAFmiddle2textType,"General Ledger Account code for this owner. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department."
150,Master Files,ABIE,,Owners,,,,Owners. Detail,,,Owners,,,,,,,,
151,Master Files,ASBIE,,Owner,1,1..*,,Tax Information Structure. Detail,,,Owners,,,,Owner,,,,
127,Master Files,ABIE,,Physical Stock Entry,,,,Physical Stock Entry. Detail,,,Physical Stock Entry,,,,,,,,
125,Master Files,ABIE,,Physical Stock,,,,Physical Stock. Detail,,,Physical Stock,,,,,,,,
126,Master Files,ASBIE,,PhysicalStockEntry,1,1..*,,Tax Information Structure. Detail,,,PhysicalStock,,,,PhysicalStockEntry,,,,
128,Master Files,BBIE,,Warehouse I,1,0..1,SAFmiddle1textType,Tax Information Structure. Detail,"Warehouse where goods held - possoble also to identify work-in-progress, or stock-in-transit",,PhysicalStockEntry,,Text,,,,,SAFmiddle1textType,"Warehouse where goods held - possoble also to identify work-in-progress, or stock-in-transit"
129,Master Files,BBIE,,Location I,1,0..1,SAFshorttextType,Tax Information Structure. Detail,Location of goods in warehouse,,PhysicalStockEntry,,Code,,,,,SAFshorttextType,Location of goods in warehouse
130,Master Files,RFBIE,,ProductCode,1,1..1,SAFmiddle2textType,Tax Information Structure. Detail,Product code,,PhysicalStockEntry,,Text,,,,Product,SAFmiddle2textType,Product code
131,Master Files,IDBIE,,StockAccountNo,1,0..1,SAFmiddle2textType,Tax Information Structure. Detail,"Stock batch, lot, serial identification. Not used when there is exactly 1 PhysicalStock entry per ProductCode",,PhysicalStockEntry,,Identifier,,,,,SAFmiddle2textType,"Stock batch, lot, serial identification. Not used when there is exactly 1 PhysicalStock entry per ProductCode"
132,Master Files,BBIE,,ProductType,1,0..1,SAFshorttextType,Tax Information Structure. Detail,"To determine whether the product/stockaccount is raw material, work-in-progress, finished good, merchandise for resale, etc.",,PhysicalStockEntry,,Code,,,,,SAFshorttextType,"To determine whether the product/stockaccount is raw material, work-in-progress, finished good, merchandise for resale, etc."
133,Master Files,BBIE,,ProductStatus,1,0..1,SAFshorttextType,Tax Information Structure. Detail,"To determine whether the product/stockaccount is discontinued, damaged, obsolete, active, etc.",,PhysicalStockEntry,,Code,,,,,SAFshorttextType,"To determine whether the product/stockaccount is discontinued, damaged, obsolete, active, etc."
134,Master Files,BBIE,,StockAccountCommodityCode,1,0..1,SAFmiddle1textType,Tax Information Structure. Detail,Classification for import / export,,PhysicalStockEntry,,Text,,,,,SAFmiddle1textType,Classification for import / export
135,Master Files,RFBIE,,Owner I,1,0..1,SAFmiddle1textType,Tax Information Structure. Detail,Reference to the owner Master File,,PhysicalStockEntry,,Text,,,Owner,CompanyStructure,SAFmiddle1textType,Reference to the owner Master File
136,Master Files,ASBIE,,sequence_PhysicalStock UM,1,0..1,,Tax Information Structure. Detail,Not needed when UOMPhysicalStock equals UOMBase,,PhysicalStockEntry,,,,sequence_PhysicalStockUOM,,,,Not needed when UOMPhysicalStock equals UOMBase
140,Master Files,BBIE,,UnitPrice,1,0..1,SAFmonetaryType,Tax Information Structure. Detail,Base Unit price for this stock account  in the header's default currency.,,PhysicalStockEntry,,Monetary,,,,,SAFmonetaryType,Base Unit price for this stock account  in the header's default currency.
141,Master Files,BBIE,,OpeningStockQuantity,1,1..1,SAFquantityType,Tax Information Structure. Detail,In UOM Physical Stock for selection period,,PhysicalStockEntry,,Quantity,,,,,SAFquantityType,In UOM Physical Stock for selection period
142,Master Files,BBIE,,OpeningStockValue,1,0..1,SAFmonetaryType,Tax Information Structure. Detail,In  the header's currency code for selection period,,PhysicalStockEntry,,Monetary,,,,,SAFmonetaryType,In  the header's currency code for selection period
143,Master Files,BBIE,,ClosingStockQuantity,1,1..1,SAFquantityType,Tax Information Structure. Detail,In UOM Physical Stock for selection period,,PhysicalStockEntry,,Quantity,,,,,SAFquantityType,In UOM Physical Stock for selection period
144,Master Files,BBIE,,ClosingStockValue,1,0..1,SAFmonetaryType,Tax Information Structure. Detail,Closing stock value  in the header's default currency for selection period,,PhysicalStockEntry,,Monetary,,,,,SAFmonetaryType,Closing stock value  in the header's default currency for selection period
145,Master Files,ASBIE,,StockCharacteristics,1,0..1,,Tax Information Structure. Detail,,,PhysicalStockEntry,,,,StockCharacteristics,,,,
146,Master Files,ASBIE,,sequence_PhysicalStockCharacteristic,1,1..*,,Tax Information Structure. Detail,,,PhysicalStockEntry,,,,sequence_PhysicalStockCharacteristic,,,,
999,Master Files,BBIE,,any##other,1,0..1,Represents space to allow individual Revenue Bodies to add further elements,Tax Information Structure. Detail,Represents space to allow individual Revenue Bodies to add further elements,,PhysicalStockEntry,,,,,,,Represents space to allow individual Revenue Bodies to add further elements,Represents space to allow individual Revenue Bodies to add further elements
105,Master Files,ABIE,,Product,,,,Product. Detail,,,Product,,,,,,,,
106,Master Files,IDBIE,,ProductCode,1,1..1,SAFmiddle2textType,Tax Information Structure. Detail,Product code,,Product,,Identifier,,,,,SAFmiddle2textType,Product code
107,Master Files,BBIE,,GoodsServices I,1,0..1,SAFcodeType,Tax Information Structure. Detail,Indicator showing if goods or services (Predescribed TABLE is possible),,Product,,Code,,,,,SAFcodeType,Indicator showing if goods or services (Predescribed TABLE is possible)
